"geo","time","sg_population","sg_gdp_p_cap_const_ppp2011_dollar","sg_gini","sg_child_mortality_rate_per1000"
"abw",1904,,1471,,
"afg",1904,,804,40.7,481.08
"ago",1904,,975,37.3,482.5
"alb",1904,,1219,27.9,372.75
"and",1904,,3350,,
"are",1904,,2120,43.8,431.62
"arg",1904,,7255,44.7,312.462725999
"arm",1904,,1008,35.6,310.475990365
"atg",1904,,1336,,203.563390269
"aus",1904,,7161,39.9,117.16
"aut",1904,,5905,37,341.52
"aze",1904,,1740,44.3,300.938660377
"bdi",1904,,460,43.7,421.17
"bel",1904,,7141,49.8,212.37
"ben",1904,,898,41.8,427.64
"bfa",1904,,529,37.5,451.71
"bgd",1904,,1094,38.9,566.23
"bgr",1904,,2193,32.4,288.46
"bhr",1904,,2706,40.3,436.91
"bhs",1904,,2552,,191.127934995
"bih",1904,,1125,45.7,376.32
"blr",1904,,1407,50,336.9
"blz",1904,,1022,,222.035838059
"bmu",1904,,2167,,
"bol",1904,,1896,36.9,402.04
"bra",1904,,1301,25.8,414.7
"brb",1904,,1613,,677.297511287
"brn",1904,,2016,,451.71
"btn",1904,,745,47.8,424.890394211
"bwa",1904,,598,35.6,394.6
"caf",1904,,638,48.3,440.89
"can",1904,,5476,40.8,167.82
"che",1904,,9583,36.7,182.47
"chl",1904,,3437,72.4,464.46
"chn",1904,,936,34.6,414.7
"civ",1904,,1232,43.6,425.06
"cmr",1904,,942,39.6,457.19
"cod",1904,,745,42.1,419.88
"cog",1904,,771,40.3,405.84
"col",1904,,1199,53.2,414.7
"com",1904,,774,45,413.44
"cpv",1904,,759,47.9,392.12
"cri",1904,,1987,44.8,378.72
"cub",1904,,2887,40.5,390.88
"cym",1904,,1835,,
"cyp",1904,,2310,42.1,274.22
"cze",1904,,4191,39.6,299.94
"deu",1904,,4751,42.7,318.75
"dji",1904,,1045,44.9,442.24
"dma",1904,,1171,,
"dnk",1904,,6172,46.1,139.49
"dom",1904,,1055,44.8,442.24
"dza",1904,,1827,35.5,457.19
"ecu",1904,,908,45.6,403.31
"egy",1904,,1350,39.1,402.04
"eri",1904,,661,48.5,438.24
"esp",1904,,2769,34,281.07
"est",1904,,2322,35.5,271.2
"eth",1904,,540,47.5,444.95
"fin",1904,,2896,37.6,201.26
"fji",1904,,1047,45,495.62
"fra",1904,,4261,52.8,201.66
"fsm",1904,,552,,226.713468313
"gab",1904,,403,45.9,432.94
"gbr",1904,,8042,40.5,208.62
"geo",1904,,1144,34.4,309.419233502
"gha",1904,,789,39.7,460.846173543
"gin",1904,,536,38.7,425.371950459
"gmb",1904,,870,46.8,457.19
"gnb",1904,,834,49.8,414.7
"gnq",1904,,412,51.5,443.59
"grc",1904,,3186,36.8,312.72
"grd",1904,,1373,,219.890133748
"grl",1904,,966,,
"gtm",1904,,1702,37.4,500.07
"guy",1904,,2144,41.2,326.89
"hkg",1904,,1865,,
"hnd",1904,,1977,43.2,390.88
"hrv",1904,,3007,,364.44
"hti",1904,,1493,44,481.182029867
"hun",1904,,3070,36.4,320.37
"idn",1904,,1187,41.2,440.89
"ind",1904,,1314,30.3,465.58201911
"irl",1904,,4185,36,149.27
"irn",1904,,1359,37.8,503.06
"irq",1904,,1558,42.2,425.06
"isl",1904,,2526,,125.81
"isr",1904,,1074,44.9,396.611592865
"ita",1904,,3884,48.2,268.44
"jam",1904,,1004,38.6,313.89
"jor",1904,,1568,43.5,418.59
"jpn",1904,,1840,50.8,330.19
"kaz",1904,,2823,36,453.07
"ken",1904,,1207,45,504.56
"kgz",1904,,1064,41,362.643483166
"khm",1904,,1026,46,377.51
"kir",1904,,604,,309.698415295
"kna",1904,,2056,,
"kor",1904,,527,32.1,507.55
"kwt",1904,,2332,42.1,497.07
"lao",1904,,1059,38.4,416
"lbn",1904,,2173,41.6,444.95
"lbr",1904,,1001,46.1,426.35
"lby",1904,,2947,41,402.04
"lca",1904,,1156,,241.117804437
"lka",1904,,2016,44.4,417.29
"lso",1904,,417,51.6,404.57
"ltu",1904,,3145,38.7,287.44
"lux",1904,,3932,39.1,270.2
"lva",1904,,1860,38.7,243.87
"mac",1904,,1323,,
"mar",1904,,830,36.3,400.8
"mco",1904,,5308,,
"mda",1904,,1381,32.4,312.52396101
"mdg",1904,,862,41,434.26
"mdv",1904,,838,,390.711738648
"mex",1904,,2368,50.1,453.07
"mhl",1904,,574,,
"mkd",1904,,1541,35.4,368.798698024
"mli",1904,,622,47.2,491.24
"mlt",1904,,1692,,112.378766497
"mmr",1904,,1043,33.1,430.29
"mne",1904,,2362,41.9,372.75
"mng",1904,,684,48.1,417.29
"moz",1904,,415,38.2,436.91
"mrt",1904,,794,48.2,411.541003415
"mus",1904,,1414,44,225.92
"mwi",1904,,355,38.6,436.91
"mys",1904,,1303,41,432.94
