"geo","time","sg_population","sg_gdp_p_cap_const_ppp2011_dollar","sg_gini","sg_child_mortality_rate_per1000"
"abw",1913,,1562,,
"afg",1913,,829,41.8,472.32
"ago",1913,,1014,42.8,473.71
"alb",1913,,1389,27.5,365.96
"and",1913,,3726,,
"are",1913,,2415,44,423.75
"arg",1913,,8233,46,205.35
"arm",1913,,1020,37.3,278.792517857
"atg",1913,,1420,,189.219103871
"aus",1913,,8579,41.3,100.399372263
"aut",1913,,6984,37.1,308.99
"aze",1913,,1782,43.5,275.631261308
"bdi",1913,,464,44.4,413.5
"bel",1913,,7811,50.5,179.38
"ben",1913,,937,42.1,420.327380466
"bfa",1913,,534,38.2,443.644346868
"bgd",1913,,1118,38.6,538.233075411
"bgr",1913,,2567,30.8,274.17
"bhr",1913,,2722,39.2,428.96
"bhs",1913,,2711,,176.776341928
"bih",1913,,1196,45.5,369.46
"blr",1913,,1444,46.1,276.18
"blz",1913,,1086,,208.19210346
"bmu",1913,,2303,,
"bol",1913,,2065,36.9,394.72
"bra",1913,,1598,28.9,407.15
"brb",1913,,1714,,394.8
"brn",1913,,2078,,425.05
"btn",1913,,758,47.6,421.715403518
"bwa",1913,,624,36.3,387.41
"caf",1913,,666,47.7,432.86
"can",1913,,7423,40.9,272.827814893
"che",1913,,10666,37.8,125.25
"chl",1913,,4471,74,464.46
"chn",1913,,936,40,407.15
"civ",1913,,1277,42.6,417.31
"cmr",1913,,984,42.7,448.87
"cod",1913,,773,42.5,412.23
"cog",1913,,791,39.5,398.45
"col",1913,,1504,57.9,407.15
"com",1913,,781,43.3,405.91
"cpv",1913,,789,47.9,384.98
"cri",1913,,2197,45.6,369.46
"cub",1913,,3361,39.7,360.11
"cym",1913,,1949,,
"cyp",1913,,2569,41.7,244.1
"cze",1913,,4807,38.9,253.62
"deu",1913,,5692,44.1,244.31
"dji",1913,,1075,44.1,434.18
"dma",1913,,1244,,
"dnk",1913,,7292,46.6,113.965133824
"dom",1913,,1107,43.9,430.98787036
"dza",1913,,2096,37.1,448.87
"ecu",1913,,1035,44.6,395.96
"egy",1913,,1418,42.4,394.72
"eri",1913,,676,48.3,430.26
"esp",1913,,3171,35.2,277.136049436
"est",1913,,2398,37.6,232.91
"eth",1913,,541,48.2,436.84
"fin",1913,,3536,39.4,175.2
"fji",1913,,1079,44.3,491.364664375
"fra",1913,,5373,55.9,160.862023375
"fsm",1913,,555,,213.631374278
"gab",1913,,418,46.5,425.05
"gbr",1913,,8853,42,157.869841129
"geo",1913,,1165,36.9,283.157440946
"gha",1913,,1190,41,446.970587689
"gin",1913,,546,42,406.818793468
"gmb",1913,,885,46.7,448.87
"gnb",1913,,840,50.5,407.15
"gnq",1913,,425,51.3,435.51
"grc",1913,,3530,38.7,232.414843549
"grd",1913,,1426,,205.812774262
"grl",1913,,1063,,
"gtm",1913,,1831,39,490.96
"guy",1913,,2278,42.4,302.485358108
"hkg",1913,,2114,,
"hnd",1913,,2217,42.9,383.76
"hrv",1913,,3312,,357.8
"hti",1913,,1636,43.5,471.956374841
"hun",1913,,3652,34.1,326.89
"idn",1913,,1411,43.4,432.563113855
