"geo","time","population","gdp_p_cap_const_ppp2011_dollar","gini","child_mortality_rate_per1000"
"abkh",1820,,,40,
"abw",1820,19555,835,40,
"afg",1820,3323519,604,30.5122804245,471.38
"ago",1820,1597530,674,48.93343,485.68
"aia",1820,2064,,40,
"akr_a_dhe",1820,,,40,
"alb",1820,438671,669,41.2354,375.2
"and",1820,2700,1242,40,
"ant",1820,,,40,
"arg",1820,570719,1512,47.1009928111,402.19
"arm",1820,423527,515,29.12185,361.615684362
"asm",1820,8142,,40,
"atg",1820,37000,759,40,402.615185955
"aus",1820,334002,853,41.30739,390.99
"aut",1820,3391206,2003,53.35227,299.15
"aze",1820,901772,779,40,368.596870672
"bdi",1820,917804,426,43.69366,423.95
"bel",1820,3475782,2420,62.43673,320.22
"ben",1820,653348,598,47.95059,430.46
"bfa",1820,1697947,481,37.4998,454.69
"bgd",1820,20122865,874,41.82703,507.88
"bgr",1820,2186672,1092,47.82681,359.8
"bhr",1820,64474,1346,40,439.79
"bhs",1820,27404,1449,40,396.026638723
"bih",1820,871970,671,40,378.8
"blr",1820,2413420,614,57.85,365.67
"blz",1820,25556,580,40,404.922688592
"bmu",1820,9808,1231,40,
"bol",1820,1121924,856,40,404.69
"bra",1820,4582325,1112,47.1009928111,417.44
"brb",1820,85456,916,40,504.004470783
"brn",1820,2251,1516,40,454.69
"btn",1820,91144,631,40,455.700773435
"bwa",1820,121000,398,35.60809,397.2
"caf",1820,485538,425,45.24579,443.79
"can",1820,879432,1491,45.13605,333.47
"cck",1820,,,40,
"chanisl",1820,44673,,40,
"cheslo",1820,,,40,
"chl",1820,820889,1029,47.1009928111,417.44
"chn",1820,380055273,985,44.854295,417.44
"civ",1820,1108345,880,38.09856,427.86
"cmr",1820,1874663,628,56.15046,460.21
"cod",1820,5255223,526,42.12181,422.65
"cog",1820,320596,608,51.06881,408.51
"cok",1820,16533,,40,
"col",1820,1266351,966,58.94312,417.44
"com",1820,57537,710,36.30614,416.16
"cpv",1820,57062,531,40,394.71
"cri",1820,63375,777,40,441.12
"cub",1820,607664,1090,40,379.99
"cxr",1820,,,40,
"cym",1820,2491,1042,40,
"cyp",1820,184788,856,40,339.12
"cyp_nor",1820,,,40,
"cze",1820,5569896,1921,34.91032,379.99
"deu",1820,25507768,1887,51.03153,340.25
"deu_east",1820,,,40,
"dji",1820,23320,801,40,445.15
"dma",1820,20166,665,40,
"dnk",1820,1177749,2089,54.1420492489,357.45
"dom",1820,93078,669,40,445.15
"dza",1820,2713079,735,57.71468,460.21
"ecu",1820,522656,531,40,405.96
"egy",1820,4318788,793,57.71468,404.69
"eri",1820,212440,534,40,441.12
"eri_a_eth",1820,,,40,
"est",1820,342427,960,48.87745,362.15
"eth",1820,3063453,524,47.51967,447.88
"fin",1820,1190807,1290,50.58427,355.13
"fji",1820,134860,787,40,498.88
"flk",1820,100,,40,
"fra",1820,31549988,1876,59,284.84
"fro",1820,13773,,40,
"fsm",1820,16641,524,40,394.81350175
"gab",1820,161794,391,45.85316,435.79
"gbg",1820,,,40,
"gbm",1820,23947,,40,
"geo",1820,1098744,545,29.74723,380.531604389
"gha",1820,1990667,707,58.44026,471.38
"gib",1820,10021,,40,
"gin",1820,1007384,452,32.73783,447.88
"glp",1820,82322,,40,
"gmb",1820,105337,823,40,460.21
"gnb",1820,222059,779,49.84899,417.44
"gnq",1820,81084,365,40,446.51
"grc",1820,2347727,1420,49.93078,360.97
"grd",1820,29699,961,40,407.740920296
"grl",1820,9757,394,40,
"gtm",1820,594985,860,35.30002,503.36
"guf",1820,10092,,40,
"gum",1820,12337,,40,
"guy",1820,169103,1218,38.23119,429.16
"hkg",1820,20928,1010,48.7,
"hnd",1820,146889,677,40,393.46
"hos",1820,905,,40,
"hrv",1820,1257048,1350,27.71461,366.84
"hti",1820,739943,635,40,486.187814955
"hun",1820,4137998,1253,47.41291,368.01
"idn",1820,17236636,997,51.69444,443.79
"ind",1820,176225709,1050,32.8,509.39
"irl",1820,5052432,1451,44.58137,348.22
"irn",1820,6608508,980,57.71468,506.38
