"geo","time","pop","gdp","gini","u5mr"
"kaz",1800,2041282,1140,43.3,497.41
"ken",1800,2574000,854,46.3,507.88
"kgz",1800,530343,508,46,382.72
"khm",1800,2090000,903,38.5,379.99
"kir",1800,17876,551,,453.12
"kna",1800,17202,1164,,
"kor",1800,9395000,576,32.1,503.36
"kwt",1800,81280,1097,45,500.35
"lao",1800,470000,864,38.4,418.74
"lbn",1800,332000,1081,57.7,447.88
"lbr",1800,313543,797,38.2,429.16
"lby",1800,531472,1050,45,404.69
"lca",1800,24000,874,,459.52
"lie",1800,5802,,,
"lka",1800,1213000,898,48,409.79
"lso",1800,276361,393,56,407.24
"ltu",1800,778655,1270,48.9,458.81
"lux",1800,127030,1453,25.8,357.45
"lva",1800,590588,751,48.9,404.69
"mac",1800,17311,992,,
"mar",1800,2503218,715,57.7,403.44
"mco",1800,7789,1948,,
"mda",1800,712558,621,47.8,396.8
"mdg",1800,1543133,573,41,437.13
"mdv",1800,42378,842,,458.24
"mex",1800,6181708,1379,40.1,487.15
"mhl",1800,5828,539,,
"mkd",1800,391865,690,32.5,396.8
"mli",1800,1403398,603,47.2,494.48
"mlt",1800,134072,781,,459.52
"mmr",1800,3506000,840,30.5,433.13
"mne",1800,126582,1057,30.1,375.2
"mng",1800,619000,592,33.2,420.04
"mnp",1800,3360,,,
"moz",1800,1982324,390,45.2,439.79
"mrt",1800,382696,527,49.5,417.44
"msr",1800,5230,,,
"mtq",1800,84039,,,
"mus",1800,62865,940,37.9,427.86
"mwi",1800,737000,350,45.7,439.79
"mys",1800,287000,997,25.3,435.79
"myt",1800,8219,,,
"nam",1800,229000,540,52.6,412.34
"ncl",1800,29432,,,
"ner",1800,1244861,446,43.3,433.13
"nga",1800,12100855,851,54.9,438.46
"nic",1800,219387,973,56.7,509.39
"niu",1800,4538,,,
"nld",1800,2254522,4235,56.3,323.5
"nor",1800,868570,1278,43.7,335.73
"npl",1800,3881000,654,41,407.24
"nru",1800,1834,554,,
"nzl",1800,100000,658,38.2,390.99
"omn",1800,318000,915,45,413.61
"pak",1800,13123633,1021,28.7,501.85
"pan",1800,78842,847,58.9,405.96
"per",1800,1314151,1204,57.4,371.61
"phl",1800,1894389,962,32.5,431.79
"plw",1800,3875,839,,
"png",1800,754894,546,25.8,423.95
"pol",1800,9508747,1213,34.5,369.21
"pri",1800,155000,1375,,
"prk",1800,4345000,579,45,500.35
"prt",1800,3033454,1685,55.1,372.81
"pry",1800,143000,835,56,374
"pse",1800,165944,1220,34,435.2
"pyf",1800,62530,,,
"qat",1800,14092,1097,45,433.13
"reu",1800,92744,,,
"rou",1800,5464085,815,47.8,371.61
"rus",1800,31088398,1430,57.9,418.74
"rwa",1800,928368,431,59,420.04
"sau",1800,2091000,846,45,416.16
"sdn",1800,3994154,518,33.8,425.25
"sen",1800,1009886,497,45.9,512.4
"sgp",1800,30000,1021,41,456.05
"shn",1800,1997,,,
"slb",1800,56998,363,45,504.87
"sle",1800,794264,734,60.1,513.91
"slv",1800,248000,974,53,461.6
"smr",1800,5492,1401,,
"som",1800,991488,694,50.9,451.96
"spm",1800,1782,,,
"srb",1800,2147197,1358,32.5,374
"ssd",1800,1027378,507,33.78,490.08
"stp",1800,22731,850,,449.28
"sur",1800,80721,1636,32.2,405.96
"svk",1800,2140651,1427,34.9,363.32
"svn",1800,469664,1409,27.7,360.97
"swe",1800,2354189,1414,67.5,381.11
"swz",1800,86000,490,60.7,413.61
"syc",1800,12522,792,,446.72
"syr",1800,1337000,1081,57.7,429.16
"tca",1800,3296,487,,
"tcd",1800,1432000,418,50.6,431.79
"tgo",1800,445985,682,37.8,426.55
"tha",1800,4665000,931,47.4,438.46
"tjk",1800,466629,556,47.4,381.44
"tkl",1800,1009,,,
"tkm",1800,367215,943,41.4,497.92
"tls",1800,137262,521,30.4,445.44
"ton",1800,18658,663,,445.44
"tto",1800,60000,1230,44.9,405.96
"tun",1800,862029,716,57.7,460.21
"tur",1800,9773456,1221,57.7,379.99
"tuv",1800,2499,719,,
"twn",1800,,996,,
"tza",1800,3019768,562,37.6,414.89
"uga",1800,2101397,464,41,510.9
"ukr",1800,11215490,763,45.6,360.97
"ury",1800,55000,1758,48.1,405.96
"usa",1800,6801854,2128,66.6,462.89
"uzb",1800,1919159,502,44.4,381.44
"vct",1800,25781,838,,463.36
"ven",1800,718000,682,43.3,414.89
"vgb",1800,6700,,,
"vir",1800,40000,,,
"vnm",1800,6551000,861,40.4,417.44
"vut",1800,27791,585,,426.24
"wlf",1800,3721,,,
"wsm",1800,47300,1400,,471.04
"yem",1800,2593000,877,57.7,540.44
"zaf",1800,1440820,1480,35.9,398.45
"zmb",1800,747000,663,39.9,409.79
"zwe",1800,1085814,869,34.6,395.95
"abw",1801,,833,,
"afg",1801,,603,30.5,468.58
"ago",1801,,620,48.9,485.68
"alb",1801,,667,41.2,375.2
"and",1801,,1199,,
"are",1801,,1001,45,434.46
"arg",1801,,1508,47.1,402.19
"arm",1801,,514,29.1,370.714806363
"atg",1801,,757,,469.770365376
"aus",1801,,816,41.3,390.99
"aut",1801,,1855,53.4,373.005876025
"aze",1801,,775,31.9,383.214775187
"bdi",1801,,418,43.7,423.95
"bel",1801,,2413,62.4,322.4
"ben",1801,,597,48,430.46
"bfa",1801,,480,37.5,454.69
"bgd",1801,,876,41.8,507.88
"bgr",1801,,1089,47.8,370.41
"bhr",1801,,1240,45,439.79
"bhs",1801,,1445,,466.972299106
"bih",1801,,669,26.4,378.8
"blr",1801,,608,57.9,365.67
"blz",1801,,579,,463.870012621
"bmu",1801,,1227,,
"bol",1801,,854,36.9,404.69
"bra",1801,,1109,40.1,417.44
"brb",1801,,914,,471.415601767
"brn",1801,,1512,,454.69
"btn",1801,,629,46.8,462.973999094
"bwa",1801,,397,35.6,397.2
"caf",1801,,424,45.2,443.79
"can",1801,,1322,45.1,333.47
"che",1801,,2701,41.7,344.77
"chl",1801,,1026,47.1,417.44
"chn",1801,,985,44.2,417.44
"civ",1801,,816,38.1,427.86
"cmr",1801,,626,56.2,460.21
"cod",1801,,487,42.1,422.65
"cog",1801,,576,51.1,408.51
"col",1801,,963,58.9,417.44
"com",1801,,697,36.3,416.16
"cpv",1801,,529,50.5,394.71
"cri",1801,,775,49.9,441.12
"cub",1801,,874,36.5,413.61
"cym",1801,,1039,,
"cyp",1801,,854,29.2,339.12
"cze",1801,,1916,34.9,379.99
"deu",1801,,1651,53,340.25
"dji",1801,,754,41.5,445.15
"dma",1801,,663,,
"dnk",1801,,2017,61,378.8
"dom",1801,,667,40.2,445.15
"dza",1801,,716,57.7,460.21
"ecu",1801,,529,38.1,405.96
"egy",1801,,791,57.7,404.69
"eri",1801,,532,45,441.12
"esp",1801,,1518,38,450.6
"est",1801,,939,48.9,362.15
"eth",1801,,523,47.5,447.88
"fin",1801,,1246,50.6,420.04
"fji",1801,,785,47.6,498.88
"fra",1801,,1806,59,407.24
"fsm",1801,,518,,447.594355671
"gab",1801,,390,45.9,435.79
"gbr",1801,,3439,59.3,326.83
"geo",1801,,543,29.7,395.97030392
"gha",1801,,696,58.4,471.38
"gin",1801,,450,32.7,450.6
"gmb",1801,,813,45,460.21
"gnb",1801,,777,49.8,417.44
"gnq",1801,,356,45.1,446.51
"grc",1801,,1374,49.9,360.97
"grd",1801,,959,,468.860594573
"grl",1801,,393,,
"gtm",1801,,857,35.3,503.36
"guy",1801,,1214,38.2,429.16
"hkg",1801,,1007,,
"hnd",1801,,675,61.7,393.46
"hrv",1801,,,,366.84
"hti",1801,,633,41.6,486.389388549
"hun",1801,,1249,47.4,368.01
"idn",1801,,994,51.7,443.79
"ind",1801,,1052,32.8,509.39
"irl",1801,,1447,44.6,348.22
"irn",1801,,977,57.7,506.38
"irq",1801,,970,57.7,427.86
"isl",1801,,926,,412.34
"isr",1801,,880,44.9,447.990289589
"ita",1801,,2197,60.5,457.41
"jam",1801,,1171,39.1,389.77
"jor",1801,,976,38.8,421.34
"jpn",1801,,1051,53.2,363.32
"kaz",1801,,1141,43.3,497.41
"ken",1801,,856,46.3,507.88
"kgz",1801,,508,46,382.647117227
"khm",1801,,904,38.6,379.99
"kir",1801,,551,,451.464967879
"kna",1801,,1165,,
"kor",1801,,575,32.1,503.36
"kwt",1801,,1101,45,500.35
"lao",1801,,865,38.4,418.74
"lbn",1801,,1082,57.7,447.88
"lbr",1801,,797,38.3,429.16
"lby",1801,,1050,45,404.69
"lca",1801,,875,,456.679364523
"lka",1801,,898,48,409.79
"lso",1801,,393,56,407.24
"ltu",1801,,1271,48.9,458.81
"lux",1801,,1453,25.9,357.45
"lva",1801,,752,48.9,404.69
"mac",1801,,992,,
"mar",1801,,715,57.7,403.44
"mco",1801,,1950,,
"mda",1801,,621,47.8,396.0634486
"mdg",1801,,573,41,437.13
"mdv",1801,,843,,457.538095775
"mex",1801,,1379,40.1,487.15
"mhl",1801,,539,,
"mkd",1801,,690,32.5,396.648055626
"mli",1801,,603,47.2,494.48
"mlt",1801,,782,,453.339389228
"mmr",1801,,840,30.5,433.13
"mne",1801,,1058,30.3,375.2
"mng",1801,,592,33.4,420.04
"moz",1801,,391,45.2,439.79
"mrt",1801,,528,49.5,417.44
"mus",1801,,940,38,427.86
"mwi",1801,,350,45.7,439.79
"mys",1801,,997,25.3,435.79
"nam",1801,,540,52.6,412.34
"ner",1801,,446,43.3,433.13
"nga",1801,,853,54.9,438.46
"nic",1801,,973,56.5,509.39
"nld",1801,,4161,56.3,323.5
"nor",1801,,1280,43.7,335.73
"npl",1801,,654,41,407.24
"nru",1801,,554,,
"nzl",1801,,659,38.2,390.99
"omn",1801,,916,45,413.61
"pak",1801,,1021,28.7,501.85
"pan",1801,,847,58.7,405.96
"per",1801,,1204,57.4,371.61
"phl",1801,,962,32.5,431.79
"plw",1801,,839,,
"png",1801,,546,25.8,423.95
"pol",1801,,1217,34.5,369.21
"pri",1801,,1375,,
"prk",1801,,578,45.1,500.35
"prt",1801,,1685,55.1,372.81
"pry",1801,,835,55.9,374
"pse",1801,,1221,34.1,435.19048972
"qat",1801,,1101,45,433.13
"rou",1801,,816,47.8,371.61
"rus",1801,,1432,57.9,418.74
"rwa",1801,,432,59,420.04
"sau",1801,,846,45,416.16
"sdn",1801,,518,33.8,425.25
"sen",1801,,497,45.9,512.4
"sgp",1801,,1021,41,456.05
"slb",1801,,363,45.1,504.87
"sle",1801,,734,59.9,513.91
"slv",1801,,975,52.9,461.6
"smr",1801,,1404,,
"som",1801,,694,50.9,451.96
"srb",1801,,1358,32.5,374
"ssd",1801,,507,33.78,490.08
"stp",1801,,852,,447.348820745
"sur",1801,,1637,32.3,405.96
"svk",1801,,1427,34.9,363.32
"svn",1801,,1409,27.7,360.97
"swe",1801,,1402,67.5,328.8
"swz",1801,,490,60.5,413.61
"syc",1801,,795,,442.782898264
"syr",1801,,1081,57.7,429.16
"tca",1801,,487,,
"tcd",1801,,418,50.6,431.79
"tgo",1801,,683,37.8,426.55
"tha",1801,,932,47.4,438.46
"tjk",1801,,557,47.4,380.596955805
"tkm",1801,,944,41.4,497.659887151
"tls",1801,,522,30.6,445.581356325
"ton",1801,,663,,441.958340288
"tto",1801,,1230,44.8,405.96
"tun",1801,,716,57.7,460.21
"tur",1801,,1221,57.7,379.99
"tuv",1801,,719,,
"twn",1801,,996,,
"tza",1801,,562,37.6,414.89
"uga",1801,,464,41,510.9
"ukr",1801,,764,45.6,360.97
"ury",1801,,1758,48.1,405.96
"usa",1801,,2168,66.6,462.697
"uzb",1801,,502,44.4,381.418842012
"vct",1801,,838,,460.729488932
"ven",1801,,682,43.3,414.89
"vnm",1801,,861,40.4,417.44
"vut",1801,,586,,423.855695896
"wsm",1801,,1400,,468.937271546
"yem",1801,,879,57.7,540.44
"zaf",1801,,1480,35.9,398.45
"zmb",1801,,665,39.9,409.79
"zwe",1801,,870,34.6,395.95
"abw",1802,,833,,
"afg",1802,,603,30.5,468.58
"ago",1802,,623,48.9,485.68
"alb",1802,,668,41.2,375.2
"and",1802,,1201,,
"are",1802,,1005,45,434.46
"arg",1802,,1508,47.1,402.19
"arm",1802,,514,29.1,370.230246919
"atg",1802,,757,,465.971698027
"aus",1802,,818,41.3,390.99
"aut",1802,,1863,53.4,359.220756866
"aze",1802,,775,32,382.431156045
"bdi",1802,,419,43.7,423.95
"bel",1802,,2413,62.4,322.4
"ben",1802,,597,48,430.46
"bfa",1802,,480,37.5,454.69
"bgd",1802,,876,41.8,507.88
"bgr",1802,,1089,47.8,369.21
"bhr",1802,,1246,44.9,439.79
"bhs",1802,,1445,,462.939725145
"bih",1802,,669,26.6,378.8
"blr",1802,,608,57.9,365.67
"blz",1802,,579,,460.563759865
"bmu",1802,,1228,,
"bol",1802,,854,36.9,404.69
"bra",1802,,1109,40.1,417.44
"brb",1802,,914,,473.077038466
"brn",1802,,1512,,454.69
"btn",1802,,630,46.9,462.588319745
"bwa",1802,,397,35.6,397.2
"caf",1802,,424,45.2,443.79
"can",1802,,1330,45.1,333.47
"che",1802,,2702,41.7,344.77
"chl",1802,,1027,47.1,417.44
"chn",1802,,985,44.2,417.44
"civ",1802,,819,38.1,427.86
"cmr",1802,,626,56.2,460.21
"cod",1802,,489,42.1,422.65
"cog",1802,,578,51.1,408.51
"col",1802,,963,58.9,417.44
"com",1802,,697,36.3,416.16
"cpv",1802,,529,50.5,394.71
"cri",1802,,775,49.8,441.12
"cub",1802,,884,36.6,411.06
"cym",1802,,1039,,
"cyp",1802,,854,29.3,339.12
"cze",1802,,1916,34.9,379.99
"deu",1802,,1663,53,340.25
"dji",1802,,757,41.6,445.15
"dma",1802,,663,,
"dnk",1802,,2020,61,377.6
"dom",1802,,667,40.2,445.15
"dza",1802,,717,57.7,460.21
"ecu",1802,,529,38.2,405.96
"egy",1802,,791,57.7,404.69
"eri",1802,,532,45.1,441.12
"esp",1802,,1518,38,450.6
"est",1802,,940,48.9,362.15
"eth",1802,,523,47.5,447.88
"fin",1802,,1248,50.6,420.04
"fji",1802,,785,47.5,498.88
"fra",1802,,1810,59,400.95
"fsm",1802,,518,,444.648231597
"gab",1802,,390,45.9,435.79
"gbr",1802,,3450,59.3,324.61
"geo",1802,,543,29.7,395.142342707
"gha",1802,,697,58.4,471.38
"gin",1802,,450,32.7,450.6
"gmb",1802,,814,45,460.21
"gnb",1802,,777,49.8,417.44
"gnq",1802,,357,45.2,446.51
"grc",1802,,1376,49.9,360.97
"grd",1802,,959,,465.426526811
"grl",1802,,393,,
"gtm",1802,,857,35.3,503.36
"guy",1802,,1214,38.2,429.16
"hkg",1802,,1007,,
"hnd",1802,,675,61.5,393.46
"hrv",1802,,,,366.84
"hti",1802,,634,41.6,486.378777329
"hun",1802,,1250,47.4,368.01
"idn",1802,,995,51.7,443.79
"ind",1802,,1052,32.8,509.39
"irl",1802,,1447,44.6,348.22
"irn",1802,,977,57.7,506.38
"irq",1802,,970,57.7,427.86
"isl",1802,,927,,412.34
"isr",1802,,880,44.9,447.980579388
"ita",1802,,2268,60.5,457.41
"jam",1802,,1171,39.1,389.77
"jor",1802,,977,38.9,421.34
"jpn",1802,,1053,53.2,363.32
"kaz",1802,,1142,43.3,497.41
"ken",1802,,859,46.3,507.88
"kgz",1802,,508,46,382.574248334
"khm",1802,,904,38.7,379.99
"kir",1802,,552,,449.815980805
"kna",1802,,1165,,
"kor",1802,,575,32.1,503.36
"kwt",1802,,1105,45,500.35
"lao",1802,,865,38.4,418.74
"lbn",1802,,1083,57.7,447.88
"lbr",1802,,797,38.3,429.16
"lby",1802,,1050,44.9,404.69
"lca",1802,,875,,453.85628913
"lka",1802,,898,48,409.79
"lso",1802,,394,55.9,407.24
"ltu",1802,,1273,48.9,458.81
"lux",1802,,1453,26.1,357.45
"lva",1802,,753,48.9,404.69
"mac",1802,,993,,
"mar",1802,,715,57.7,403.44
"mco",1802,,1953,,
"mda",1802,,621,47.8,395.328264408
"mdg",1802,,573,41,437.13
"mdv",1802,,843,,456.837266684
"mex",1802,,1379,40.1,487.15
"mhl",1802,,540,,
"mkd",1802,,690,32.5,396.496169435
"mli",1802,,603,47.2,494.48
"mlt",1802,,782,,447.241908569
"mmr",1802,,840,30.5,433.13
"mne",1802,,1058,30.4,375.2
"mng",1802,,592,33.5,420.04
"moz",1802,,391,45.2,439.79
"mrt",1802,,528,49.5,417.44
"mus",1802,,940,38.1,427.86
"mwi",1802,,350,45.7,439.79
"mys",1802,,998,25.3,435.79
"nam",1802,,540,52.6,412.34
"ner",1802,,446,43.3,433.13
"nga",1802,,854,54.9,438.46
"nic",1802,,973,56.4,509.39
"nld",1802,,4391,56.3,323.5
"nor",1802,,1282,43.7,335.73
"npl",1802,,654,41,407.24
"nru",1802,,554,,
"nzl",1802,,659,38.2,390.99
"omn",1802,,916,45,413.61
"pak",1802,,1021,28.7,501.85
"pan",1802,,847,58.6,405.96
"per",1802,,1204,57.4,371.61
"phl",1802,,962,32.5,431.79
"plw",1802,,839,,
"png",1802,,546,25.8,423.95
"pol",1802,,1222,34.5,369.21
"pri",1802,,1376,,
"prk",1802,,578,45.1,500.35
"prt",1802,,1685,55.1,372.81
"pry",1802,,835,55.7,374
"pse",1802,,1221,34.2,435.180979648
"qat",1802,,1105,45,433.13
"rou",1802,,816,47.8,371.61
"rus",1802,,1433,57.9,418.74
"rwa",1802,,432,59,420.04
"sau",1802,,847,45,416.16
"sdn",1802,,518,33.8,425.25
"sen",1802,,497,45.9,512.4
"sgp",1802,,1022,41,456.05
"slb",1802,,363,45.1,504.87
"sle",1802,,734,59.8,513.91
"slv",1802,,975,52.8,461.6
"smr",1802,,1406,,
"som",1802,,695,50.9,451.96
"srb",1802,,1358,32.5,374
"ssd",1802,,507,33.78,490.08
"stp",1802,,853,,445.425942445
"sur",1802,,1637,32.4,405.96
"svk",1802,,1427,34.9,363.32
"svn",1802,,1409,27.7,360.97
"swe",1802,,1467,67.5,282.91
"swz",1802,,490,60.4,413.61
"syc",1802,,798,,438.880495602
"syr",1802,,1081,57.7,429.16
"tca",1802,,487,,
"tcd",1802,,418,50.6,431.79
"tgo",1802,,683,37.8,426.55
"tha",1802,,932,47.4,438.46
"tjk",1802,,557,47.4,379.755774874
"tkm",1802,,945,41.4,497.399910185
"tls",1802,,523,30.8,445.722757509
"ton",1802,,663,,438.503894015
"tto",1802,,1231,44.8,405.96
"tun",1802,,716,57.7,460.21
"tur",1802,,1222,57.7,379.99
"tuv",1802,,719,,
"twn",1802,,996,,
"tza",1802,,562,37.6,414.89
"uga",1802,,464,41,510.9
"ukr",1802,,765,45.6,360.97
"ury",1802,,1758,48.1,405.96
"usa",1802,,2203,66.6,462.504
"uzb",1802,,502,44.4,381.397685197
"vct",1802,,838,,458.113911368
"ven",1802,,682,43.3,414.89
"vnm",1802,,861,40.4,417.44
"vut",1802,,586,,421.484729128
"wsm",1802,,1401,,466.843929699
"yem",1802,,882,57.7,540.44
"zaf",1802,,1480,35.9,398.45
"zmb",1802,,667,39.9,409.79
"zwe",1802,,871,34.6,395.95
"abw",1803,,833,,
"afg",1803,,603,30.5,468.58
"ago",1803,,626,48.9,485.68
"alb",1803,,668,41.2,375.2
"and",1803,,1204,,
"are",1803,,1009,44.9,434.46
"arg",1803,,1508,47.1,402.19
"arm",1803,,514,29.1,369.746320841
"atg",1803,,757,,462.203747544
"aus",1803,,820,41.3,390.99
"aut",1803,,1870,53.4,345.945092175
"aze",1803,,775,32.2,381.649139292
"bdi",1803,,419,43.7,423.95
"bel",1803,,2413,62.4,322.4
"ben",1803,,597,48,430.46
"bfa",1803,,480,37.5,454.69
"bgd",1803,,876,41.8,507.88
"bgr",1803,,1089,47.8,369.21
"bhr",1803,,1251,44.9,439.79
"bhs",1803,,1446,,458.941974776
"bih",1803,,669,26.9,378.8
"blr",1803,,609,57.9,365.67
"blz",1803,,579,,457.281072562
"bmu",1803,,1228,,
"bol",1803,,854,36.9,404.69
"bra",1803,,1109,40.1,417.44
"brb",1803,,914,,474.74433066
"brn",1803,,1513,,454.69
"btn",1803,,630,46.9,462.202961686
"bwa",1803,,397,35.6,397.2
"caf",1803,,424,45.2,443.79
"can",1803,,1339,45.1,333.47
"che",1803,,2702,41.7,344.77
"chl",1803,,1027,47.1,417.44
"chn",1803,,985,44.2,417.44
"civ",1803,,822,38.1,427.86
"cmr",1803,,626,56.2,460.21
"cod",1803,,491,42.1,422.65
"cog",1803,,580,51.1,408.51
"col",1803,,963,58.9,417.44
"com",1803,,698,36.3,416.16
"cpv",1803,,529,50.4,394.71
"cri",1803,,775,49.8,441.12
"cub",1803,,895,36.6,409.79
"cym",1803,,1039,,
"cyp",1803,,854,29.5,339.12
"cze",1803,,1916,34.9,379.99
"deu",1803,,1674,53,340.25
"dji",1803,,759,41.6,445.15
"dma",1803,,663,,
"dnk",1803,,2024,61,376.4
"dom",1803,,667,40.3,445.15
"dza",1803,,718,57.7,460.21
"ecu",1803,,529,38.3,405.96
"egy",1803,,791,57.7,404.69
"eri",1803,,532,45.1,441.12
"esp",1803,,1518,38,450.6
"est",1803,,941,48.9,362.15
"eth",1803,,523,47.5,447.88
"fin",1803,,1251,50.6,420.04
"fji",1803,,785,47.5,498.88
"fra",1803,,1813,59,395.95
"fsm",1803,,519,,441.721499294
"gab",1803,,390,45.9,435.79
"gbr",1803,,3339,59.3,322.4
"geo",1803,,543,29.7,394.316112735
"gha",1803,,698,58.4,471.38
"gin",1803,,450,32.7,450.6
"gmb",1803,,814,45,460.21
"gnb",1803,,777,49.8,417.44
"gnq",1803,,357,45.2,446.51
"grc",1803,,1378,49.9,360.97
"grd",1803,,959,,462.017611133
"grl",1803,,393,,
"gtm",1803,,857,35.3,503.36
"guy",1803,,1215,38.2,429.16
"hkg",1803,,1007,,
"hnd",1803,,675,61.3,393.46
"hrv",1803,,,,366.84
"hti",1803,,634,41.7,486.368166341
"hun",1803,,1250,47.4,368.01
"idn",1803,,995,51.7,443.79
"ind",1803,,1052,32.8,509.39
"irl",1803,,1448,44.6,348.22
"irn",1803,,977,57.7,506.38
"irq",1803,,970,57.7,427.86
"isl",1803,,927,,412.34
"isr",1803,,880,44.9,447.970869398
"ita",1803,,2333,60.5,457.41
"jam",1803,,1171,39.1,389.77
"jor",1803,,977,38.9,421.34
"jpn",1803,,1054,53.2,363.32
"kaz",1803,,1144,43.3,497.41
"ken",1803,,862,46.3,507.88
"kgz",1803,,508,46,382.501393317
"khm",1803,,904,38.8,379.99
"kir",1803,,552,,448.173016697
"kna",1803,,1165,,
"kor",1803,,574,32.1,503.36
"kwt",1803,,1110,44.9,500.35
"lao",1803,,865,38.4,418.74
"lbn",1803,,1084,57.7,447.88
"lbr",1803,,797,38.4,429.16
"lby",1803,,1050,44.9,404.69
"lca",1803,,875,,451.05066527
"lka",1803,,898,48,409.79
"lso",1803,,394,55.9,407.24
"ltu",1803,,1274,48.9,458.81
"lux",1803,,1453,26.3,357.45
"lva",1803,,754,48.9,404.69
"mac",1803,,993,,
"mar",1803,,715,57.7,403.44
"mco",1803,,1955,,
"mda",1803,,621,47.8,394.594444885
"mdg",1803,,573,41,437.13
"mdv",1803,,843,,456.13751108
"mex",1803,,1380,40.1,487.15
"mhl",1803,,540,,
"mkd",1803,,690,32.5,396.344341405
"mli",1803,,603,47.2,494.48
"mlt",1803,,782,,441.226439911
"mmr",1803,,840,30.5,433.13
"mne",1803,,1058,30.6,375.2
"mng",1803,,592,33.7,420.04
"moz",1803,,391,45.2,439.79
"mrt",1803,,528,49.5,417.44
"mus",1803,,940,38.1,427.86
"mwi",1803,,350,45.7,439.79
"mys",1803,,998,25.3,435.79
"nam",1803,,540,52.6,412.34
"ner",1803,,446,43.3,433.13
"nga",1803,,856,54.9,438.46
"nic",1803,,974,56.2,509.39
"nld",1803,,4297,56.3,323.5
