"geo","time","sg_population","sg_gdp_p_cap_const_ppp2011_dollar","sg_gini","sg_child_mortality_rate_per1000"
"abw",1838,,943,,
"afg",1838,,643,30.5,474.24
"ago",1838,,730,43.8,485.68
"alb",1838,,697,41.2,375.2
"and",1838,,1536,,
"are",1838,,1150,44.3,434.46
"arg",1838,,1951,39.1,402.19
"arm",1838,,552,29.1,353.201566497
"atg",1838,,857,,347.873033165
"aus",1838,,1924,44.4,390.99
"aut",1838,,2555,43,389.96
"aze",1838,,860,37.6,355.263034723
"bdi",1838,,433,43.7,423.95
"bel",1838,,2786,56.6,308.99
"ben",1838,,653,46.6,430.46
"bfa",1838,,491,37.5,454.69
"bgd",1838,,877,41.8,507.88
"bgr",1838,,1194,47.8,350.52
"bhr",1838,,1454,43.7,439.79
"bhs",1838,,1636,,338.785137804
"bih",1838,,735,34.5,378.8
"blr",1838,,682,55.5,365.67
"blz",1838,,655,,356.003659048
"bmu",1838,,1390,,
"bol",1838,,1015,36.9,404.69
"bra",1838,,1155,39.2,417.44
"brb",1838,,1034,,536.953785356
"brn",1838,,1612,,454.69
"btn",1838,,654,47.3,448.915776826
"bwa",1838,,435,35.6,397.2
"caf",1838,,464,46.3,443.79
"can",1838,,1864,34.1,323.5
"che",1838,,3275,46.4,344.77
"chl",1838,,1060,57,417.44
"chn",1838,,986,39.9,417.44
"civ",1838,,946,40,427.86
"cmr",1838,,685,50.2,460.21
"cod",1838,,567,42.1,422.65
"cog",1838,,640,48.8,408.51
"col",1838,,1012,58.9,417.44
"com",1838,,723,39.2,416.16
"cpv",1838,,573,49.5,394.71
"cri",1838,,950,47.2,441.12
"cub",1838,,1343,38.7,362.15
"cym",1838,,1176,,
"cyp",1838,,1059,34.8,339.12
"cze",1838,,2224,43.1,379.99
"deu",1838,,2086,47.4,482.32
"dji",1838,,848,43.4,445.15
"dma",1838,,751,,
"dnk",1838,,2341,55.3,240.26
"dom",1838,,738,42.7,445.15
"dza",1838,,893,60.9,460.21
"ecu",1838,,595,41.9,405.96
"egy",1838,,862,60.9,404.69
"eri",1838,,559,46.6,441.12
"esp",1838,,1590,34.2,450.6
"est",1838,,1079,48.9,362.15
"eth",1838,,527,47.5,447.88
"fin",1838,,1419,50.6,364.49
"fji",1838,,837,47,498.88
"fra",1838,,2069,56.2,286.52
"fsm",1838,,530,,350.564086591
"gab",1838,,392,45.9,435.79
"gbr",1838,,4090,49.8,267.602519574
"geo",1838,,593,29.7,366.461111068
"gha",1838,,717,49.1,471.38
"gin",1838,,468,32.7,445.15
"gmb",1838,,832,45.8,460.21
"gnb",1838,,791,49.8,417.44
"gnq",1838,,374,47.9,446.51
"grc",1838,,1645,49.9,360.97
