"geo","time","sg_population","sg_gdp_p_cap_const_ppp2011_dollar","sg_gini","sg_child_mortality_rate_per1000"
"abw",1847,,1002,,
"afg",1847,,663,30.5,475.67
"ago",1847,,759,41.2,485.68
"alb",1847,,712,41.2,375.2
"and",1847,,1708,,
"are",1847,,1189,44.1,434.46
"arg",1847,,2217,35,402.19
"arm",1847,,572,29.1,349.068212564
"atg",1847,,910,,323.359831596
"aus",1847,,3064,46,390.99
"aut",1847,,2815,37.8,403.367024689
"aze",1847,,904,38.9,348.778102061
"bdi",1847,,437,43.7,423.95
"bel",1847,,3246,53.7,304.51
"ben",1847,,682,46,430.46
"bfa",1847,,496,37.5,454.69
"bgd",1847,,878,41.8,507.88
"bgr",1847,,1248,47.8,345.92
"bhr",1847,,1512,43.4,439.79
"bhs",1847,,1738,,313.346122648
"bih",1847,,769,36.5,378.8
"blr",1847,,719,54.4,365.67
"blz",1847,,696,,333.807151424
"bmu",1847,,1476,,
"bol",1847,,1106,36.9,404.69
"bra",1847,,1178,38.8,417.44
"brb",1847,,1099,,554.227623833
"brn",1847,,1662,,454.69
"btn",1847,,666,47.4,445.561256618
"bwa",1847,,454,35.6,397.2
"caf",1847,,485,46.8,443.79
"can",1847,,2114,28.6,313.69
"che",1847,,3600,48.8,344.77
"chl",1847,,1222,62,417.44
"chn",1847,,986,37.7,417.44
"civ",1847,,980,40.9,427.86
"cmr",1847,,715,47.2,460.21
"cod",1847,,588,42.1,422.65
"cog",1847,,656,47.6,408.51
"col",1847,,1035,58.9,417.44
"com",1847,,730,40.7,416.16
"cpv",1847,,595,49.2,394.71
"cri",1847,,1051,46.6,441.12
"cub",1847,,1490,39.2,366.84
"cym",1847,,1250,,
"cyp",1847,,1178,36.2,339.12
"cze",1847,,2393,47.2,379.99
"deu",1847,,2158,44.6,464.46
"dji",1847,,873,43.9,445.15
"dma",1847,,798,,
"dnk",1847,,2641,52.4,280.66
"dom",1847,,774,43.3,445.15
"dza",1847,,985,62.6,460.21
"ecu",1847,,631,42.8,405.96
"egy",1847,,898,62.6,404.69
"eri",1847,,572,47,441.12
"esp",1847,,1625,32.3,450.6
"est",1847,,1143,48.9,362.15
"eth",1847,,529,47.5,447.88
"fin",1847,,1488,50.6,330.15
"fji",1847,,863,46.8,498.88
"fra",1847,,2638,54.8,258.15
"fsm",1847,,533,,330.335414777
"gab",1847,,393,45.9,435.79
"gbr",1847,,4377,45.1,281.62
"geo",1847,,619,29.7,359.622184593
"gha",1847,,722,44.5,471.38
"gin",1847,,477,32.7,443.79
"gmb",1847,,836,46,460.21
"gnb",1847,,797,49.8,417.44
"gnq",1847,,378,48.6,446.51
"grc",1847,,1771,49.9,360.97
"grd",1847,,1078,,334.33669795
"grl",1847,,526,,
"gtm",1847,,1071,35.3,503.36
"guy",1847,,1460,38.2,429.16
"hkg",1847,,1073,,
"hnd",1847,,955,52.3,393.46
"hrv",1847,,1683,,366.84
"hti",1847,,836,43.2,485.901511965
"hun",1847,,1546,34.5,370.084154889
"idn",1847,,1038,42.9,443.79
"ind",1847,,1054,38.1,509.39
"irl",1847,,1625,31.1,443.79
"irn",1847,,1031,62.6,506.38
"irq",1847,,1086,62.6,427.86
"isl",1847,,1246,,416.02
"isr",1847,,886,44.9,447.543838128
"ita",1847,,2412,51.5,450.6
"jam",1847,,938,39.1,389.77
"jor",1847,,1093,41.7,421.34
"jpn",1847,,1120,46.5,363.32
"kaz",1847,,1390,43.3,497.41
"ken",1847,,989,46.3,507.88
"kgz",1847,,646,46,379.30947047
"khm",1847,,943,42.5,379.99
"kir",1847,,574,,381.52410719
"kna",1847,,1401,,
"kor",1847,,549,32.1,503.36
"kwt",1847,,1308,43.9,500.35
"lao",1847,,925,38.4,418.74
"lbn",1847,,1322,62.6,447.88
"lbr",1847,,859,42.4,429.16
"lby",1847,,1466,43.3,404.69
"lca",1847,,958,,343.346006298
"lka",1847,,925,46.2,409.79
"lso",1847,,404,53.7,407.24
"ltu",1847,,1548,48.9,458.81
"lux",1847,,2005,33.5,357.45
"lva",1847,,915,48.9,404.69
"mac",1847,,1091,,
"mar",1847,,752,62.6,403.44
"mco",1847,,2738,,
"mda",1847,,721,47.8,363.619711372
"mdg",1847,,654,41,437.13
"mdv",1847,,843,,426.38646238
"mex",1847,,1302,32.5,487.15
"mhl",1847,,555,,
"mkd",1847,,863,32.5,389.721150709
"mli",1847,,610,47.2,494.48
"mlt",1847,,1004,,243.16393055
"mmr",1847,,846,30.5,433.13
"mne",1847,,1322,36.6,375.2
"mng",1847,,622,41.2,420.04
"moz",1847,,401,47.2,439.79
"mrt",1847,,603,48.6,417.44
"mus",1847,,1074,41.4,427.86
"mwi",1847,,352,45.7,439.79
"mys",1847,,1057,25.3,435.79
"nam",1847,,811,52.6,412.34
"ner",1847,,510,43.3,433.13
"nga",1847,,998,48,438.46
"nic",1847,,1300,49.3,509.39
"nld",1847,,4380,49.3,338.26
"nor",1847,,1682,47.4,226.22
"npl",1847,,659,41,407.24
"nru",1847,,633,,
"nzl",1847,,1384,38.2,390.99
"omn",1847,,1027,44.8,413.61
"pak",1847,,1023,28.7,501.85
"pan",1847,,1152,50.6,405.96
"per",1847,,1296,46.3,371.61
"phl",1847,,1004,32.5,431.79
"plw",1847,,922,,
"png",1847,,600,25.8,423.95
"pol",1847,,1451,36,369.21
"pri",1847,,1597,,
"prk",1847,,552,47.6,500.35
"prt",1847,,1697,35.6,372.81
"pry",1847,,1174,49,374
"pse",1847,,1229,39.6,434.753241425
"qat",1847,,1308,43.9,433.13
"rou",1847,,1183,47.8,371.61
"rus",1847,,1744,54.4,418.74
"rwa",1847,,457,59,420.04
"sau",1847,,887,45.7,416.16
"sdn",1847,,592,33.8,425.25
"sen",1847,,568,44.5,512.4
"sgp",1847,,1088,41.7,392.21
"slb",1847,,400,48,504.87
"sle",1847,,839,52.7,513.91
"slv",1847,,1226,47.9,461.6
"smr",1847,,1525,,
"som",1847,,725,50.9,451.96
"srb",1847,,1698,32.5,374
"ssd",1847,,580,33.78,490.08
"stp",1847,,928,,366.935719317
"sur",1847,,1969,37,405.96
"svk",1847,,1783,47.2,363.32
"svn",1847,,1761,27.7,360.97
"swe",1847,,1663,58.9,270.15
"swz",1847,,559,54.2,413.61
"syc",1847,,954,,294.673561699
"syr",1847,,1121,62.6,429.16
"tca",1847,,585,,
"tcd",1847,,478,50.6,431.79
"tgo",1847,,780,41.1,426.55
"tha",1847,,971,42.5,438.46
"tjk",1847,,653,47.4,343.765929281
"tkm",1847,,1150,41.4,485.840440834
"tls",1847,,572,40.1,452.132470571
"ton",1847,,728,,308.048339008
"tto",1847,,1428,44,335.73
"tun",1847,,817,62.6,460.21
"tur",1847,,1413,39.5,379.99
"tuv",1847,,790,,
"twn",1847,,1003,,
"tza",1847,,606,37.6,414.89
"uga",1847,,530,41,510.9
"ukr",1847,,930,31.8,360.97
"ury",1847,,3321,48.1,405.96
"usa",1847,,3046,55.6,402.636
"uzb",1847,,547,44.4,380.446842159
"vct",1847,,1008,,354.576236943
"ven",1847,,771,43.8,414.89
"vnm",1847,,848,40.4,417.44
"vut",1847,,643,,327.45661581
"wsm",1847,,1539,,381.711365619
"yem",1847,,1002,62.6,540.44
"zaf",1847,,1176,35.9,398.45
"zmb",1847,,743,42.7,409.79
"zwe",1847,,920,34.6,395.95
