"geo","time","sg_population","sg_gdp_p_cap_const_ppp2011_dollar","sg_gini","sg_child_mortality_rate_per1000"
"abw",1909,,1521,,
"afg",1909,,818,42.2,476.74
"ago",1909,,997,40.3,478.15
"alb",1909,,1302,27.7,369.38
"and",1909,,3554,,
"are",1909,,2279,43.9,427.72
"arg",1909,,8275,45.9,257.882228754
"arm",1909,,919,36.6,292.453967323
"atg",1909,,1382,,195.465128687
"aus",1909,,8311,41.1,100.18
"aut",1909,,6620,37,339.88
"aze",1909,,1598,43.9,286.605031671
"bdi",1909,,462,43.7,417.37
"bel",1909,,7431,50.1,195.89
"ben",1909,,920,41.4,423.78
"bfa",1909,,532,37.5,447.64
"bgd",1909,,1163,38.8,554.46
"bgr",1909,,2394,31.5,279.78
"bhr",1909,,2715,39.7,432.97
"bhs",1909,,2639,,183.01674221
"bih",1909,,1195,45.6,372.92
"blr",1909,,1293,50,302.48
"blz",1909,,1057,,214.234987025
"bmu",1909,,2242,,
"bol",1909,,1988,36.9,398.41
"bra",1909,,1475,26.1,410.96
"brb",1909,,1668,,409.33
"brn",1909,,2051,,447.64
"btn",1909,,752,47.7,423.123570882
"bwa",1909,,612,35.6,391.04
"caf",1909,,654,47.9,436.91
"can",1909,,6432,40.7,222.2
"che",1909,,10676,37.4,150.57
"chl",1909,,4098,73.8,511.56
"chn",1909,,956,38.1,410.96
"civ",1909,,1256,43,421.22
"cmr",1909,,965,42,453.07
"cod",1909,,760,42.1,416.09
"cog",1909,,782,39.6,402.18
"col",1909,,1356,57.1,410.96
"com",1909,,778,44.1,409.7
"cpv",1909,,775,47.9,388.58
"cri",1909,,2101,45.2,372.92
"cub",1909,,3059,40.1,374.1
"cym",1909,,1898,,
"cyp",1909,,2451,41.9,255.99
"cze",1909,,4501,38.7,276.74
"deu",1909,,5049,43.6,276.23
"dji",1909,,1062,44.4,438.25
"dma",1909,,1211,,
"dnk",1909,,6810,46.6,123.63
"dom",1909,,1084,44.3,438.25
"dza",1909,,1929,36.3,453.07
"ecu",1909,,937,45,399.67
"egy",1909,,1349,41.3,398.41
"eri",1909,,669,48.4,434.28
"esp",1909,,3027,34.9,286.4
"est",1909,,2142,36.7,250.23
"eth",1909,,541,47.5,440.93
"fin",1909,,3154,38.3,185
"fji",1909,,1065,44.6,491.14
"fra",1909,,4774,54.5,167.46
"fsm",1909,,554,,219.349759051
"gab",1909,,411,45.9,429.03
"gbr",1909,,8163,41.6,162.94
"geo",1909,,1047,36.1,294.542304016
"gha",1909,,958,40.3,453.60983454
"gin",1909,,542,40.9,416.173370729
"gmb",1909,,878,46.7,453.07
"gnb",1909,,838,49.8,410.96
"gnq",1909,,419,51.4,439.59
"grc",1909,,3396,37.8,299.33
"grd",1909,,1402,,211.954545237
"grl",1909,,1018,,
"gtm",1909,,1773,38.2,495.55
"guy",1909,,2217,42.2,339.88
"hkg",1909,,2008,,
"hnd",1909,,2107,43,387.35
"hrv",1909,,3258,,361.15
"hti",1909,,1571,43.8,476.034624627
"hun",1909,,3350,35.1,347.97
"idn",1909,,1253,42,436.91
"ind",1909,,1396,31,366.777689951
"irl",1909,,4405,37,134.77
"irn",1909,,1406,37.5,498.52
"irq",1909,,1620,43.8,421.22
"isl",1909,,2812,,174.15
"isr",1909,,1105,44.9,341.508347063
"ita",1909,,4378,49,261.48
"jam",1909,,1020,38.4,284.37
"jor",1909,,1631,43.3,414.81
"jpn",1909,,1997,52.1,319.58
"kaz",1909,,2604,33.4,431.66
"ken",1909,,1260,49.2,500
"kgz",1909,,1112,42.1,347.190071726
"khm",1909,,1033,46,374.1
"kir",1909,,606,,304.083675339
"kna",1909,,2127,,
"kor",1909,,536,32.1,525.78
"kwt",1909,,2507,41.8,492.59
"lao",1909,,1072,38.4,412.24
"lbn",1909,,2284,43.2,440.93
"lbr",1909,,1015,46,422.5
"lby",1909,,3134,40.8,398.41
"lca",1909,,1175,,233.756733346
"lka",1909,,1914,44.8,431.66
"lso",1909,,418,51.5,400.92
"ltu",1909,,2901,39.9,266.77
"lux",1909,,4171,38.6,238.83
"lva",1909,,1715,39.9,227.67
"mac",1909,,1346,,
