geo,time,age,pop
"swe",1950,0,109380
"swe",1950,1,118210
"swe",1950,2,123940
"swe",1950,3,126920
"swe",1950,4,127520
"swe",1950,5,126090
"swe",1950,6,122980
"swe",1950,7,118560
"swe",1950,8,113170
"swe",1950,9,107180
"swe",1950,10,100550
"swe",1950,11,93230
"swe",1950,12,87580
"swe",1950,13,84740
"swe",1950,14,83880
"swe",1950,15,82930
"swe",1950,16,82220
"swe",1950,17,82260
"swe",1950,18,83070
"swe",1950,19,84510
"swe",1950,20,86280
"swe",1950,21,88260
"swe",1950,22,90810
"swe",1950,23,94030
"swe",1950,24,97610
"swe",1950,25,101210
"swe",1950,26,105020
"swe",1950,27,107710
"swe",1950,28,108640
"swe",1950,29,108390
"swe",1950,30,108220
"swe",1950,31,107860
"swe",1950,32,107650
"swe",1950,33,107890
"swe",1950,34,108360
"swe",1950,35,108520
"swe",1950,36,108410
"swe",1950,37,108420
"swe",1950,38,108660
"swe",1950,39,108950
"swe",1950,40,109080
"swe",1950,41,109160
"swe",1950,42,108520
"swe",1950,43,106820
"swe",1950,44,104400
"swe",1950,45,101950
"swe",1950,46,99320
"swe",1950,47,96870
"swe",1950,48,94820
"swe",1950,49,93010
"swe",1950,50,91050
"swe",1950,51,89040
"swe",1950,52,86920
"swe",1950,53,84660
"swe",1950,54,82310
"swe",1950,55,79960
"swe",1950,56,77570
"swe",1950,57,75350
"swe",1950,58,73430
"swe",1950,59,71660
"swe",1950,60,69860
"swe",1950,61,68070
"swe",1950,62,66080
"swe",1950,63,63750
"swe",1950,64,61220
"swe",1950,65,58690
"swe",1950,66,56080
"swe",1950,67,53590
"swe",1950,68,51360
"swe",1950,69,49250
"swe",1950,70,47070
"swe",1950,71,44890
"swe",1950,72,42410
"swe",1950,73,39440
"swe",1950,74,36170
"swe",1950,75,32990
"swe",1950,76,29850
"swe",1950,77,26740
"swe",1950,78,23680
"swe",1950,79,20720
"swe",1950,80,15160
"swe",1950,81,13880
"swe",1950,82,12570
"swe",1950,83,11250
"swe",1950,84,9940
"swe",1950,85,8640
"swe",1950,86,7370
"swe",1950,87,6180
"swe",1950,88,5130
"swe",1950,89,4200
"swe",1950,90,3320
"swe",1950,91,2490
"swe",1950,92,1810
"swe",1950,93,1310
"swe",1950,94,960
"swe",1950,95,670
"swe",1950,96,440
"swe",1950,97,270
"swe",1950,98,140
"swe",1950,99,60
"swe",1950,100,0
"swe",1950,101,0
"swe",1950,102,0
"swe",1950,103,0
"swe",1950,104,0
"swe",1950,105,0
"swe",1950,106,0
"swe",1950,107,0
"swe",1950,108,0
"swe",1950,109,0
"swe",1950,110,0
"swe",1950,111,0
"swe",1950,112,0
"swe",1950,113,0
"swe",1950,114,0
"swe",1950,115,0
"swe",1950,116,0
"swe",1950,117,0
"swe",1950,118,0
"swe",1950,119,0
"swe",1950,120,0
"swe",1950,121,0
"swe",1950,122,0
"swe",1950,123,0
"swe",1950,124,0
"swe",1950,125,0
"swe",1950,126,0
"swe",1950,127,0
"swe",1950,128,0
"swe",1950,129,0
"swe",1950,130,0
"swe",1951,0,102140
"swe",1951,1,112180
"swe",1951,2,119640
"swe",1951,3,124390
"swe",1951,4,126740
"swe",1951,5,126980
"swe",1951,6,125460
