"geo","time","sg_population","sg_gdp_p_cap_const_ppp2011_dollar","sg_gini","sg_child_mortality_rate_per1000"
"abw",1930,34286,2375,,
"afg",1930,6394908,913,37.7,457.403312217
"ago",1930,3642200,1693,52.8,454.34
"aia",1930,4400,,,
"alb",1930,1015991,1696,26.2,340.97
"and",1930,5309,4967,,
"are",1930,59498,1839,44.5,406.619030362
"arg",1930,11898249,7439,45.1,149.264908936
"arm",1930,1123006,1002,39.9,227.5
"asm",1930,10081,,,
"atg",1930,33647,2159,,164.824463445
"aus",1930,6473803,7714,41.3,64.5132372263
"aut",1930,6684058,6957,37.4,156.65
"aze",1930,2399377,1830,41.9,233.49
"bdi",1930,1970229,480,47.8,395.336595624
"bel",1930,8070904,9737,51.4,129.29
"ben",1930,1861685,1066,45.5,405.73238484
"bfa",1930,3701674,534,41.7,426.336890951
"bgd",1930,34357412,1225,38.1,442.864798524
"bgr",1930,6034446,2149,27.9,222.51
"bhr",1930,95901,2883,37.3,411.057765411
"bhs",1930,59422,4999,,152.542465817
"bih",1930,2223485,1326,45.2,296.5
"blr",1930,6476304,1462,25.4,178.58
"blz",1930,50465,1395,,184.532651002
"bmu",1930,27104,4885,,
"bol",1930,2624832,2436,36.8,375.016543748
"bra",1930,33888997,1998,42.7,387.318148148
"brb",1930,169353,2215,,376.465102625
"brn",1930,29451,2557,,275.55
"btn",1930,158911,795,47.4,415.588361344
"bwa",1930,216830,712,40.1,367.27852743
"caf",1930,816635,885,46.6,423.701936808
"can",1930,10450983,7976,41.7,123.86592183
"chanisl",1930,89758,,,
"che",1930,4042310,14769,39.3,67.4
"chl",1930,4309478,4145,72.2,380.445849822
"chn",1930,481222579,1055,46.3,390.5
"civ",1930,2278766,1591,40.5,399.314041241
"cmr",1930,2926419,1167,44.1,431.877313105
"cod",1930,10624852,1070,44.4,394.615532477
"cog",1930,695577,1163,39.3,385.281705945
"cok",1930,10732,,,
"col",1930,8144252,2329,57.8,160.472008674
"com",1930,132799,794,40.1,389.31
"cpv",1930,148278,804,47.7,369.430096121
"cri",1930,550462,2401,47.2,279.004216667
"cub",1930,3918827,5027,38.2,197.254015458
"cym",1930,5866,4136,,
"cyp",1930,345296,3040,40.9,220.74
"cze",1930,8259391,6742,41,161.98
"deu",1930,66439556,6791,45.8,122.392577491
"dji",1930,52894,1762,42.5,416.43
"dma",1930,40686,1601,,
"dnk",1930,3542561,9571,46.6,93.9479558824
"dom",1930,1289191,1464,42.2,396.019132831
"dza",1930,6876190,2942,40.3,411.745803134
"ecu",1930,2042719,1723,42.6,381.084162822
"egy",1930,15293269,1513,45.7,354.168354048
"eri",1930,875495,728,47.9,412.66
"esh",1930,10239,,,
"esp",1930,23513708,4367,36.1,215.897085863
"est",1930,915693,3053,41,170.59
"eth",1930,13651181,558,51.4,419.136400664
"fin",1930,3450505,4489,44,106.36
"fji",1930,180533,1651,42.9,427.722175
"flk",1930,1227,,,
"fra",1930,41662571,6835,61.5,101.929303449
"fro",1930,27784,,,
"fsm",1930,28511,780,,190.945088924
"gab",1930,401405,501,49.8,407.67
"gbm",1930,48557,,,
"gbr",1930,45957969,8722,41.9,89.2214390515
"geo",1930,2929603,1188,39.2,239.48
"gha",1930,3079535,1763,43.9,387.149286374
"gib",1930,18311,,,
"gin",1930,2588541,574,45.5,371.789712882
"glp",1930,180831,,,
"gmb",1930,234015,927,46.5,430.085009359
"gnb",1930,466967,842,53.4,390.5
"gnq",1930,157032,453,50.9,417.7
"grc",1930,6253203,4723,41.8,147.337702421
"grd",1930,68474,1537,,181.634396534
"grl",1930,20015,1798,,
"gtm",1930,1918783,2694,42.9,467.845108861
"guf",1930,21870,,,
"gum",1930,19440,,,
"guy",1930,350185,3025,42.2,284.063945101
"hkg",1930,822959,2606,,
"hnd",1930,962852,2940,42.4,366.533220691
"hos",1930,911,,,
"hrv",1930,3231909,4139,,260.1
"hti",1930,2448268,1946,42.6,448.826351002
"hun",1930,8635353,4913,29.8,246.555300546
"idn",1930,53403726,1795,50.2,394.005908779
"ind",1930,285470839,1244,31.6,294.689019749
"irl",1930,2907196,5025,58.7,93.513180212
"irn",1930,13315170,2317,42.1,473.7
"irq",1930,3728811,2200,52.3,400.085333242
"isl",1930,124871,4444,,64.0544934641
"isr",1930,564900,1961,44.9,95.24
"ita",1930,40771062,5608,50.6,165.94
"jam",1930,1009819,1591,42.5,223.185367089
"jor",1930,376677,2232,42,393.081263557
"jpn",1930,63863524,2592,51,196.738175087
"kaz",1930,5564071,3011,39.5,309.88
"ken",1930,3076616,1508,58.6,495.434182099
"kgz",1930,1447315,1578,41.2,289.157500547
"khm",1930,3653758,1068,45.8,355.47
"kir",1930,31000,991,,281.483107192
"kna",1930,39653,2677,,
"kor",1930,13929869,784,32,375.74721027
"kwt",1930,120719,1867,40.5,470.216333119
"lao",1930,1506126,1112,42.6,391.72
"lbn",1930,868061,3932,48.6,418.813549376
