"geo","time","sg_population","sg_gdp_p_cap_const_ppp2011_dollar","sg_gini","sg_child_mortality_rate_per1000"
"abw",1881,,1260,,
"afg",1881,,744,42.4,479.96
"ago",1881,,881,31.5,485.68
"alb",1881,,882,34.2,375.2
"and",1881,,2553,,
"are",1881,,1520,43.5,434.46
"arg",1881,,3051,34.2,404.69
"arm",1881,,652,44.8,333.885145212
"atg",1881,,1145,,245.357562541
"aus",1881,,7403,39.6,179.05
"aut",1881,,4063,36.6,406.11
"aze",1881,,1090,44.2,325.32985761
"bdi",1881,,451,43.7,423.95
"bel",1881,,5707,50.7,241.85
"ben",1881,,803,43.5,430.46
"bfa",1881,,515,37.5,454.69
"bgd",1881,,905,44.2,524.7
"bgr",1881,,1648,40.6,329.04
"bhr",1881,,2177,42.2,439.79
"bhs",1881,,2186,,233.323006793
"bih",1881,,918,44,378.8
"blr",1881,,876,50,365.67
"blz",1881,,875,,261.741995293
"bmu",1881,,1856,,
"bol",1881,,1525,36.9,404.69
"bra",1881,,1467,32.5,417.44
"brb",1881,,1382,,624.650902201
"brn",1881,,1865,,454.69
"btn",1881,,712,47.9,433.113283315
"bwa",1881,,535,35.6,397.2
"caf",1881,,571,48.7,443.79
"can",1881,,3394,42.4,272.99
"che",1881,,6222,42,262.22
"chl",1881,,2658,68.1,417.44
"chn",1881,,1011,30,417.44
"civ",1881,,1123,44.4,427.86
"cmr",1881,,843,36,460.21
"cod",1881,,677,42.1,422.65
"cog",1881,,723,43.2,408.51
"col",1881,,1130,49.9,417.44
"com",1881,,756,46.2,416.16
"cpv",1881,,688,48.3,394.71
"cri",1881,,1537,44.1,441.12
"cub",1881,,2211,41.2,345.92
"cym",1881,,1572,,
"cyp",1881,,1760,41.4,339.12
"cze",1881,,3061,47.7,379.99
"deu",1881,,3110,42.4,364.1
"dji",1881,,972,45.7,445.15
"dma",1881,,1003,,
"dnk",1881,,3917,49.4,187.03
"dom",1881,,931,45.7,445.15
"dza",1881,,1424,38.4,460.21
"ecu",1881,,784,46.3,405.96
"egy",1881,,988,39.7,404.69
"eri",1881,,623,48.4,441.12
"esp",1881,,2559,32.4,307.34
"est",1881,,1424,39.7,320.22
"eth",1881,,535,47.5,447.88
"fin",1881,,1851,42.5,319.17
"fji",1881,,968,46.3,498.88
"fra",1881,,3782,52.5,244.14
"fsm",1881,,545,,263.90161831
"gab",1881,,395,45.9,435.79
