geo,geo.name,geo.cat,geo.region,time,pop,gdp_per_cap,gini,u5mr,lat,lng
grc,Greece,country,eur,2000,10954032,25030,34.4,7.8,39,22
gtm,Guatemala,country,ame,2000,11688660,6313,54.8,50.6,14.64072,-90.51327
guy,Guyana,country,ame,2000,742218,5071,43.2,46.7,5,-59
hnd,Honduras,country,ame,2000,6243080,3483,58.8,37.4,15,-86.5
hti,Haiti,country,ame,2000,8549202,1734,50.1,104.8,19,-72.41667
hun,Hungary,country,eur,2000,10224113,17707,29.3,11.2,47,20
idn,Indonesia,country,asi,2000,211540428,5878,50,52.3,-5,120
ind,India,country,asi,2000,1053481072,2548,47.4,91.2,22,79
irl,Ireland,country,eur,2000,3841574,41198,33.2,7.1,53,-8
irn,Iran,country,asi,2000,65850062,11719,46.5,34.7,32,53
irq,Iraq,country,asi,2000,23574751,11764,39.4,44.7,33,44
isr,Israel,country,asi,2000,6013711,25739,34.7,6.9,31.5,34.75
ita,Italy,country,eur,2000,57147081,36073,32.3,5.5,42.83333,12.83333
jam,Jamaica,country,ame,2000,2600095,8139,43.2,22,18.16667,-77.25
jor,Jordan,country,asi,2000,4767476,7695,43.5,27.7,31,36
jpn,Japan,country,asi,2000,125714674,32193,33.7,4.5,35.68536,139.75309
kaz,Kazakhstan,country,asi,2000,14956769,9706,34,43.6,48,68
ken,Kenya,country,afr,2000,31065820,2143,51.2,102.5,1,38
kgz,Kyrgyz Republic,country,asi,2000,4954850,2075,30.8,48.7,41.5,75
khm,Cambodia,country,asi,2000,12197905,1368,39.1,108.3,13,105
kor,South Korea,country,asi,2000,46206271,20757,37.2,6.1,36.5,127.75
kwt,Kuwait,country,asi,2000,1929470,75219,39.3,12.7,29.36972,47.97833
lao,Lao,country,asi,2000,5342879,2327,41.6,117.7,18,105
lbn,Lebanon,country,asi,2000,3235380,12335,41.7,20,33.83333,35.83333
lbr,Liberia,country,afr,2000,2891968,473,39,181.8,6.5,-9.5
lby,Libya,country,afr,2000,5337264,22682,38.8,28.1,28,17
lka,Sri Lanka,country,asi,2000,18783745,4946,46,16.3,7.75,80.75
lso,Lesotho,country,afr,2000,1856225,1629,56.5,106,-29.5,28.25
ltu,Lithuania,country,eur,2000,3486373,12484,31.7,11.8,55.41667,24
lux,Luxembourg,country,eur,2000,436107,81425,27.4,4.8,49.61167,6.13
lva,Latvia,country,eur,2000,2371481,10859,42.2,17.2,57,25
mar,Morocco,country,afr,2000,28950553,4430,46,50,32,-6
mda,Moldova,country,eur,2000,4201088,2329,43.7,31.4,47.25,28.58333
mdg,Madagascar,country,afr,2000,15744811,1446,43.4,109.2,-20,47
mex,Mexico,country,ame,2000,102808590,14704,50.7,25.6,19.42847,-99.12766
mkd,Macedonia, FYR,country,eur,2000,2012051,8543,34.4,16,41.66667,21.75
mli,Mali,country,afr,2000,11046926,1269,41.4,219.6,18,-2
mmr,Myanmar,country,asi,2000,47669791,2069,44.3,82.3,21,96
mne,Montenegro,country,eur,2000,613557,9803,31,13.8,42.75,19.25
mng,Mongolia,country,asi,2000,2397438,4655,31.6,62.7,46,105
moz,Mozambique,country,afr,2000,18264536,583,42,168,-18.25,35
mrt,Mauritania,country,afr,2000,2711421,2738,39,113.5,20.25,-10.5
mus,Mauritius,country,afr,2000,1185143,11349,41,18.6,-20.3,57.58333
mwi,Malawi,country,afr,2000,11193230,632,39.2,172.8,-13.5,34
mys,Malaysia,country,asi,2000,23420751,15695,48.9,10.2,2.5,112.5
nam,Namibia,country,afr,2000,1897953,6111,64.1,71.4,-22,17
ner,Niger,country,afr,2000,11224523,778,47.8,227.3,18,9
nga,Nigeria,country,afr,2000,122876723,2836,51.2,186.8,10,8
nic,Nicaragua,country,ame,2000,5026792,3424,43.8,40.3,13,-85
nld,Netherlands,country,eur,2000,15894016,41771,29.2,6.2,52.25,5.75
nor,Norway,country,eur,2000,4491572,58699,26.1,4.9,62,10
npl,Nepal,country,asi,2000,23740145,1577,45.5,80.6,28,84
nzl,New Zealand,country,asi,2000,3858234,27963,33.9,7.4,-42,174
omn,Oman,country,asi,2000,2239403,45472,40.9,16.6,21,57
pak,Pakistan,country,asi,2000,138250487,3366,40.7,112.3,30,70
pan,Panama,country,ame,2000,3028751,9954,57.7,26,8.9936,-79.51973
per,Peru,country,ame,2000,25914875,6485,50.9,38.6,-10,-75.25
phl,Philippines,country,asi,2000,77932247,4243,46.1,39.7,13,122
png,Papua New Guinea,country,asi,2000,5374051,1856,50.3,78.5,-6,147
pol,Poland,country,eur,2000,38486305,14565,33,9.3,52,20
prk,North Korea,country,asi,2000,22840218,1287,46.9,60,40,127
prt,Portugal,country,eur,2000,10278542,26147,42.4,7.2,39.6945,-8.13057
pry,Paraguay,country,ame,2000,5302703,6031,57.7,33.5,-23.33333,-58
pse,West Bank and Gaza,country,asi,2000,3223781,4206,34.8,29.8,31.5,34.46667
qat,Qatar,country,asi,2000,593453,112238,43.7,12.4,25.27932,51.52245
rou,Romania,country,eur,2000,22128139,9970,33.4,26.9,46,25
rus,Russia,country,eur,2000,146400951,13173,40,23.2,60,100
rwa,Rwanda,country,afr,2000,8021875,764,51.5,179,-2,30
sau,Saudi Arabia,country,asi,2000,21392273,37531,42.4,22.9,25,45
sdn,Sudan,country,afr,2000,28079664,2258,35.6,105.9,16,30
sds,South Sudan,country,afr,2000,6692999,2684,35.59,182.3,7.5,30
sen,Senegal,country,afr,2000,9860578,1916,41.9,134.9,14.5,-14.25
sgp,Singapore,country,asi,2000,3918183,51663,45.8,4,1.28967,103.85007
slb,Solomon Islands,country,asi,2000,412336,1731,46.5,33.1,-8,159
sle,Sierra Leone,country,afr,2000,4060709,1006,39.3,235.8,8.5,-11.5
slv,El Salvador,country,ame,2000,5811836,6266,52.9,32.4,13.83333,-88.91667
som,Somalia,country,afr,2000,7385416,603,45.2,174.4,6,48
srb,Serbia,country,eur,2000,9463306,7741,31.3,12.6,44.81892,20.45998
sur,Suriname,country,ame,2000,480751,9908,51.8,34.4,4,-56
svk,Slovak Republic,country,eur,2000,5386065,15242,28.3,11.8,48.66667,19.5
svn,Slovenia,country,eur,2000,1988652,22488,29.6,5.5,46.08333,15
swe,Sweden,country,eur,2000,8872284,36816,24.3,4.1,62,15
swz,Swaziland,country,afr,2000,1063715,5257,53.4,109.5,-26.5,31.5
syr,Syria,country,asi,2000,16354050,5188,32,23.4,35,38
tcd,Chad,country,afr,2000,8343321,998,40.2,190.2,15,19
tgo,Togo,country,afr,2000,4874735,1305,43.5,120.8,8.66667,1.08333
tha,Thailand,country,asi,2000,62693322,8939,42.8,22.5,15.5,101
tjk,Tajikistan,country,asi,2000,6186152,1186,30.3,93,39,71
tkm,Turkmenistan,country,asi,2000,4501419,5351,46.4,81.6,39.75,59.66667
tls,Timor-Leste,country,asi,2000,847185,1322,32.6,110.2,-8.83333,125.75
tto,Trinidad and Tobago,country,ame,2000,1267980,17721,39.8,28.7,11,-61
tun,Tunisia,country,afr,2000,9699192,7464,40.8,31.7,34,9
tur,Turkey,country,eur,2000,63240157,13025,46,39.6,39,35
tza,Tanzania,country,afr,2000,33991590,1488,34.6,128.4,-6,35
uga,Uganda,country,afr,2000,23757636,1042,54.6,145.4,1.25,32.5
ukr,Ukraine,country,eur,2000,48746269,4809,32.9,18.5,49,32
ury,Uruguay,country,ame,2000,3321242,12876,44.4,16.8,-33,-56
usa,United States,country,ame,2000,282895741,45986,35.7,8.4,39.76,-98.5
uzb,Uzbekistan,country,asi,2000,24518222,2471,47.2,63.2,41.66667,63.83333
ven,Venezuela,country,ame,2000,24481477,14461,49.6,21.7,8,-66
vnm,Vietnam,country,asi,2000,80285563,2650,43.6,33.8,16.16667,107.83333
yem,Yemen,country,asi,2000,17795219,4017,34.1,95.6,15.5,47.5
zaf,South Africa,country,afr,2000,44896856,9927,57.8,74,-29,24
zmb,Zambia,country,afr,2000,10585220,2202,49.8,160,-14.33333,28.5
zwe,Zimbabwe,country,afr,2000,12499981,2521,60.8,88.7,-19,29.75
