"geo","time","population","gdp_p_cap_const_ppp2011_dollar","gini","fertility_rate"
"abkh",1999,,,40,
"abw",1999,89004,42564,40,1.91
"afg",1999,19038420,972,36.6375471365,7.81
"ago",1999,14601983,3389,44.5458856452,6.88
"aia",1999,10797,,40,
"akr_a_dhe",1999,15051,,40,
"alb",1999,3114851,4912,35.6205815674,2.47
"and",1999,64161,31940,40,
"ant",1999,181325,,40,2.11
"arg",1999,36648054,11722,46.58,2.54
"arm",1999,3093820,2740,55.7320091104,1.4
"asm",1999,56768,,40,
"atg",1999,76041,18780,40,2.32
"aus",1999,18906936,34346,44.1759251484,1.76
"aut",1999,8032953,37382,32.4831,1.34
"aze",1999,8047997,4047,37.9412458824,2.11
"bdi",1999,6623707,744,41.25,7.11
"bel",1999,10237402,36209,31.8149675302,1.62
"ben",1999,6740491,1500,46.303848125,6.05
"bfa",1999,11283016,1057,51.44269,6.65
"bgd",1999,128746273,1579,46.127494,3.23
"bgr",1999,8066219,8516,47.05062,1.18
"bhr",1999,640904,44619,40,2.81
"bhs",1999,293572,25193,43.4854161774,2.17
"bih",1999,3784389,5965,40,1.43
"blr",1999,10005259,6879,33.8255735121,1.25
"blz",1999,239024,6568,40,3.7
"bmu",1999,63768,47200,40,
"bol",1999,8182710,4312,43.1111404545,4.22
"bra",1999,173153066,11139,61.02,2.4
"brb",1999,268920,14400,45.3884777251,1.76
"brn",1999,323812,74041,40,2.48
"btn",1999,548387,3459,40,3.81
"bwa",1999,1708368,10228,61.811624,3.52
"caf",1999,3653310,887,49.908778,5.49
"can",1999,30420216,35810,40.0708287597,1.54
"cck",1999,627,,40,
"chanisl",1999,147682,,40,1.4
"cheslo",1999,15675936,,40,
"chl",1999,14980484,14159,56.18,2.14
"chn",1999,1262713651,3419,44.072778,1.45
"civ",1999,16137824,3178,50.462465,5.46
"cmr",1999,15514249,2369,55.491926,5.68
"cod",1999,46788238,583,44.0052683099,7.14
"cog",1999,3031969,4413,42.2364377419,5.14
"cok",1999,17806,,40,
"col",1999,39819279,8194,57.24,2.68
"com",1999,533909,1407,51.1814296875,5.31
"cpv",1999,429576,3363,40,3.88
"cri",1999,3848725,9610,45.1823529412,2.48
"cub",1999,11080506,10674,42.0226590323,1.62
"cxr",1999,2431,,40,
"cym",1999,39810,58007,40,
"cyp",1999,925491,28698,40,1.78
"cyp_nor",1999,,,40,
"cze",1999,10280525,20082,30.449072,1.14
"deu",1999,81965830,35931,49.8485807205,1.35
"deu_east",1999,16131560,,40,
"dji",1999,710652,2103,43.9197011765,4.61
"dma",1999,69902,8035,40,
"dnk",1999,5319410,40321,38.8299996948,1.74
"dom",1999,8429116,7649,47.7058823529,2.93
"dza",1999,30766551,9810,42.48379,2.63
"ecu",1999,12398691,7511,45.6169123529,3.11
"egy",1999,67112877,7528,38.8985774629,3.37
"eri",1999,3429656,1550,40,6.02
"eri_a_eth",1999,67346481,,40,
"est",1999,1403821,13723,37.952824,1.31
"eth",1999,64550161,604,46.53951,6.66
"fin",1999,5164780,32743,27.28,1.73
"fji",1999,806494,6594,43.09375,3.13
"flk",1999,2818,,40,
"fra",1999,59107738,33707,37.2195665194,1.8
"fro",1999,45852,,40,
"fsm",1999,107808,3018,40,4.39
"gab",1999,1202412,18413,45.9521588,4.66
"gbg",1999,63804,,40,
"gbm",1999,75879,,40,
"geo",1999,4801695,3185,49.934096,1.64
"gha",1999,18384426,2244,41.465834,4.73
"gib",1999,27233,,40,
"gin",1999,8647336,1130,43.702505,6.01
"glp",1999,426474,,40,2.08
"gmb",1999,1192920,1527,44.7189036364,5.94
"gnb",1999,1287727,1289,38.26032,5.93
"gnq",1999,513347,10273,40,5.81
"grc",1999,10910741,24152,33.62,1.27
"grd",1999,101441,9489,40,2.67
"grl",1999,56049,19182,40,2.42
"gtm",1999,11408815,6239,55.04,4.88
"guf",1999,156764,,40,3.88
"gum",1999,153951,,40,2.85
"guy",1999,740189,5166,43.24,2.56
"hkg",1999,6689135,31875,52.22,0.88
"hnd",1999,6114534,3362,57.808,4.12
"hos",1999,786,,40,
"hrv",1999,4456298,14652,38.33645,1.47
"hti",1999,8404396,1748,49.768643,4.43
"hun",1999,10253110,16943,29.169686,1.33
"idn",1999,208644079,5684,48.2,2.5
"ind",1999,1034976626,2496,47.2015777188,3.21
"irl",1999,3788816,38122,45.0800297886,1.94
"irn",1999,64780362,11327,48.5,2.34
"irq",1999,22888600,11958,39.3621,5.05
"isl",1999,278376,32521,40,2.02
"isr",1999,5891263,24263,50.2,2.92
"ita",1999,57035249,34798,36.903364,1.21
"jam",1999,2579973,8115,43.17325,2.63
"jey",1999,88431,,40,
"jor",1999,4691402,7566,43.348652,4.16
"jpn",1999,125481050,31535,33.6185560285,1.34
"kaz",1999,15059994,8813,39.5336042857,1.94
"ken",1999,30301240,2187,50.097544,5.03
"kgz",1999,4893658,1991,35.84888,2.78
"khm",1999,11928306,1285,45.0042682353,3.9
"kir",1999,82969,1676,40,4.01
"kna",1999,,18904,40,
"kor",1999,45908307,19233,37.2,1.41
"korea_union",1999,68487028,,,
"kos",1999,2636136,4353,40,
"kwt",1999,1853152,75316,40,2.9
"lao",1999,5256207,2237,41.445334,4.42
"lbn",1999,3156661,12475,42.4668989547,2.31
"lbr",1999,2741755,397,40,5.95
"lby",1999,5245414,22235,40,3.14
"lca",1999,,9673,40,2.42
"lie",1999,32843,,40,
"lso",1999,1839631,1563,63,4.2
"ltu",1999,3515218,12002,41.541432,1.38
"lux",1999,431264,76102,41.1431236364,1.71
"lva",1999,2394521,10208,40.649702,1.17
"mac",1999,425448,38504,40,1
"mar",1999,28630973,4414,45.679253,2.8
"mco",1999,31795,48523,40,
"mda",1999,4224270,2276,44.6,1.61
"mdg",1999,15262817,1424,41.91383,5.65
"mdv",1999,275385,6950,40,3.51
"mex",1999,101266570,14177,46.948,2.71
"mhl",1999,52076,2777,40,
"mkd",1999,1999362,8242,33.955,1.73
"mli",1999,10736542,1265,42.5467233333,6.85
"mlt",1999,384663,24330,40,1.67
"mmr",1999,47106923,1998,44.27483,2.51
"mne",1999,614623,9506,40,1.82
"mng",1999,2376165,4643,41.9426841176,2.22
"mnp",1999,67271,,40,
"moz",1999,17774066,592,51.5538771429,5.81
"mrt",1999,2629806,2834,43.9293135294,5.44
"msr",1999,5788,,40,
"mtq",1999,383555,,40,1.92
"mus",1999,1175577,10512,41.297775772,2.02
"mwi",1999,10882543,640,46.69566,6.32
"mys",1999,22898579,14748,49.118024,2.96
"myt",1999,144937,,40,4.64
"nam",1999,1857320,6035,68.6409090909,4.13
"ncl",1999,205983,,40,2.46
"ner",1999,10821434,819,47.11302,7.74
"nfk",1999,1927,,40,
"nga",1999,119826231,2761,50.002108,6.13
"ngokar",1999,,,40,
"nic",1999,4949661,3342,46.4523841176,3.38
"niu",1999,1954,,40,
"nld",1999,15806771,40306,31.9604038039,1.65
"nor",1999,4466468,57246,30.4380448363,1.85
"npl",1999,23315053,1517,48.5539707863,4.21
"nru",1999,10044,9308,40,
"nzl",1999,3817489,27371,37.6656193602,2
"omn",1999,2225481,43544,40,3.99
"pak",1999,135158132,3303,40.68571,4.67
"pan",1999,2970193,9889,57.244,2.84
"pcn",1999,59,,40,
"per",1999,25561297,6411,50.104,2.99
"phl",1999,76285225,4151,48.9218871643,3.85
"plw",1999,18878,13859,40,
"png",1999,5236863,1953,50.30525,4.56
"pol",1999,38515359,13824,33.6221204435,1.39
"pri",1999,3786884,32088,55.200081633,1.93
"prk",1999,22641747,1377,40,2
"prt",1999,10237593,25371,42.60859,1.47
"pry",1999,5196935,6303,57.96,3.76
"pyf",1999,232956,,40,2.52
"qat",1999,570643,107741,40,3.33
"reu",1999,724484,,40,2.36
"rou",1999,22288573,9752,33.527064,1.28
"rus",1999,146924174,11925,37.6683931445,1.16
"rwa",1999,7585143,754,50.7530873333,6
"sau",1999,,36746,40,4.19
"shn",1999,,,40,
"slv",1999,5775660,6165,48.4705882353,3.07
"smr",1999,,51019,40,
"spm",1999,,,40,
"stp",1999,,2186,40,4.73
"tcd",1999,8042713,1045,39.6201182261,7.38
"vct",1999,,7635,40,2.44
"vgb",1999,20186,,40,
"wsm",1999,,4066,40,4.54
