"geo","time","population","gdp_p_cap_const_ppp2011_dollar","gini","child_mortality_rate_per1000"
"abw",1883,,1277,,
"afg",1883,,749,41.1,479.96
"ago",1883,,889,31,485.68
"alb",1883,,909,32.9,375.2
"and",1883,,2614,,
"are",1883,,1564,43.5,434.46
"arg",1883,,4086,35.8,407.24
"arm",1883,,657,42.1,333.012876494
"atg",1883,,1160,,241.40557441
"aus",1883,,7439,39,188.45
"aut",1883,,4203,36.6,410.94
"aze",1883,,1103,44.5,324.000712349
"bdi",1883,,451,43.7,423.95
"bel",1883,,5849,50.3,235.39
"ben",1883,,811,43.3,430.46
"bfa",1883,,516,37.5,454.69
"bgd",1883,,909,43.2,532.48
"bgr",1883,,1699,39.3,327.93
"bhr",1883,,2226,42.1,439.79
"bhs",1883,,2215,,229.310650125
"bih",1883,,944,44.4,378.8
"blr",1883,,886,50,365.67
"blz",1883,,887,,258.024138413
"bmu",1883,,1882,,
"bol",1883,,1554,36.9,404.69
"bra",1883,,1462,30.8,417.44
"brb",1883,,1400,,629.061646135
"brn",1883,,1878,,454.69
"btn",1883,,715,47.9,432.391975976
"bwa",1883,,540,35.6,397.2
"caf",1883,,577,48.8,443.79
"can",1883,,3479,42.1,271.98
"che",1883,,6011,40.4,220.6
"chl",1883,,2815,68.2,417.44
"chn",1883,,1005,28.8,417.44
"civ",1883,,1132,44.6,427.86
"cmr",1883,,851,35.4,460.21
"cod",1883,,683,42.1,422.65
"cog",1883,,727,43,408.51
"col",1883,,1136,48.2,417.44
"com",1883,,757,46.5,416.16
"cpv",1883,,694,48.3,394.71
"cri",1883,,1571,44,441.12
"cub",1883,,2263,41.4,322.4
"cym",1883,,1593,,
"cyp",1883,,1802,41.7,339.12
"cze",1883,,3142,46.4,379.99
"deu",1883,,3292,42,377.02
"dji",1883,,978,45.8,445.15
"dma",1883,,1016,,
"dnk",1883,,4137,48.4,189.67
"dom",1883,,941,45.8,445.15
"dza",1883,,1455,37.2,460.21
"ecu",1883,,794,46.5,405.96
"egy",1883,,1045,38.2,404.69
"eri",1883,,627,48.5,441.12
"esp",1883,,2623,32.2,331.76
"est",1883,,1443,38.1,316.96
"eth",1883,,536,47.5,447.88
"fin",1883,,2051,41,263.01
"fji",1883,,975,46.3,498.88
"fra",1883,,3739,51.5,247.89
"fsm",1883,,545,,260.438982371
"gab",1883,,395,45.9,435.79
"gbr",1883,,6848,41.4,221.54
"geo",1883,,734,29.7,333.519167872
"gha",1883,,757,44.4,471.38
"gin",1883,,514,32.7,438.46
"gmb",1883,,855,46.8,460.21
"gnb",1883,,820,49.8,417.44
"gnq",1883,,397,51.3,446.51
"grc",1883,,2378,39.4,353.98
"grd",1883,,1256,,256.596295581
"grl",1883,,772,,
"gtm",1883,,1435,35.3,503.36
"guy",1883,,1861,38.2,429.16
"hkg",1883,,1368,,
"hnd",1883,,1512,45,393.46
"hrv",1883,,2333,,366.84
"hti",1883,,1206,44.5,485.520036889
