"geo","time","population","gdp_p_cap_const_ppp2011_dollar","gini","child_mortality_rate_per1000"
"abkh",1893,,,40,
"abw",1893,28257,1366,40,
"afg",1893,4801444,774,37.420347,481.39
"ago",1893,2741561,929,30.7600845,485.68
"aia",1893,3391,,40,
"akr_a_dhe",1893,,,40,
"alb",1893,764414,1051,28.2638625,375.2
"and",1893,4208,2942,40,
"ant",1893,,,40,
"arg",1893,3750784,5728,45.5003351751,397.2
"arm",1893,802746,740,33.37079,328.685595858
"asm",1893,6013,,40,
"atg",1893,36221,1241,40,222.580197468
"aus",1893,3318789,6173,39.5600545,179.05
"aut",1893,5568307,4917,36.7710822,377.02
"aze",1893,1713095,1261,40,317.435997654
"bdi",1893,1516314,456,43.69366,423.95
"bel",1893,6296794,6442,49.1745055,255.38
"ben",1893,1298112,851,42.6105426667,430.46
"bfa",1893,2830342,522,37.4998,454.69
"bgd",1893,28090164,969,39.28481,556.64
"bgr",1893,3610070,1933,34.2565104599,323.5
"bhr",1893,73255,2494,40,439.79
"bhs",1893,49342,2370,40,210.260421799
"bih",1893,1610907,1048,40,378.8
"blr",1893,4609950,1016,50,365.67
"blz",1893,32270,949,40,240.21215278
"bmu",1893,15681,2013,40,
"bol",1893,1747760,1709,40,404.69
"bra",1893,15396825,1170,35.9718081479,417.44
"brb",1893,185582,1498,40,651.586960356
"brn",1893,12403,1942,40,454.69
"btn",1893,131188,729,40,428.803418307
"bwa",1893,122290,567,35.60809,397.2
"caf",1893,682683,605,45.24579,443.79
"can",1893,5059364,3890,41.1458337158,279.054510775
"cck",1893,,,40,
"chanisl",1893,70585,,40,
"cheslo",1893,,,40,
"chl",1893,2730646,3155,55.1465756868,441.456827357
"chn",1893,381916019,921,31.8061215,417.44
"civ",1893,1778013,1179,38.09856,427.86
"cmr",1893,2312115,893,34.4552055,460.21
"cod",1893,8337841,712,42.12181,422.65
"cog",1893,532748,748,41.6920654444,408.51
"cok",1893,9746,,40,
"col",1893,3618174,1166,44.0102645,417.44
"com",1893,99572,765,36.30614,416.16
"cpv",1893,106731,724,40,394.71
"cri",1893,247349,1757,40,420.04
"cub",1893,1668648,2541,40,484.25
"cxr",1893,,,40,
"cym",1893,4447,1704,40,
"cyp",1893,215064,2028,40,339.12
"cyp_nor",1893,,,40,
"cze",1893,7211130,3589,41.5923335,379.99
"deu",1893,50024466,3946,39.43184825,364.1
"deu_east",1893,,,40,
"dji",1893,39898,1009,40,445.15
"dma",1893,27576,1087,40,
"dnk",1893,2359812,4800,40.04570675,221.16
"dom",1893,440470,994,40,445.15
"dza",1893,4647936,1622,33.682576,460.21
"ecu",1893,1336246,846,40,405.96
"egy",1893,9243788,1203,34.467016,404.69
"eri",1893,537717,643,40,441.12
"eri_a_eth",1893,,,40,
"est",1893,652624,1665,32.950981,297.7
"eth",1893,8163947,538,47.51967,447.88
"fin",1893,2447020,2239,36.248474,241.35
"fji",1893,121067,1008,40,498.88
"flk",1893,387,,40,
"fra",1893,40159221,3613,49.0186935,249
"fro",1893,21818,,40,
"fsm",1893,23689,549,40,243.795492221
"gab",1893,293528,396,45.85316,435.79
"gbg",1893,,,40,
"gbm",1893,38064,,40,
"geo",1893,2090095,834,30.752161,326.6106432
"gha",1893,1813438,773,38.453185,470.75558797
"gib",1893,14878,,40,
"gin",1893,1870398,524,34.022727,437.13
"glp",1893,137908,,40,
"gmb",1893,177771,860,40,460.21
"gnb",1893,361425,827,49.84899,417.44
"gnq",1893,102718,402,40,446.51
"grc",1893,4575442,2748,34.3754823077,336.86
"grd",1893,54975,1310,40,238.409942934
"grl",1893,15628,859,40,
"gtm",1893,1317413,1556,35.756833,503.36
"guf",1893,16758,,40,
"gum",1893,11788,,40,
"guy",1893,272572,1991,38.8610835,429.16
"hkg",1893,241658,1586,48.7,
"hnd",1893,480008,1718,40,393.46
"hos",1893,909,,40,
"hrv",1893,2334746,2688,40.557668,366.84
"hti",1893,1463914,1335,40,485.41412475
"hun",1893,6766286,2605,39.2189105085,389.96
"idn",1893,34933400,1150,39.48,443.79
"ind",1893,235849873,1164,31.8705053784,529.34
"irl",1893,3276573,3741,33.6613535,152.95
"irn",1893,9587527,1261,38.281331,506.38
"irq",1893,2063321,1429,38.633739,427.86
"isl",1893,98393,2331,40,118.41
"isr",1893,328238,1010,44.86531,447.097831585
"ita",1893,32270864,3279,46.4609545,316.53
