"geo","time","population","gdp_p_cap_const_ppp2011_dollar","gini","fertility_rate"
"abkh",1992,,,40,
"abw",1992,68235,38238,40,2.19
"afg",1992,13745630,941,36.4590208924,7.73
"ago",1992,11848971,3656,45.1090548387,7.12
"aia",1992,8979,,40,
"akr_a_dhe",1992,14328,,40,
"alb",1992,3240613,2877,27.9495300149,2.87
"and",1992,58904,27218,40,
"ant",1992,191730,,40,2.28
"arg",1992,33655149,10130,44.376,2.92
"arm",1992,3449497,1973,45.7226208831,2.4
"asm",1992,49597,,40,
"atg",1992,63434,17226,40,2.1
"aus",1992,17538387,27895,42.5431911643,1.89
"aut",1992,7813393,32113,32.968815,1.51
"aze",1992,7450920,6346,35.192344,2.88
"bdi",1992,5895131,1062,41.46189,7.47
"bel",1992,10050405,31596,28.7714691374,1.6
"ben",1992,5378226,1359,47.8136125,6.6
"bfa",1992,9297116,851,47.441756,6.95
"bgd",1992,110987459,1327,40.653824,4.2
"bgr",1992,8653527,8089,29.9243319406,1.6
"bhr",1992,522748,39854,40,3.47
"bhs",1992,266133,21555,44.0938475627,2.62
"bih",1992,4301169,1970,40,1.59
"blr",1992,10234863,7201,25.3447630242,1.72
"blz",1992,194321,6154,40,4.36
"bmu",1992,61680,39584,40,
"bol",1992,7131699,3817,42.9017545455,4.81
"bra",1992,155379009,10104,59.28,2.64
"brb",1992,262184,11911,46.4053503463,1.73
"brn",1992,271989,78688,40,3.32
"btn",1992,528085,2463,40,5.22
"bwa",1992,1460453,8436,62.361317037,4.39
"caf",1992,3089141,839,59.3655386957,5.69
"can",1992,28353843,29977,33.571814568,1.71
"cck",1992,570,,40,
"chanisl",1992,142258,,40,1.46
"cheslo",1992,15618456,,40,
"chl",1992,13566942,10744,55.052,2.56
"chn",1992,1188450231,1845,37.3646011024,2.11
"civ",1992,13046907,3019,41.813978,6.11
"cmr",1992,12796739,2434,54.29017,6.26
"cod",1992,37783835,963,44.0421464789,7.22
"cog",1992,2514907,5248,41.5560580645,5.24
"cok",1992,17909,,40,
"col",1992,35558683,8014,52.4945920852,3.01
"com",1992,440252,1561,50.967135625,5.36
"cpv",1992,358473,1728,40,5.02
"cri",1992,3257463,7816,45.9695660596,3
"cub",1992,10735775,10637,41.2271677419,1.68
"cxr",1992,1995,,40,
"cym",1992,27402,55811,40,
"cyp",1992,800660,24891,40,2.34
"cyp_nor",1992,,,40,
"cze",1992,10333930,17470,25.831404,1.68
"deu",1992,80075940,33221,48.1159822737,1.32
"deu_east",1992,15937542,,40,
"dji",1992,627063,2736,40,5.88
"dma",1992,70978,6833,40,
"dnk",1992,5171304,34152,34.1285160891,1.76
"dom",1992,7468551,5657,50.2,3.33
"dza",1992,27180921,9693,41.767066,4.24
"ecu",1992,10705670,7672,48.507308,3.58
"egy",1992,58922018,6134,39.5983702532,4.02
"eri",1992,3160617,1040,40,6.44
"eri_a_eth",1992,55510719,,40,
"est",1992,1520879,10523,27.5,1.71
"eth",1992,51602776,516,45.3694872,7.14
"fin",1992,5034898,25726,28.4042823819,1.85
"fji",1992,744534,5751,42.875,3.35
"flk",1992,2144,,40,
"fra",1992,57495252,30033,37.2928844903,1.72
"fro",1992,46574,,40,
"fsm",1992,101412,2933,40,4.82
"gab",1992,1004598,18868,50.8037524,5.26
"gbg",1992,61667,,40,
"gbm",1992,71306,,40,
"geo",1992,5345624,3435,39.066688,2.08
"gha",1992,15471527,1985,41.28208,5.39
"gib",1992,27035,,40,
"gin",1992,6751394,1068,44.64736,6.49
"glp",1992,398014,,40,2.15
"gmb",1992,979701,1513,45.3752363636,6.08
"gnb",1992,1104708,1588,44.928196,6.55
"gnq",1992,404081,1310,40,5.9
"grc",1992,10321044,21442,34.627618,1.37
"grd",1992,97201,7565,40,3.55
"grl",1992,55854,16391,40,2.61
"gtm",1992,9619113,5514,58.6220960017,5.47
"guf",1992,125083,,40,4.01
"gum",1992,136696,,40,2.93
"guy",1992,717621,3703,51.2539566914,2.47
"hkg",1992,5914576,29789,48.44,1.22
"hnd",1992,5179557,3308,54,4.95
"hos",1992,775,,40,
"hrv",1992,4732864,12269,35.4038837143,1.57
"hti",1992,7386974,1873,47.369694,5.21
"hun",1992,10364661,14474,27.726092,1.75
"idn",1992,187762097,5131,39.8,2.93
"ind",1992,906461358,1821,42.5714254155,3.71
"irl",1992,3582342,23371,41.4075825759,1.92
"irn",1992,58130099,10792,50.3,4.14
"irq",1992,18468521,5048,39.3621,5.7
"isl",1992,259895,26977,40,2.17
"isr",1992,4806983,17749,48.32,2.95
"ita",1992,57062760,31437,34.696408,1.28
"jam",1992,2422783,7792,42.813666,2.86
"jey",1992,84749,,40,
"jor",1992,3743944,7242,41.56102,5.17
"jpn",1992,123180357,30610,35.54,1.5
"kaz",1992,16433379,10669,34.927156,2.61
"ken",1992,25029754,2239,47.585952,5.67
"kgz",1992,4477038,2681,37.898672,3.66
"khm",1992,9659238,1096,40,5.24
"kir",1992,74773,1388,40,4.57
"kna",1992,,14600,40,
"kor",1992,43708170,13744,34.9,1.65
"korea_union",1992,64518643,,,
"kos",1992,2228327,7666,40,
"kwt",1992,1909096,50924,40,2.14
"lao",1992,4496971,1686,40.443102,5.93
"lbn",1992,2821868,10699,46.1153846154,2.84
"lbr",1992,2028672,290,40,6.34
"lby",1992,4596811,28944,40,4.43
"lca",1992,,8536,40,3.2
"lie",1992,29503,,40,
"lso",1992,1660360,1395,62.571678,4.76
"ltu",1992,3690788,12629,31.320464,1.85
"lux",1992,391400,61310,39.8740363636,1.64
"lva",1992,2611306,8057,28.231516,1.7
"mac",1992,377799,41375,40,1.49
"mar",1992,25866445,3930,43.216394,3.76
"mco",1992,29864,43703,40,
"mda",1992,4375312,3822,34.07186,2.19
"mdg",1992,12263899,1482,45.8168753725,6.18
"mdv",1992,236053,4699,40,5.46
"mex",1992,89110043,12925,48.1492617204,3.2
"mhl",1992,49382,3030,40,
"mkd",1992,1977033,8454,40.7947813636,2.16
"mli",1992,8891141,1159,48.328514,7.02
"mlt",1992,362492,18100,40,2.02
"mmr",1992,43126260,1784,44.27483,3.16
"mne",1992,617174,10808,40,1.83
"mng",1992,2243506,4132,40,3.45
"mnp",1992,49429,,40,
"moz",1992,14203987,435,50.43102,6.14
"mrt",1992,2140250,2745,42.655544,5.88
"msr",1992,10856,,40,
"mtq",1992,362762,,40,1.99
"mus",1992,1082958,8219,42.052707624,2.25
"mwi",1992,9682918,527,54.057156,6.72
"mys",1992,19204700,11491,49.1138758535,3.45
"myt",1992,105826,,40,5.31
"nam",1992,1513689,6198,73.2617443478,4.97
"ncl",1992,176310,,40,2.93
"ner",1992,8442330,830,44.873024,7.77
"nfk",1992,1883,,40,
"nga",1992,100592458,2875,44.623428,6.4
"ngokar",1992,,,40,
"nic",1992,4331273,2888,47.644898,4.52
"niu",1992,2259,,40,
"nld",1992,15128288,33377,31.96,1.59
"nor",1992,4285504,45742,31.0593601526,1.88
"npl",1992,19765570,1306,44.4454965,5
"nru",1992,9544,19946,40,
"nzl",1992,3502765,22651,39.5617454863,2.31
"omn",1992,1979914,37147,40,6.47
"pak",1992,113616165,3174,40.487458,5.77
"pan",1992,2575330,8476,56.158,2.98
"pcn",1992,63,,40,
"per",1992,22737056,5160,47.186,3.62
"phl",1992,65078901,3813,47.5771518586,4.18
"plw",1992,15894,14474,40,
"png",1992,4369407,1907,50.0849,4.72
"pol",1992,38396826,9553,30.644240887,1.91
"pri",1992,3586848,26169,51.0006530643,2.18
"prk",1992,20838082,1745,40,2.24
"prt",1992,9943197,21464,40.24859,1.5
"pry",1992,4432738,5988,40,4.36
"pyf",1992,205269,,40,3.18
"qat",1992,489668,77977,40,3.8
"reu",1992,634799,,40,2.44
"rou",1992,23373155,9253,30.1474,1.49
"rus",1992,148322473,15661,26.8590020959,1.55
"rwa",1992,6712924,973,45.4546986667,6.77
"sau",1992,,38237,40,5.52
"shn",1992,,,40,
"slv",1992,5392142,4811,51.8,3.78
"smr",1992,,34112,40,
"spm",1992,,,40,
"stp",1992,,2207,40,5.2
"tcd",1992,6350174,1223,38.7035107536,7.38
"vct",1992,,6166,40,2.86
"vgb",1992,17343,,40,
"wsm",1992,,3500,40,4.96
