"geo","time","sg_population","sg_gdp_p_cap_const_ppp2011_dollar","sg_gini","sg_child_mortality_rate_per1000"
"abw",1895,,1384,,
"afg",1895,,780,38,482.77
"ago",1895,,937,31.9,485.63
"alb",1895,,1080,28.2,375.16
"and",1895,,3012,,
"are",1895,,1861,43.5,434.41
"arg",1895,,6927,42.7,400.9
"arm",1895,,776,33.8,327.826910866
"atg",1895,,1258,,218.995085644
"aus",1895,,5807,37.8,151.1
"aut",1895,,5258,36.8,391.57
"aze",1895,,1324,45.1,316.139103003
"bdi",1895,,456,43.7,423.9
"bel",1895,,6549,49.3,246.82
"ben",1895,,859,42.5,430.42
"bfa",1895,,523,37.5,454.64
"bgd",1895,,957,39.2,561.5
"bgr",1895,,1964,33.9,322.36
"bhr",1895,,2551,41.3,439.75
"bhs",1895,,2402,,206.644662612
"bih",1895,,1055,45.9,378.76
"blr",1895,,1068,50,365.63
"blz",1895,,962,,236.800111836
"bmu",1895,,2040,,
"bol",1895,,1741,36.9,404.65
"bra",1895,,1388,25.1,417.39
"brb",1895,,1518,,656.187903415
"brn",1895,,1955,,454.64
"btn",1895,,732,47.9,428.089288622
"bwa",1895,,572,35.6,397.16
"caf",1895,,611,48.8,443.74
"can",1895,,3953,41.1,285.986708782
"che",1895,,8765,35.5,203.3
"chl",1895,,3238,69.8,466.85542933
"chn",1895,,940,28.1,417.39
"civ",1895,,1188,44.7,427.81
"cmr",1895,,902,35.4,460.16
"cod",1895,,717,42.1,422.6
"cog",1895,,752,41.4,408.47
"col",1895,,1172,46.3,417.39
"com",1895,,767,46.7,416.12
"cpv",1895,,730,48,394.66
"cri",1895,,1797,43.9,408.47
"cub",1895,,2601,41.3,561.5
"cym",1895,,1727,,
"cyp",1895,,2077,42.6,339.08
"cze",1895,,3691,41.2,369.17
"deu",1895,,4133,41.2,373.78
"dji",1895,,1016,45.7,445.11
"dma",1895,,1102,,
"dnk",1895,,5074,45.3,183.77
"dom",1895,,1005,45.8,445.11
"dza",1895,,1657,34,460.16
"ecu",1895,,857,46.6,405.92
"egy",1895,,1229,35.3,404.65
"eri",1895,,646,48.7,441.08
"esp",1895,,2580,32.3,317.76137009
"est",1895,,1752,33.4,294.52
"eth",1895,,538,47.5,447.83
"fin",1895,,2493,36.5,202.52
"fji",1895,,1015,45.8,498.83
"fra",1895,,3883,49.7,228.19
"fsm",1895,,549,,240.596667453
"gab",1895,,396,45.9,435.75
"gbr",1895,,7387,38.5,236.93
"geo",1895,,875,31.4,325.24620642
"gha",1895,,768,38.7,469.456962606
"gin",1895,,526,34.9,437.08
"gmb",1895,,861,46.9,460.16
"gnb",1895,,828,49.8,417.39
"gnq",1895,,403,51.7,446.47
"grc",1895,,2825,34.8,333.44
"grd",1895,,1321,,234.930368599
"grl",1895,,877,,
"gtm",1895,,1582,36.1,503.31
"guy",1895,,2018,39.3,408.026629998
"hkg",1895,,1633,,
"hnd",1895,,1762,43.4,393.42
"hrv",1895,,2725,,366.8
"hti",1895,,1362,44.5,485.392945095
"hun",1895,,2676,38.7,393.18
"idn",1895,,1144,39.8,443.74
"ind",1895,,1149,29.2,530.83
"irl",1895,,3818,34.1,156.65
"irn",1895,,1278,38.2,506.32
"irq",1895,,1452,39.3,427.81
"isl",1895,,2307,,167.88
"isr",1895,,1022,44.9,447.078450082
"ita",1895,,3331,46.8,322.33
"jam",1895,,976,38.9,289.32
"jor",1895,,1461,44.1,421.3
"jpn",1895,,1768,48.6,343.6
"kaz",1895,,2130,40.7,468.53
"ken",1895,,1149,37.4,507.83
"kgz",1895,,984,38.9,375.857743562
"khm",1895,,1012,46.1,379.95
"kir",1895,,599,,320.067488694
"kna",1895,,1935,,
"kor",1895,,523,32.1,503.31
"kwt",1895,,2047,42.6,500.3
"lao",1895,,1037,38.4,418.69
"lbn",1895,,1986,38.8,447.83
"lbr",1895,,977,46.2,429.11
"lby",1895,,2640,41.5,404.65
"lca",1895,,1122,,254.95677202
"lka",1895,,1797,43.7,409.75
"lso",1895,,415,51.6,407.2
"ltu",1895,,2373,36.6,326.79
"lux",1895,,3535,40,269.93
"lva",1895,,1403,36.6,273.97
"mac",1895,,1283,,
"mar",1895,,817,35.8,403.4
"mco",1895,,4781,,
"mda",1895,,1052,33.9,332.595426659
"mdg",1895,,825,41,437.08
"mdv",1895,,839,,396.139439591
"mex",1895,,2086,48.2,450.55
"mhl",1895,,571,,
"mkd",1895,,1397,32.2,382.622015566
"mli",1895,,620,47.2,494.43
"mlt",1895,,1558,,126.944219081
"mmr",1895,,1109,33,433.08
"mne",1895,,2140,42.3,375.16
"mng",1895,,674,48.3,420
"moz",1895,,413,41,439.75
"mrt",1895,,760,48,417.39
"mus",1895,,1354,44.4,343.12
"mwi",1895,,355,40.5,439.75
"mys",1895,,1248,41,435.75
"nam",1895,,1659,40.2,412.29
"ner",1895,,643,43.3,433.08
"nga",1895,,1241,38,438.41
"nic",1895,,2164,43.7,509.34
"nld",1895,,6003,43.5,244.29
"nor",1895,,3387,43.2,148.34
"npl",1895,,792,41,407.2
"nru",1895,,797,,
"nzl",1895,,6080,38.2,127.65
"omn",1895,,1382,44.3,413.57
"pak",1895,,1115,38.7,501.8
"pan",1895,,1978,42.8,405.92
"per",1895,,1471,41.1,371.57
"phl",1895,,1106,39.7,431.75
"plw",1895,,1085,,
"png",1895,,707,37.5,423.9
"pol",1895,,2360,25.9,334.57
"pri",1895,,2071,,
"prk",1895,,526,49.7,500.3
"prt",1895,,2068,41.1,372.77
"pry",1895,,2140,42.5,373.96
"pse",1895,,1317,44.8,434.297450711
"qat",1895,,2047,43,433.08
"rou",1895,,2319,33.9,326.89
"rus",1895,,2672,50,453.09
"rwa",1895,,486,45.9,420
"sau",1895,,970,46.1,416.12
"sdn",1895,,747,33.8,425.21
"sen",1895,,716,42.1,512.35
"sgp",1895,,2285,42.6,392.17
"slb",1895,,474,50.4,504.82
"sle",1895,,1057,46,513.86
"slv",1895,,1834,43,461.55
"smr",1895,,2141,,
"som",1895,,760,37.8,451.92
"srb",1895,,2749,31.8,256.73
"ssd",1895,,731,33.78,490.03
"stp",1895,,1014,,298.395386996
"sur",1895,,2720,40.8,405.92
"svk",1895,,2749,42.4,363.28
"svn",1895,,2851,40.3,360.93
"swe",1895,,3074,58.9,147
"swz",1895,,705,48,413.57
"syc",1895,,1153,,192.664806337
"syr",1895,,1453,36.5,429.11
"tca",1895,,809,,
"tcd",1895,,602,46.4,431.75
"tgo",1895,,983,45.7,426.51
"tha",1895,,1319,36.2,438.41
"tjk",1895,,962,40.2,309.12811506
"tkm",1895,,1762,31.8,473.806287015
"tls",1895,,628,48.9,459.071127348
"ton",1895,,857,,211.368687008
