geo,time,age,sg_population
"americas",1950,,
"americas",2100,,
"usa",1950,0,3762560
"usa",1950,1,3600420
"usa",1950,2,3442340
"usa",1950,3,3289290
"usa",1950,4,3142250
"usa",1950,5,3002210
"usa",1950,6,2870140
"usa",1950,7,2747020
"usa",1950,8,2633830
"usa",1950,9,2531550
"usa",1950,10,2439440
"usa",1950,11,2356760
"usa",1950,12,2293090
"usa",1950,13,2252860
"usa",1950,14,2231890
"usa",1950,15,2218680
"usa",1950,16,2212070
"usa",1950,17,2223730
"usa",1950,18,2257210
"usa",1950,19,2305330
"usa",1950,20,2355910
"usa",1950,21,2409580
"usa",1950,22,2458720
"usa",1950,23,2497710
"usa",1950,24,2527780
"usa",1950,25,2558210
"usa",1950,26,2590020
"usa",1950,27,2600820
"usa",1950,28,2581300
"usa",1950,29,2541670
"usa",1950,30,2500720
"usa",1950,31,2453830
"usa",1950,32,2415060
"usa",1950,33,2393030
"usa",1950,34,2380810
"usa",1950,35,2361210
"usa",1950,36,2335730
"usa",1950,37,2311280
"usa",1950,38,2288950
"usa",1950,39,2265320
"usa",1950,40,2241690
"usa",1950,41,2224830
"usa",1950,42,2176740
"usa",1950,43,2080900
"usa",1950,44,1958050
"usa",1950,45,1839890
"usa",1950,46,1713390
"usa",1950,47,1633950
"usa",1950,48,1630230
"usa",1950,49,1673840
"usa",1950,50,1709680
"usa",1950,51,1751050
"usa",1950,52,1766360
"usa",1950,53,1735060
"usa",1950,54,1674030
"usa",1950,55,1620250
"usa",1950,56,1565730
"usa",1950,57,1516920
"usa",1950,58,1480520
"usa",1950,59,1451270
"usa",1950,60,1416350
"usa",1950,61,1377380
"usa",1950,62,1337820
"usa",1950,63,1297790
"usa",1950,64,1255890
"usa",1950,65,1212760
"usa",1950,66,1170900
"usa",1950,67,1114940
"usa",1950,68,1038150
"usa",1950,69,948660
"usa",1950,70,860620
"usa",1950,71,770320
"usa",1950,72,691530
"usa",1950,73,632260
"usa",1950,74,585960
"usa",1950,75,538790
"usa",1950,76,494380
"usa",1950,77,447670
"usa",1950,78,395030
"usa",1950,79,340080
"usa",1950,80,247760
"usa",1950,81,222520
"usa",1950,82,198910
"usa",1950,83,177950
"usa",1950,84,159010
"usa",1950,85,140480
"usa",1950,86,122770
"usa",1950,87,105980
"usa",1950,88,90040
"usa",1950,89,75110
"usa",1950,90,61340
"usa",1950,91,48530
"usa",1950,92,37760
"usa",1950,93,29520
"usa",1950,94,23260
"usa",1950,95,17840
"usa",1950,96,13360
"usa",1950,97,9730
"usa",1950,98,6770
"usa",1950,99,4440
"usa",1950,100,4220
"usa",1950,101,4010
"usa",1950,102,3810
"usa",1950,103,3620
"usa",1950,104,3430
"usa",1950,105,3260
"usa",1950,106,3100
"usa",1950,107,2940
"usa",1950,108,2800
"usa",1950,109,2660
"usa",1950,110,2520
"usa",1950,111,2400
"usa",1950,112,2280
"usa",1950,113,2160
"usa",1950,114,2050
"usa",1950,115,1950
"usa",1950,116,1850
"usa",1950,117,1760
"usa",1950,118,1670
"usa",1950,119,1590
"usa",1950,120,1510
"usa",1950,121,1430
"usa",1950,122,1360
"usa",1950,123,1290
"usa",1950,124,1230
"usa",1950,125,1170
"usa",1950,126,1110
"usa",1950,127,1050
"usa",1950,128,1000
"usa",1950,129,950
"usa",1950,130,0
"usa",2000,0,3680530
"usa",2000,1,3780540
"usa",2000,2,3865920
"usa",2000,3,3937640
"usa",2000,4,3996680
"usa",2000,5,4044010
"usa",2000,6,4080590
"usa",2000,7,4107410
"usa",2000,8,4125420
"usa",2000,9,4135600
"usa",2000,10,4137590
"usa",2000,11,4131020
"usa",2000,12,4123529
"usa",2000,13,4118770
"usa",2000,14,4113710
"usa",2000,15,4104750
"usa",2000,16,4096319
"usa",2000,17,4072140
"usa",2000,18,4024940
"usa",2000,19,3964700
"usa",2000,20,3908630
"usa",2000,21,3853200
"usa",2000,22,3813780
"usa",2000,23,3799730
"usa",2000,24,3804720
"usa",2000,25,3812400
"usa",2000,26,3825310
"usa",2000,27,3849300
"usa",2000,28,3885430
"usa",2000,29,3931970
"usa",2000,30,3981360
"usa",2000,31,4029370
"usa",2000,32,4096790
"usa",2000,33,4191340
"usa",2000,34,4299900
"usa",2000,35,4401700
"usa",2000,36,4500980
"usa",2000,37,4572850
"usa",2000,38,4602780
"usa",2000,39,4600580
"usa",2000,40,4593720
"usa",2000,41,4580520
"usa",2000,42,4540700
"usa",2000,43,4468130
"usa",2000,44,4372180
"usa",2000,45,4265760
"usa",2000,46,4143149
"usa",2000,47,4033360
"usa",2000,48,3951110
"usa",2000,49,3882250
"usa",2000,50,3803220
"usa",2000,51,3725180
"usa",2000,52,3611420
"usa",2000,53,3443380
"usa",2000,54,3242370
