geo,geo.name,geo.cat,geo.region,geo.lat,geo.lng
tza,Tanzania,country,afr,-6,35
uga,Uganda,country,afr,1.25,32.5
ukr,Ukraine,country,eur,49,32
ury,Uruguay,country,ame,-33,-56
usa,United States,country,ame,39.76,-98.5
uzb,Uzbekistan,country,asi,41.66667,63.83333
ven,Venezuela,country,ame,8,-66
vnm,Vietnam,country,asi,16.16667,107.83333
yem,Yemen,country,asi,15.5,47.5
zaf,South Africa,country,afr,-29,24
zmb,Zambia,country,afr,-14.33333,28.5
zwe,Zimbabwe,country,afr,-19,29.75
