"geo","time","population","gdp_p_cap_const_ppp2011_dollar","gini","child_mortality_rate_per1000"
"abkh",1972,,,40,
"abw",1972,59849,7470,40,
"afg",1972,11716896,1046,30.6080495381,296.4
"ago",1972,6587647,5511,46.7181096774,256.391729347
"aia",1972,6506,,40,
"akr_a_dhe",1972,12447,,40,
"alb",1972,2253842,3988,26.1885084211,103.490087154
"and",1972,26892,33969,40,
"ant",1972,162432,,40,
"arg",1972,24782950,10209,35.62,70.4
"arm",1972,2643464,3571,38.088853224,75.8279803297
"asm",1972,28490,,40,
"atg",1972,67205,6378,40,51.3486318003
"aus",1972,13364238,20385,32.5380042116,20.2
"aut",1972,7573660,19747,45.6834726667,28
"aze",1972,5393176,7395,40,71.3571840149
"bdi",1972,3547335,753,43.1936344262,247.3
"bel",1972,9715673,20504,34.717801037,21.9
"ben",1972,3039300,1251,47.272102,257.8
"bfa",1972,5825171,830,47.713274809,313.9
"bgd",1972,67578486,986,30.7903986695,222
"bgr",1972,8596962,8534,19.9440733505,36.2
"bhr",1972,229588,33824,40,62.7
"bhs",1972,177844,19856,49.509783818,31.7
"bih",1972,3838002,2768,40,66.5245166944
"blr",1972,9181643,5523,23.16,23.15
"blz",1972,127148,2797,40,89.7
"bmu",1972,53426,33062,40,
"bol",1972,4698090,3823,52.5185937916,219.1
"bra",1972,100844391,7082,60.7264911238,126.4
"brb",1972,241441,9148,48.1817798688,43.4
"brn",1972,141836,82612,40,59.7549698276
"btn",1972,312712,1034,40,256.7
"bwa",1972,739754,2317,49.0064577778,118.1
"caf",1972,1900702,1227,56.3319126087,211.7
"can",1972,22141998,21532,33.7706356557,19.9
"cck",1972,436,,40,
"chanisl",1972,123611,,40,
"cheslo",1972,14462080,,40,
"chl",1972,9916558,7674,48.8961271766,77
"chn",1972,849787991,843,27.38,102.1
"civ",1972,5747633,3975,49.4406186619,225.9
"cmr",1972,7134374,2238,47.8765,198.2
"cod",1972,21120996,2145,44.1475126761,241.4
"cog",1972,1419305,3584,39.612116129,135.7
"cok",1972,21422,,40,44.9
"col",1972,23146803,4731,52.455160857,90.4
"com",1972,237797,1452,50.354866875,217.1
"cpv",1972,273788,805,40,138.5
"cri",1972,1947048,6287,47.374775278,64.9
"cub",1972,9025299,9745,38.9543354839,35.9
"cxr",1972,1134,,40,
"cym",1972,10137,24808,40,
"cyp",1972,628000,10088,40,33.0381194993
"cyp_nor",1972,,,40,
"cze",1972,9882993,15954,27.2024172,24.0071757299
"deu",1972,78700104,22497,39.182738,24
"deu_east",1972,16952595,,40,
"dji",1972,179212,4529,40,182.635488134
"dma",1972,71737,3048,40,51.7
"dnk",1972,4989146,23562,31.040516,14.9
"dom",1972,4759935,3816,44.658,115.4
"dza",1972,15377095,7556,41.0023536066,230.9
"ecu",1972,6428707,6035,39.2,130.3
"egy",1972,36302154,3140,41.8999994659,235.2
"eri",1972,1905406,1068,40,217.662890062
"eri_a_eth",1972,33041524,,40,
"est",1972,1386099,9844,28.4490628571,24.14
"eth",1972,30135007,803,51.6029352,241.1
"fin",1972,4644847,17722,36.2306226136,14.6
"fji",1972,542811,4834,46.5617073154,54.6
"flk",1972,1960,,40,
"fra",1972,51741044,19570,42.1549733431,16.6
"fro",1972,39360,,40,
"fsm",1972,62298,1774,40,84.8788207728
"gab",1972,613129,6180,61.253108,167.884503451
