"geo","time","pop","gdp_pc","gini","u5mr"
"abw",1817,,834.8365431,,
"afg",1817,,604.2133969,30.5,471.38
"ago",1817,,665.3866605,48.9,485.68
"alb",1817,,669.0816449,41.2,375.2
"and",1817,,1234.768387,,
"are",1817,,1062.974827,44.7,434.46
"arg",1817,,1511.198423,47.1,402.19
"arm",1817,,514.9890982,29.1,363.0373975
"atg",1817,,758.6891189,,412.5422026
"aus",1817,,847.1193056,41.3,390.99
"aut",1817,,1978.680549,53.4,292.6
"aze",1817,,778.0273137,34.3,370.8673328
"bdi",1817,,424.6389192,43.7,423.95
"bel",1817,,2418.459228,62.4,321.31
"ben",1817,,598.1491583,48,430.46
"bfa",1817,,480.8254991,37.5,454.69
"bgd",1817,,874.7031361,41.8,507.88
"bgr",1817,,1091.71583,47.8,362.15
"bhr",1817,,1328.711131,44.4,439.79
"bhs",1817,,1448.729964,,406.4661725
"bih",1817,,670.2026179,29.9,378.8
"blr",1817,,613.4303737,57.9,365.67
"blz",1817,,580.1811268,,413.7059053
"bmu",1817,,1230.414847,,
"bol",1817,,855.765976,36.9,404.69
"bra",1817,,1111.61144,40.1,417.44
"brb",1817,,915.7865768,,498.7129385
"brn",1817,,1515.720015,,454.69
"btn",1817,,630.991845,47,456.8415347
"bwa",1817,,398.2150525,35.6,397.2
"caf",1817,,425.157055,45.2,443.79
"can",1817,,1463.185513,45.1,333.47
"che",1817,,2707.964193,41.7,344.77
"chl",1817,,1028.946948,47.1,417.44
"chn",1817,,985.2264662,44.2,417.44
"civ",1817,,869.4950172,38.1,427.86
"cmr",1817,,627.6617733,56.2,460.21
"cod",1817,,519.77074,42.1,422.65
"cog",1817,,603.0692922,51.1,408.51
"col",1817,,965.1527965,58.9,417.44
"com",1817,,708.1127363,36.3,416.16
"cpv",1817,,530.5488122,50.1,394.71
"cri",1817,,776.948926,48.8,441.12
"cub",1817,,1052.415623,37.5,386.1
"cym",1817,,1041.64266,,
"cyp",1817,,855.5569548,31.6,339.12
"cze",1817,,1920.232251,34.9,379.99
"deu",1817,,1847.424321,53,340.25
"dji",1817,,793.5763939,42.3,445.15
"dma",1817,,664.7291123,,
"dnk",1817,,2077.206438,61,360.97
"dom",1817,,668.6965996,41.3,445.15
"dza",1817,,731.9811101,57.7,460.21
"ecu",1817,,530.5610775,39.7,405.96
"egy",1817,,792.8501678,57.7,404.69
"eri",1817,,533.3535545,45.7,441.12
"esp",1817,,1521.680107,38,450.6
"est",1817,,956.7383402,48.9,362.15
"eth",1817,,523.8994735,47.5,447.88
"fin",1817,,1283.193,50.6,364.49
"fji",1817,,786.8921341,47.3,498.88
"fra",1817,,1864.627262,59,283.46
"fsm",1817,,523.2685589,,402.7134102
"gab",1817,,391.2535379,45.9,435.79
"gbr",1817,,3348.292737,59.3,312.61
"geo",1817,,544.3046388,29.7,382.9286599
"gha",1817,,705.3863033,58.4,471.38
"gin",1817,,451.3157888,32.7,447.88
"gmb",1817,,821.3333787,45.4,460.21
"gnb",1817,,779.0983801,49.8,417.44
"gnq",1817,,363.6729049,46.3,446.51
"grc",1817,,1412.255268,49.9,360.97
"grd",1817,,960.949317,,416.8330099
"grl",1817,,394.3006635,,
"gtm",1817,,859.2537157,35.3,503.36
"guy",1817,,1217.078215,38.2,429.16
"hkg",1817,,1009.337642,,
"hnd",1817,,676.2626398,58.4,393.46
"hrv",1817,,,,366.84
"hti",1817,,634.9285707,42.2,486.2196368
"hun",1817,,1252.325965,47.4,368.01
"idn",1817,,996.8523955,51.7,443.79
"ind",1817,,1050.418159,32.8,509.39
"irl",1817,,1450.693571,44.6,348.22
"irn",1817,,979.607612,57.7,506.38
"irq",1817,,972.2048876,57.7,427.86
