"geo","time","population","gdp_p_cap_const_ppp2011_dollar","gini","child_mortality_rate_per1000"
"mng",1951,793537,886,40,260.009764945
"mnp",1951,7089,,40,
"moz",1951,6405068,454,41.614488,388.985433369
"mrt",1951,675594,1224,40,311.4
"msr",1951,14123,,40,
"mtq",1951,224418,,40,
"mus",1951,506431,2519,40,120.562095941
"mwi",1951,3008074,363,38.855731,375.954222319
"mys",1951,6261916,2715,49.433753644,155.669284749
"myt",1951,15733,,40,
"nam",1951,494611,3871,42.590247,262.643526774
"ncl",1951,64281,,40,
"ner",1951,2637582,989,38.615818,339.581871319
"nfk",1951,1694,,40,
"nga",1951,38431323,2843,49.1970081429,367.28797153
"ngokar",1951,,,40,
"nic",1951,1331740,3651,42.131462,247.374803495
"niu",1951,4682,,40,
"nld",1951,10148714,9593,36.8001363712,30.4
"nor",1951,3300422,11986,35.566012982,30.9
"npl",1951,8657577,822,46.412272439,339.9
"nru",1951,3059,5030,40,
"nzl",1951,1947802,13032,34.0618157569,34.8
"omn",1951,462257,3148,40,397.918909874
"pak",1951,37976075,1112,37.324597,388.8
"pan",1951,881346,3066,40,119.1
"pcn",1951,133,,40,
"per",1951,7924206,4614,48.7579249598,307.462829691
"phl",1951,19246611,2006,49.4336081172,159.596314345
"plw",1951,7497,9616,40,
"png",1951,1729254,975,47.07345,284.06919418
"pol",1951,25264029,4801,23.619329,177.006808649
"pri",1951,2209692,5277,44.4254029318,
"prk",1951,10248496,729,40,361.512437815
"prt",1951,8431207,4013,40.175617,138.02
"pry",1951,1511764,2988,40,93.7652513966
"pyf",1951,62083,,40,
"qat",1951,27475,1973,40,166.821104351
"reu",1951,259293,,40,
"rou",1951,16512672,3933,24.2664060184,182.637200456
"rus",1951,104306354,7424,33.4,85.2711384113
"rwa",1951,2250675,544,44.969549,275.843250762
"sau",1951,,2465,40,272.758272447
"shn",1951,,,40,
"slv",1951,2236577,3387,40,238.98799612
"smr",1951,,8662,40,
"spm",1951,,,40,
"stp",1951,,1198,40,232.139628454
"tcd",1951,2544102,1254,39.5949345165,321.767130894
"vct",1951,,2229,40,194.193278678
"vgb",1951,7509,,40,
"wsm",1951,,3011,40,250.788644193
