"geo","time","sg_population","sg_gdp_p_cap_const_ppp2011_dollar","sg_gini","sg_child_mortality_rate_per1000"
"abw",1878,,1234,,
"afg",1878,,736,44.4,479.96
"ago",1878,,870,32.4,485.68
"alb",1878,,844,36.1,375.2
"and",1878,,2464,,
"are",1878,,1455,43.6,434.46
"arg",1878,,3218,31.8,403.44
"arm",1878,,644,48.8,335.197834074
"atg",1878,,1122,,251.407181869
"aus",1878,,7105,40.6,207.23
"aut",1878,,3950,36.5,409.33
"aze",1878,,1073,43.7,327.333806003
"bdi",1878,,449,43.7,423.95
"bel",1878,,5465,51.3,239.64
"ben",1878,,792,43.7,430.46
"bfa",1878,,513,37.5,454.69
"bgd",1878,,898,45.9,515.42
"bgr",1878,,1576,42.6,331.26
"bhr",1878,,2104,42.3,439.79
"bhs",1878,,2142,,239.473561278
"bih",1878,,881,43.3,378.8
"blr",1878,,861,50,365.67
"blz",1878,,858,,267.419465922
"bmu",1878,,1819,,
"bol",1878,,1483,36.9,404.69
"bra",1878,,1512,35.1,417.44
"brb",1878,,1354,,618.092705626
"brn",1878,,1846,,454.69
"btn",1878,,708,47.8,434.197501083
"bwa",1878,,527,35.6,397.2
"caf",1878,,563,48.5,443.79
"can",1878,,2723,42.8,279.06
"che",1878,,5844,44.4,279.8
"chl",1878,,2073,68,417.44
"chn",1878,,1014,31.8,417.44
"civ",1878,,1110,44.1,427.86
"cmr",1878,,831,37,460.21
"cod",1878,,669,42.1,422.65
"cog",1878,,717,43.6,408.51
"col",1878,,1122,52.3,417.44
"com",1878,,753,45.7,416.16
"cpv",1878,,679,48.4,394.71
"cri",1878,,1486,44.3,441.12
"cub",1878,,2135,41.1,384.88
"cym",1878,,1540,,
"cyp",1878,,1699,40.9,339.12
"cze",1878,,2944,49.5,379.99
"deu",1878,,3228,43.1,367.32
"dji",1878,,962,45.5,445.15
"dma",1878,,983,,
"dnk",1878,,3755,51,202.92
"dom",1878,,916,45.4,445.15
"dza",1878,,1378,40.1,460.21
"ecu",1878,,769,46,405.96
"egy",1878,,961,41.8,404.69
