"geo","time","sg_population","sg_gdp_p_cap_const_ppp2011_dollar","sg_gini","sg_child_mortality_rate_per1000"
"tgo",1806,,683,37.8,426.55
"tha",1806,,932,47.4,438.46
"tjk",1806,,558,47.4,376.409601568
"tkm",1806,,950,41.4,496.361359729
"tls",1806,,527,31.6,446.288811108
"ton",1806,,663,,424.954014047
"tto",1806,,1231,44.8,405.96
"tun",1806,,716,57.7,460.21
"tur",1806,,1222,57.7,379.99
"tuv",1806,,719,,
"twn",1806,,997,,
"tza",1806,,563,37.6,414.89
"uga",1806,,464,41,510.9
"ukr",1806,,768,45.6,360.97
"ury",1806,,1759,48.1,405.96
"usa",1806,,2252,66.6,461.732
"uzb",1806,,503,44.4,381.313069672
"vct",1806,,839,,447.799247797
"ven",1806,,683,43.4,414.89
"vnm",1806,,862,40.4,417.44
"vut",1806,,586,,412.13274953
"wsm",1806,,1401,,458.563593132
"yem",1806,,892,57.7,540.44
"zaf",1806,,1481,35.9,398.45
"zmb",1806,,673,39.9,409.79
"zwe",1806,,875,34.6,395.95
