"geo","time","population","gdp_p_cap_const_ppp2011_dollar","gini","child_mortality_rate_per1000"
"abw",1864,,1123,,
"afg",1864,,702,43.9,477.1
"ago",1864,,818,36.4,485.68
"alb",1864,,740,41.2,375.2
"and",1864,,2088,,
"are",1864,,1267,43.8,434.46
"arg",1864,,2821,27.8,402.19
"arm",1864,,610,50.4,341.392282925
"atg",1864,,1021,,281.671404484
"aus",1864,,4800,44.3,279.995887239
"aut",1864,,3297,36.3,406.11
"aze",1864,,993,41.6,336.85001155
"bdi",1864,,444,43.7,423.95
"bel",1864,,4566,52.8,289.19
"ben",1864,,740,44.7,430.46
"bfa",1864,,505,37.5,454.69
"bgd",1864,,880,47.7,507.88
"bgr",1864,,1357,47.8,337.99
"bhr",1864,,1795,42.8,439.79
"bhs",1864,,1949,,270.390198608
"bih",1864,,787,40.2,378.8
"blr",1864,,793,51.2,365.67
"blz",1864,,781,,295.586450733
"bmu",1864,,1656,,
"bol",1864,,1299,36.9,404.69
"bra",1864,,1330,41,417.44
"brb",1864,,1232,,588.386595065
"brn",1864,,1760,,454.69
"btn",1864,,688,47.7,439.293180885
"bwa",1864,,493,35.6,397.2
"caf",1864,,526,47.7,443.79
"can",1864,,2562,38.7,301.91
"che",1864,,4658,50.4,344.77
"chl",1864,,1710,66.5,417.44
"chn",1864,,1098,36.8,430.46
"civ",1864,,1049,42.6,427.86
"cmr",1864,,777,41.6,460.21
"cod",1864,,631,42.1,422.65
"cog",1864,,689,45.4,408.51
"col",1864,,1082,58.9,417.44
"com",1864,,743,43.5,416.16
"cpv",1864,,640,48.8,394.71
"cri",1864,,1271,45.3,441.12
"cub",1864,,1815,40.2,382.44
"cym",1864,,1402,,
"cyp",1864,,1440,38.8,339.12
"cze",1864,,2591,52.7,379.99
"deu",1864,,2726,44.6,482.32
"dji",1864,,921,44.8,445.15
"dma",1864,,894,,
"dnk",1864,,3207,53.9,260.1
"dom",1864,,849,44.5,445.15
"dza",1864,,1184,50.3,460.21
"ecu",1864,,703,44.5,405.96
"egy",1864,,972,52.2,404.69
"eri",1864,,597,47.7,441.12
"esp",1864,,1937,33,325.26
"est",1864,,1276,48.9,353.98
"eth",1864,,532,47.5,447.88
"fin",1864,,1611,50.6,359.862872028
