"geo","time","pop","gdp_pc","gini","u5mr"
"abw",1862,,1108.260576,,
"afg",1862,,697.1058325,42,477.1
"ago",1862,,810.8183429,37,485.68
"alb",1862,,736.4902199,41.2,375.2
"and",1862,,2039.39126,,
"are",1862,,1257.75198,43.9,434.46
"arg",1862,,2742.243883,28.7,402.19
"arm",1862,,605.6133956,47.4,342.2865
"atg",1862,,1007.173496,,286.2825741
"aus",1862,,4539.742593,44.6,330.8709597
"aut",1862,,3251.630213,36.3,406.11
"aze",1862,,981.8281797,41.3,338.2318684
"bdi",1862,,442.7122262,43.7,423.95
"bel",1862,,4355.42015,52.8,258.87
"ben",1862,,732.905738,44.9,430.46
"bfa",1862,,504.2829697,37.5,454.69
"bgd",1862,,879.8623048,46.8,507.88
"bgr",1862,,1343.383437,47.8,339.12
"bhr",1862,,1754.623773,42.8,439.79
"bhs",1862,,1923.21517,,275.1213435
"bih",1862,,786.5919866,39.8,378.8
"blr",1862,,784.2171424,51.6,365.67
"blz",1862,,770.2009151,,299.8455411
"bmu",1862,,1633.397913,,
"bol",1862,,1274.212995,36.9,404.69
"bra",1862,,1282.137544,40.6,417.44
"brb",1862,,1215.723206,,584.2610493
"brn",1862,,1748.498585,,454.69
"btn",1862,,685.661872,47.6,440.0260007
"bwa",1862,,487.928626,35.6,397.2
"caf",1862,,520.9403722,47.6,443.79
"can",1862,,2482.881731,37,304.05
"che",1862,,4974.915882,50.3,344.77
"chl",1862,,1595.606128,66.1,417.44
"chn",1862,,1073.822973,36.8,446.51
"civ",1862,,1041.045085,42.4,427.86
"cmr",1862,,769.0672281,42.3,460.21
"cod",1862,,626.0102256,42.1,422.65
"cog",1862,,684.9299202,45.7,408.51
"col",1862,,1076.164385,58.9,417.44
"com",1862,,741.2627467,43.1,416.16
"cpv",1862,,634.6794838,48.8,394.71
"cri",1862,,1242.774597,45.5,441.12
"cub",1862,,1773.642319,40.1,374
"cym",1862,,1382.799428,,
"cyp",1862,,1406.165025,38.5,339.12
"cze",1862,,2571.079036,52.1,379.99
"deu",1862,,2519.012316,44.5,462.4379356
"dji",1862,,914.9633876,44.7,445.15
"dma",1862,,882.4398915,,
"dnk",1862,,3103.118322,53.6,195.03
"dom",1862,,840.0364402,44.4,445.15
"dza",1862,,1158.88511,52.1,460.21
"ecu",1862,,694.1755715,44.3,405.96
"egy",1862,,962.7272427,53.8,404.69
"eri",1862,,593.8663724,47.6,441.12
"esp",1862,,1903.452889,32.8,284.37
"est",1862,,1259.507068,48.9,357.45
"eth",1862,,531.8076269,47.5,447.88
"fin",1862,,1490.017449,50.6,365.3790217
"fji",1862,,907.740064,46.6,498.88
"fra",1862,,3255.40355,56.5,258.3
"fsm",1862,,538.1455052,,299.1814471
"gab",1862,,393.8818832,45.9,435.79
"gbr",1862,,4936.500282,46.8,253.68
"geo",1862,,664.6232684,29.7,348.5064148
"gha",1862,,731.1851449,50.8,471.38
"gin",1862,,491.9944264,32.7,442.46
"gmb",1862,,844.1394309,46.4,460.21
"gnb",1862,,806.4064131,49.8,417.44
"gnq",1862,,386.0444461,49.7,446.51
"grc",1862,,1902.76255,49.9,360.97
"grd",1862,,1148.827479,,299.4298006
"grl",1862,,617.1579027,,
"gtm",1862,,1209.650714,35.3,503.36
"guy",1862,,1615.693293,38.2,429.16
"hkg",1862,,1109.592232,,
"hnd",1862,,1156.44272,49.3,393.46
"hrv",1862,,1807.826713,,366.84
"hti",1862,,973.9057741,43.8,485.7425276
"hun",1862,,1737.692632,40.3,411.2069984
"idn",1862,,1061.683835,40.2,443.79
"ind",1862,,1056.613729,34.4,509.39
"irl",1862,,2639.370412,35,173.3404191
"irn",1862,,1060.991672,54.9,506.38
"irq",1862,,1154.523517,55.6,427.86
"isl",1862,,1466.102647,,420.7
"isr",1862,,887.627375,44.9,447.3983523
"ita",1862,,2460.809703,50.9,449.24
"jam",1862,,907.8171637,39.1,389.77
