"geo","time","sg_population","sg_gdp_p_cap_const_ppp2011_dollar","sg_gini","sg_child_mortality_rate_per1000"
"abw",1954,41763,4301,,
"afg",1954,8150037,1122,34,407.20351521
"ago",1954,4714970,3225,49.3,382.829011638
"aia",1954,5635,,,
"akr_a_dhe",1954,10966,,,
"ala",1954,21404,,,
"alb",1954,1382881,2108,23.9,151.712594184
"and",1954,8526,9541,,
"ant",1954,120537,,,
"are",1954,76708,1255,45.1,243.468285345
"arg",1954,18579041,7305,41.9,81.1507469304
"arm",1954,1511188,2013,44.2,99.28
"asm",1954,19729,,,
"atg",1954,51979,3912,,113.603461585
"aus",1954,9014508,12694,31.4,28.7
"aut",1954,6939230,8458,41.7,54.9
"aze",1954,3228233,3987,39.2,130.698275093
"bdi",1954,2487929,567,41.5,277.406252489
"bel",1954,8820161,11390,46.4,48.3
"ben",1954,2287225,1159,41.1,335.9
"bfa",1954,4463165,576,40.3,376.5
"bgd",1954,41170306,1046,37.3,313.1
"bgr",1954,7479367,3385,23.7,125.6
"bhr",1954,128333,18839,35,305.909738748
"bhs",1954,85776,11933,,117.08
"bih",1954,2875641,1360,43.1,171.363429265
"blr",1954,7755576,3070,31.6,77.4814119644
"blz",1954,77686,1920,,144.981841935
"bmu",1954,39963,14935,,
"bol",1954,3305835,3019,40,299.621323065
"bra",1954,60838782,3366,38.2,203.84410599
"brb",1954,225263,3656,,168.8
"brn",1954,60104,57771,,129.351153736
"btn",1954,195449,889,47,385.104640457
"bwa",1954,459206,893,43.4,201.8
"caf",1954,1383078,1325,48.6,338.26993341
"can",1954,15300472,12687,35.4,39.9
"cck",1954,342,,,
"chanisl",1954,104962,,,
"che",1954,4912885,22745,38,33.1
"cheslo",1954,12954764,,,
"chl",1954,6709188,5519,51.8,204.722196221
"chn",1954,589955812,694,45.7,296.015257153
"civ",1954,2901307,2209,40.9,353.990684316
"cmr",1954,4787832,1592,41.7,349.6
"cod",1954,13222519,2041,44.2,280.838434131
"cog",1954,878834,1991,38.2,233.378903517
"cok",1954,16075,,,163.7
"col",1954,13824721,3404,53,175.955529712
"com",1954,170019,892,41.3,301.49654877
"cpv",1954,196632,779,47.8,211.11195522
"cri",1954,1082879,3449,49.4,132.615536667
"cub",1954,6424173,8492,36.5,41.39
"cxr",1954,682,,,
"cym",1954,6470,12002,,
"cyp",1954,521187,4397,38.9,61.6624175662
"cze",1954,9283156,8468,25.7,40.5163885977
"deu",1954,71015688,9926,40.9,53.0596748474
"deu_east",1954,18118333,,,
"deu_west",1954,51889402,,,
"dji",1954,67877,3411,40.8,268.303936306
"dma",1954,53690,2249,,
"dnk",1954,4410435,12732,38,30.5
"dom",1954,2688701,2321,50.4,153.8
"dza",1954,9609507,4307,40.2,253.2
"ecu",1954,3852857,3975,39.9,214.495939911
"egy",1954,23043035,1781,39.4,362.319101396
"eri",1954,1232905,823,47.5,324.941277004
"eri_a_eth",1954,23082816,,,
"esh",1954,19839,,,
"esp",1954,28866150,4987,37,78.1
"est",1954,1148217,5392,33.1,66.4956013583
"eth",1954,19559974,607,44.1,336.847897553
"fin",1954,4189559,8470,33,37.3
"fji",1954,324480,3016,42.6,101.3
"flk",1954,2213,,,
"fra",1954,43118110,9006,50.8,43.1
"fro",1954,31497,,,
"fsm",1954,36774,1263,,154.452346422
"gab",1954,480768,899,59.3,305.920514469
"gbg",1954,46032,,,
"gbm",1954,53398,,,
"gbr",1954,50938227,12173,25.7,30.8
"geo",1954,3774810,2571,40.7,113.564682452
"gha",1954,5504255,1996,41.1,234.4
"gib",1954,20961,,,
"gin",1954,3271196,699,42.7,362.1
"glp",1954,228874,,,
"gmb",1954,292713,1084,46.1,393.002766503
"gnb",1954,567406,1096,39.9,281.446768114
"gnq",1954,235993,553,50.5,334.925522334
"grc",1954,7856029,4673,36.3,63.0971285476
"grd",1954,79432,1841,,142.499331395
"grl",1954,25094,4161,,
"gtm",1954,3518608,3041,49.3,251.618540166
"guf",1954,27985,,,
"gum",1954,62058,,,
"guy",1954,468805,3902,41.9,128.8
"hkg",1954,2370828,3864,,
"hnd",1954,1665566,2369,45.9,249.737270922
"hos",1954,897,,,
"hrv",1954,3995136,5376,,106.74608521
"hti",1954,3450856,2394,45.4,320.763172105
"hun",1954,9768149,6914,25.9,72.2
"idn",1954,75539738,1665,48.4,263.7
"ind",1954,402065915,962,33.1,274.5
"irl",1954,2912747,6905,46.8,44.9
"irn",1954,18822605,3635,50.5,310.277185903
"irq",1954,6360435,5410,62.2,284.5
"isl",1954,154110,9821,,25.3
"isr",1954,1635786,4718,45,49.7553436426
"ita",1954,48064766,7710,42.7,65.2
"jam",1954,1521312,3795,41.7,112.1
"jey",1954,59279,,,
"jor",1954,608017,3301,40.5,221.7
"jpn",1954,87438747,3280,34.3,62.7
"kaz",1954,7636765,6554,38,150.282314573
"ken",1954,6782300,1838,69.2,270.8
"kgz",1954,1862068,2476,36.8,168.973037012
"khm",1954,4914447,1242,44.9,277.035209547
"kir",1954,35778,1980,,241.000353843
"kna",1954,47739,3554,,
"kor",1954,20520601,1070,30.3,205.2
"korea_union",1954,29954080,,,
"kos",1954,1259585,,,
"kwt",1954,188811,10545,39.3,181.439144643
"lao",1954,1847377,1181,37.3,269.691920273
"lbn",1954,1481960,9368,54.7,105.637679794
"lbr",1954,991312,1287,44.6,310.8
"lby",1954,1202737,5783,38.8,364.707387597
"lca",1954,86108,1663,,170.325429708
"lie",1954,14572,,,
"lka",1954,8653784,1807,34.3,127
"lso",1954,776514,476,52.1,219.4
"ltu",1954,2609264,7444,33.5,83.1679325221
"lux",1954,303452,18757,33.3,63.1203405038
"lva",1954,1995859,4288,33.5,75.4412963833
"mac",1954,186032,4946,,
"mar",1954,10163437,2132,42.7,271.135722412
"mco",1954,19264,13206,,
"mda",1954,2556588,2943,23.7,124.038012539
"mdg",1954,4444061,2083,40,281.594177918
"mdv",1954,78013,969,,350.01135853
"mex",1954,31599804,4840,55.4,184.069341762
"mhl",1954,13780,1498,,
"mkd",1954,1370978,2813,39.2,178.480946941
"mli",1954,4919547,695,42.3,471.252981912
"mlt",1954,313735,2678,,57.1
"mmr",1954,18895417,905,33.3,322.981703873
"mne",1954,433135,4526,39,119.171063433
"mng",1954,838787,984,45.5,249.584630219
"mnp",1954,7685,,,
"moz",1954,6716811,476,44.3,367.221682744
"mrt",1954,727440,1345,49.4,294.8
"msr",1954,14552,,,
"mtq",1954,239147,,,
"mus",1954,553623,2579,41.3,115.349071218
"mwi",1954,3187172,388,42.3,371.253604534
"mys",1954,6813378,2827,43,130.685980749
"myt",1954,18098,,,
"nam",1954,526036,4086,45.7,217.832486552
"ncl",1954,66289,,,
"ner",1954,2878395,1054,36,334.701277529
"nfk",1954,1709,,,
"nga",1954,40399771,3141,49.8,356.682711999
"nic",1954,1459850,4356,49.5,219.558737558
"niu",1954,4687,,,
"nld",1954,10542244,10930,44.3,26.3
"nor",1954,3398028,13247,36.2,26.6
"npl",1954,9137336,889,47.2,337.8
"nru",1954,3479,7383,,
"nzl",1954,2088194,14907,32.9,32.1
"omn",1954,486310,3599,40.9,396.935042869
"pak",1954,39714074,1167,37.8,338.9
"pan",1954,954272,3303,44.3,109
"pcn",1954,140,,,
"per",1954,8559721,4821,56.4,280.3
"phl",1954,21416099,2287,44.7,135.4
"plw",1954,8013,11373,,
"png",1954,1796808,1020,47.4,245.149873741
"pol",1954,26750026,5224,23.3,118.7732109
