"geo","time","population","gdp_p_cap_const_ppp2011_dollar","gini","child_mortality_rate_per1000"
"abw",1880,26404,1251,,
"afg",1880,4419695,741,43.1,479.96
"ago",1880,2473597,878,31.8,485.68
"aia",1880,3097,,,
"alb",1880,672544,870,34.8,375.2
"and",1880,3885,2523,,
"are",1880,42682,1498,43.5,434.46
"arg",1880,2493156,3097,33.4,403.44
"arm",1880,713957,649,46.1,334.322135981
"asm",1880,6582,,,
"atg",1880,35222,1137,,247.357752178
"aus",1880,2253007,7120,40,180.93
"aut",1880,4947026,3928,36.6,406.11
"aze",1880,1523060,1084,44,325.996473548
"bdi",1880,1389698,450,43.7,423.95
"bel",1880,5572208,5697,50.9,274.72
"ben",1880,1144003,799,43.6,430.46
"bfa",1880,2576527,515,37.5,454.69
"bgd",1880,26094931,903,44.8,521.6
"bgr",1880,2993642,1624,41.3,330.15
"bhr",1880,68170,2152,42.2,439.79
"bhs",1880,43344,2171,,235.355436136
"bih",1880,1439493,906,43.8,378.8
"blr",1880,4091588,871,50,365.67
"blz",1880,27123,869,,263.620964654
"bmu",1880,13622,1844,,
"bol",1880,1626132,1511,36.9,404.69
"bra",1880,11893392,1455,33.4,417.44
"brb",1880,171072,1372,,622.457141253
"brn",1880,8250,1859,,454.69
"btn",1880,122321,710,47.9,433.474388086
"bwa",1880,121900,532,35.6,397.2
"caf",1880,640769,568,48.6,443.79
"can",1880,4360348,3021,42.5,275.01
"chanisl",1880,64885,,,
"che",1880,2822978,6143,42.8,253.16
"chl",1880,2277245,2605,68.1,417.44
"chn",1880,365544192,1015,30.6,417.44
"civ",1880,1630846,1119,44.3,427.86
"cmr",1880,2224163,839,36.3,460.21
"cod",1880,7661544,674,42.1,422.65
"cog",1880,485381,721,43.4,408.51
"cok",1880,11335,,,
"col",1880,2885962,1127,50.7,417.44
"com",1880,90059,755,46.1,416.16
"cpv",1880,95157,685,48.3,394.71
"cri",1880,172749,1520,44.2,441.12
"cub",1880,1555081,2185,41.2,358.63
"cym",1880,3951,1561,,
"cyp",1880,189916,1740,41.3,339.12
"cze",1880,6875261,3022,48.3,379.99
"deu",1880,43577358,3057,42.7,389.96
"dji",1880,36159,969,45.6,445.15
"dma",1880,27583,996,,
"dnk",1880,2081766,3908,50,231.4
"dom",1880,317340,926,45.6,445.15
"dza",1880,4143163,1409,39,460.21
"ecu",1880,1152573,779,46.2,405.96
"egy",1880,7900451,960,40.4,404.69
"eri",1880,453535,622,48.3,441.12
"esh",1880,5708,,,
"esp",1880,16921004,2509,32.5,308.99
"est",1880,579703,1415,40.6,322.4
"eth",1880,6830859,535,47.5,447.88
"fin",1880,2047577,1925,43.2,288.06
"fji",1880,126850,965,46.3,498.88
"flk",1880,259,,,
"fra",1880,39014053,3555,53,257
"fro",1880,20040,,,
"fsm",1880,22218,544,,265.650162115
"gab",1880,262844,395,45.9,435.79
"gbm",1880,34946,,,
"gbr",1880,30849957,6553,43.2,251.14
"geo",1880,1857427,724,29.7,335.620081294
"gha",1880,1677747,752,47.1,471.38
"gib",1880,13834,,,
"gin",1880,1669530,510,32.7,439.79
"glp",1880,125442,,,
"gmb",1880,161446,853,46.8,460.21
"gnb",1880,329708,818,49.8,417.44
"gnq",1880,98300,395,51.1,446.51
"grc",1880,4024333,2275,41.8,357.45
"grd",1880,42734,1240,,262.318057599
"grl",1880,14335,748,,
"gtm",1880,1181901,1400,35.3,503.36
"guf",1880,15274,,,
"gum",1880,16326,,,
"guy",1880,249866,1824,38.2,429.16
"hkg",1880,164427,1309,,
"hnd",1880,436660,1455,45.6,393.46
"hos",1880,908,,,
"hrv",1880,2083435,2216,,366.84
"hti",1880,1280914,1170,44.4,485.551815036
"hun",1880,6256649,2151,42.5,395.703646955
"idn",1880,30212871,1088,39,443.79
"ind",1880,223020377,1084,30.1,509.39
"irl",1880,3641634,3276,35.8,171.55
"irn",1880,8879809,1153,43.9,506.38
"irq",1880,1775449,1290,44.1,427.86
"isl",1880,90546,2035,,268.65
"isr",1880,281441,940,44.9,447.223831836
"ita",1880,29621532,2849,48.5,386.5
"jam",1880,564583,932,39.1,320.37
"jor",1880,278561,1299,43.8,421.34
"jpn",1880,36826469,1395,46.7,356.28
"kaz",1880,3531920,1720,43.3,512.4
"ken",1880,2607157,1096,39.8,507.88
"kgz",1880,918049,862,41.8,376.933020508
"khm",1880,2509963,990,45.3,379.99
"kir",1880,23771,591,,338.126488507
"kna",1880,27141,1750,,
"kor",1880,9806394,531,32.1,503.36
"kwt",1880,85115,1648,43.1,500.35
"lao",1880,869267,1000,38.4,418.74
"lbn",1880,494961,1710,41,447.88
"lbr",1880,517639,939,45.4,429.16
"lby",1880,752589,2196,42.1,404.69
"lca",1880,37722,1068,,279.809209483
"lie",1880,8638,,,
"lka",1880,3044220,1373,44,409.79
"lso",1880,433624,411,52.1,407.24
"ltu",1880,1353535,1916,42.2,402.19
"lux",1880,187865,2961,38.8,351.67
"lva",1880,1026699,1133,42.2,326.83
"mac",1880,73107,1220,,
"mar",1880,4055109,796,42.1,403.44
