"geo","time","population","gdp_p_cap_const_ppp2011_dollar","gini","child_mortality_rate_per1000"
"abkh",1941,,,40,
"abw",1941,36316,3119,40,
"afg",1941,7101412,979,35.3607696501,447.519009838
"ago",1941,3956856,2373,50.4482442857,439.299387931
"aia",1941,4759,,40,
"akr_a_dhe",1941,,,40,
"alb",1941,1139413,1807,24.6127485714,235.955941899
"and",1941,5704,5992,40,
"ant",1941,,,40,
"arg",1941,14419056,7042,43,122.31991678
"arm",1941,1241575,1413,37.469091612,152.243035737
"asm",1941,13588,,40,
"atg",1941,39016,2836,40,149.703694987
"aus",1941,7119447,11069,37.2206379173,53.4095328467
"aut",1941,6744056,7993,37.5590214,96.88
"aze",1941,2653829,2678,40,178.274293924
"bdi",1941,2145108,493,46.7088870492,382.196651135
"bel",1941,8282385,6030,43.8694532961,103.62
"ben",1941,2072000,1163,42.7015842857,391.866073974
"bfa",1941,4009793,529,39.7851171429,413.402220513
"bgd",1941,37642122,1183,37.71409,334.360487372
"bgr",1941,6724888,2621,25.9888378187,199.778994334
"bhr",1941,106258,6178,40,349.590430365
"bhs",1941,67595,7451,40,138.66198042
"bih",1941,2448487,1256,40,232.09
"blr",1941,7162666,2104,30.1428571429,127.12
"blz",1941,56313,1637,40,171.174140655
"bmu",1941,32082,7993,40,
"bol",1941,2979579,2715,35.1484014286,353.080240027
"bra",1941,42480527,2351,53.778690478,311.251083457
"brb",1941,185879,2616,40,365.859671838
"brn",1941,36318,13727,40,199.48
"btn",1941,167562,825,40,410.736347899
"bwa",1941,285247,778,41.6108513514,354.277911453
"caf",1941,992239,1055,45.24579,420.332142066
"can",1941,11788510,9996,38.7059264424,79.8083078699
"cck",1941,,,40,
"chanisl",1941,96413,,40,
"cheslo",1941,,,40,
"chl",1941,5203699,4484,47.9235300444,325.577937796
"chn",1941,512550092,782,50.7460178571,330.858398623
"civ",1941,2455381,1838,38.09856,387.622460317
"cmr",1941,3640394,1311,41.5488342857,420.819899529
"cod",1941,11425312,1318,44.3108302817,367.624449174
"cog",1941,753376,1498,38.3002928571,377.44688444
"cok",1941,13043,,40,
"col",1941,9694623,2799,49.53454,242.788474942
"com",1941,144776,801,36.30614,378.974206897
"cpv",1941,163596,792,40,301.256454079
"cri",1941,747073,2896,40,219.50304
"cub",1941,4742910,6198,40,106.215374266
"cxr",1941,,,40,
"cym",1941,6596,6742,40,
"cyp",1941,414496,3411,40,187.21
"cyp_nor",1941,,,40,
"cze",1941,8598599,6831,40.6287228571,122.452134727
"deu",1941,71770823,10310,46.2671000396,84.237523489
"deu_east",1941,,,40,
"dji",1941,57556,2427,40,405.40895194
"dma",1941,45623,1884,40,
"dnk",1941,3865522,8012,38.9436507143,64.7272044118
"dom",1941,1760195,1766,40,301.223329312
"dza",1941,7896073,3538,40.5082542623,364.38017055
"ecu",1941,2639833,2210,40,342.250599077
"egy",1941,18127463,1642,41.8880042857,343.345883523
"eri",1941,1012383,761,40,402.888179549
"eri_a_eth",1941,,,40,
"est",1941,1012906,3635,37.48478,129.21
"eth",1941,15941136,570,46.1783185714,407.980306408
"fin",1941,3703567,5612,38.8650028571,91.25
"fji",1941,227034,2177,40,286.186309219
"flk",1941,1730,,40,
"fra",1941,40092290,4666,59.5252077256,84.3163169897
"fro",1941,29843,,40,
"fsm",1941,30168,973,40,177.566135341
"gab",1941,440061,585,45.1651928571,396.658999196
"gbg",1941,,,40,
"gbm",1941,52194,,40,
"geo",1941,3240162,1733,34.3194384,167.054574131
"gha",1941,4013751,1818,42.3541685714,311.5
"gib",1941,19478,,40,
"gin",1941,2852008,596,43.2827385714,359.6
"glp",1941,196067,,40,
"gmb",1941,253949,962,40,417.892030449
"gnb",1941,502429,839,44.7879071429,335.653294917
"gnq",1941,171394,472,40,406.17
"grc",1941,7209255,3792,37.5570357143,130.253985883
"grd",1941,71146,1614,40,167.524941517
"grl",1941,21553,2530,40,
"gtm",1941,2428156,4263,42.5419971429,381.061253165
"guf",1941,23691,,40,
"gum",1941,25082,,40,
"guy",1941,377753,3679,42.0275363058,158.869837838
"hkg",1941,1697665,2997,48.7,
"hnd",1941,1189207,2110,40,314.398307281
"hos",1941,911,,40,
"hrv",1941,3560055,4356,41.2537014286,177.128635136
"hti",1941,2816267,2177,40,384.805358179
"hun",1941,9324717,5893,29.3396787097,177.39892418
"idn",1941,62798942,2048,52.2857142857,411.809238683
"ind",1941,328418406,1079,33.5656874971,257.375281867
"irl",1941,2945862,5423,42.2940614286,103.383667845
"irn",1941,15266213,3134,44.5079842857,429.306131179
"irq",1941,4706624,2612,56.8398847826,387.322913861
"isl",1941,134126,6087,40,48.2819738562
"isr",1941,903214,2334,44.9230342857,75.0551091065
"ita",1941,44664220,6434,46.5098185714,153.12
"jam",1941,1230561,1928,42.0967042358,153.595077136
"jey",1941,,,40,
"jor",1941,406285,2661,40,326.875765734
"jpn",1941,73592624,3877,42.7125139065,121.360597312
"kaz",1941,6152975,4404,39.2938628571,234.829537915
"ken",1941,4307573,1657,55.5129957143,437.920800648
"kgz",1941,1600383,1937,39.1824457143,226.508582179
"khm",1941,4051457,1088,40,345.827796117
"kir",1941,32009,1362,40,270.213561651
"kna",1941,,3049,40,
"kor",1941,15881512,1340,31.0919842857,291.011893242
"kos",1941,,,40,
"kwt",1941,135504,1552,40,400.072581186
"lao",1941,1595255,1124,42.2668586885,371.463592049
"lbn",1941,1100787,5865,51.4128737951,371.34637202
"lbr",1941,861747,1139,40,365.652021429
"lby",1941,1064113,4656,40,367.365482118
"lca",1941,,1349,40,191.754485501
"lie",1941,12929,,40,
"lso",1941,684441,423,40,346.07639494
"ltu",1941,2370464,4982,37.48478,133.41
"lux",1941,279391,13167,40,125.537641638
"lva",1941,1798090,2899,37.48478,134.83
"mac",1941,344659,2929,40,
"mar",1941,7817816,1688,38.16616,350.089222601
"mco",1941,18823,9517,40,
"mda",1941,2150153,2030,25.9888378187,169.899247804
"mdg",1941,3822574,1591,40.9121328571,378.260323513
"mdv",1941,75294,870,40,367.291585916
"mex",1941,21200639,3391,53.3897311991,264.595771364
"mhl",1941,12254,1107,40,
"mkd",1941,1150778,2261,44.4985945455,221.780702702
"mli",1941,4330401,642,44.1469457143,447.068724828
"mlt",1941,294627,2378,40,68.0908299738
"mmr",1941,17031936,1295,33.549091,395.171609257
"mne",1941,364710,3573,40,185.58
"mng",1941,762457,810,40,382.428465551
"mnp",1941,6636,,40,
"moz",1941,5829696,437,40.7086357143,401.146265095
"mrt",1941,632278,1079,40,348.2
"msr",1941,13340,,40,
"mtq",1941,207318,,40,
"mus",1941,412881,2170,40,214.62095941
"mwi",1941,1991894,355,39.4410728571,392.031559114
"mys",1941,5495750,2277,48.3835235645,262.119181701
"myt",1941,14347,,40,
"nam",1941,336116,3340,42.9053742857,362.70473922
"ncl",1941,61670,,40,
"ner",1941,2421653,891,41.8352028571,395.191837388
"nfk",1941,,,40,
"nga",1941,27596860,2298,47.1936838571,408.940608217
"ngokar",1941,,,40,
"nic",1941,1006060,3261,40,346.065986164
"niu",1941,4647,,40,
"nld",1941,8947243,7327,38.369438928,56.8270844605
"nor",1941,2989874,8519,40.0005442857,55.2998234848
"npl",1941,7720014,833,43.9485895122,367.612396076
"nru",1941,2827,2978,40,
"nzl",1941,1633867,10387,36.77148644,48.2994579055
"omn",1941,451071,2570,40,401.213919219
"pak",1941,28459009,1358,39.2678585714,403.613265275
"pan",1941,729913,3337,40,252.119457407
"pcn",1941,,,40,
"per",1941,6615598,3854,49.6226971429,328.405620751
"phl",1941,14813836,2256,46.98784,252.782456632
"plw",1941,7106,5495,40,
"png",1941,1611060,904,47.1082528571,385.435383134
"pol",1941,28870568,3377,24.6127485714,205.984567337
"pri",1941,1942443,4214,44.9712242857,
"prk",1941,9036745,1438,40,252.516681932
"prt",1941,7775104,3231,43.9714314286,245.92
"pry",1941,1155242,3338,40,210.11527933
"pyf",1941,48745,,40,
"qat",1941,22380,1088,40,368.562814286
"reu",1941,228929,,40,
"rou",1941,15744962,3153,25.9888378187,269.882759126
"rus",1941,94453247,5530,30.1428571429,124.475487566
"rwa",1941,2053779,518,45.7425585714,340.462771557
"sau",1941,,1002,40,378.296297214
"shn",1941,,,40,
"slv",1941,1823147,2506,40,326.780568726
"smr",1941,,5153,40,
"spm",1941,,,40,
"stp",1941,,1157,40,244.156135086
"tcd",1941,1793766,1052,41.8151742857,388.512906828
"vct",1941,,2004,40,207.087138903
"vgb",1941,6245,,40,
"wsm",1941,,2681,40,250.66269097
