"geo","time","population","gdp_p_cap_const_ppp2011_dollar","gini","child_mortality_rate_per1000"
"abw",2006,100830,40209,,19.372
"afg",2006,25183615,1173,29.1,116.3
"ago",2006,18541467,5445,42.8,200.5
"aia",2006,12903,,,
"akr_a_dhe",2006,15700,,,
"ala",2006,26923,,,
"alb",2006,3050741,7476,31.1,19.5
"and",2006,83373,42738,,3.7
"ant",2006,188700,,,
"are",2006,5171255,95637,45.1,9.6
"arg",2006,39558750,12913,48.3,16.4
"arm",2006,3002161,6020,32.5,22.2
"asm",2006,58648,,,
"atg",2006,83467,24016,,11.8
"aus",2006,20606228,39416,33.2,5.6
"aut",2006,8269372,42036,25.3,4.8
"aze",2006,8662137,10711,22.1,48.6
"bdi",2006,8218070,704,33.3,120.9
"bel",2006,10632032,40661,27.8,4.9
"ben",2006,8443717,1592,40.5,122.1
"bfa",2006,13834195,1271,41.5,149.4
"bgd",2006,144839238,2038,33,63
"bgr",2006,7624611,13228,31.2,15
"bhr",2006,940808,43358,35,10.5
"bhs",2006,335801,25530,,15.1
"bih",2006,3838504,8242,33.4,8.3
"blr",2006,9594233,12010,28.2,8.7
"blz",2006,290751,8360,,21.2
"bmu",2006,65064,58785,,
"bol",2006,9283345,4716,56.9,58.1
"bra",2006,190698241,12732,46,21
"brb",2006,275040,15913,,16.2
"brn",2006,368150,76287,,9
"btn",2006,666920,4767,37,54.8
"bwa",2006,1895671,12241,59.2,62.7
"caf",2006,4127112,869,51.2,164.2
"can",2006,32611436,41012,31.7,6
"cck",2006,574,,,
"chanisl",2006,155415,,,10.539
"che",2006,7480317,52786,31.1,5
"cheslo",2006,15674903,,,
"chl",2006,16279728,17554,51.1,9
"chn",2006,1312600877,6360,42.5,21.9
"civ",2006,18486392,2827,42.6,124.7
"cmr",2006,18597109,2547,41,121.2
"cod",2006,57926840,569,44.3,133.5
"cog",2006,3604595,5138,46.1,87.4
"cok",2006,19656,,,12.2
"col",2006,43835744,9759,58.7,20.9
"com",2006,633814,1499,63.8,95.7
"cpv",2006,478265,4937,45.2,28
"cri",2006,4308790,11371,49.3,10.3
"cub",2006,11275199,15901,36.9,6.5
"cxr",2006,1490,,,
"cym",2006,50028,56971,,
"cyp",2006,1048293,34528,28.8,4.6
"cze",2006,10271476,27256,25.3,5
"deu",2006,81055904,39352,26.8,4.6
"deu_east",2006,16327924,,,
"deu_west",2006,65567237,,,
"dji",2006,788941,2315,40,86
"dma",2006,70690,9172,,16
"dnk",2006,5440696,45437,23.7,4.7
"dom",2006,9371333,9568,51.9,36.1
"dza",2006,33749328,12088,42.5,32.1
"ecu",2006,13967490,8802,53.2,28.3
"egy",2006,76274285,8990,40.6,34.1
"eri",2006,4304440,1272,47.5,66.3
"eri_a_eth",2006,79564975,,,
"esh",2006,448666,,,59.661
"esp",2006,44537926,34206,31.9,5.5
"est",2006,1349369,24047,33.1,6.7
"eth",2006,78735675,796,30.6,101.3
"fin",2006,5266600,40115,25.9,3.6
"fji",2006,827390,7253,44.2,23.8
"flk",2006,2927,,,
"fra",2006,61609991,37001,27.3,4.5
"fro",2006,48505,,,
"fsm",2006,105680,3312,,45.9
"gab",2006,1408920,16059,42.1,73.2
"gbg",2006,65409,,,
"gbm",2006,81110,,,
"gbr",2006,60648850,37504,32.5,5.9
"geo",2006,4429186,5116,40.1,22.7
"gha",2006,21951891,2652,42.8,84.4
