"geo","time","population","gdp_p_cap_const_ppp2011_dollar","gini","child_mortality_rate_per1000"
"abkh",1908,,,40,
"abw",1908,30560,1511,40,
"afg",1908,5283495,815,41.883882,477.75
"ago",1908,3087366,992,39.680157,479.16
"aia",1908,3765,,40,
"akr_a_dhe",1908,,,40,
"alb",1908,884337,1285,27.771075,370.16
"and",1908,4614,3512,40,
"ant",1908,,,40,
"arg",1908,6355958,8250,50.0178285617,267.976540025
"arm",1908,919311,887,36.44009,295.972675222
"asm",1908,6761,,40,
"atg",1908,32690,1373,40,197.05858813
"aus",1908,4213352,7830,40.590127,110.29
"aut",1908,6485168,6693,37.0173132,323.63
"aze",1908,1962683,1540,40,289.41607219
"bdi",1908,1676867,462,43.69366,418.26
"bel",1908,7390947,7357,50.047033,207.03
"ben",1908,1502479,915,41.5132726667,424.68
"bfa",1908,3155108,531,37.4998,448.58
"bgd",1908,30586752,1028,38.79396,558.97
"bgr",1908,4415830,2353,31.6728627595,281.38
"bhr",1908,79606,2713,40,433.89
"bhs",1908,55522,2622,40,184.610963896
"bih",1908,1834778,1181,40,373.71
"blr",1908,5291984,1246,50,309.48
"blz",1908,39143,1050,40,215.772917444
"bmu",1908,18707,2226,40,
"bol",1908,1957052,1970,40,399.26
"bra",1908,21486702,1369,37.9026521656,411.83
"brb",1908,178832,1657,40,518.05
"brn",1908,19935,2044,40,448.58
"btn",1908,142225,751,40,423.476346809
"bwa",1908,125045,609,35.60809,391.87
"caf",1908,734529,650,45.24579,437.83
"can",1908,6756213,5967,40.7251522951,339.88
"cck",1908,,,40,
"chanisl",1908,77800,,40,
"cheslo",1908,,,40,
"chl",1908,3272444,4123,55.2220640865,516.43
"chn",1908,412055375,945,38.028279,411.83
"civ",1908,1964763,1251,38.09856,422.11
"cmr",1908,2418015,960,41.491383,454.03
"cod",1908,9194318,757,42.12181,416.97
"cog",1908,593301,780,39.7653371111,403.03
"cok",1908,8562,,40,
"col",1908,4817792,1313,51.891287,411.83
"com",1908,111831,777,36.30614,410.57
"cpv",1908,121885,772,40,389.41
"cri",1908,350340,2078,40,374.89
"cub",1908,2138046,3024,40,377.3
"cxr",1908,,,40,
"cym",1908,5410,1885,40,
"cyp",1908,263164,2422,40,259.47
"cyp_nor",1908,,,40,
"cze",1908,7619525,4437,38.876201,281.38
"deu",1908,62296575,5017,43.2215645,289.32
"deu_east",1908,,,40,
"dji",1908,44705,1058,40,439.18
