"geo","time","population","gdp_p_cap_const_ppp2011_dollar","gini","fertility_rate"
"abkh",1807,,,40,
"abw",1807,19286,834,40,5.64
"afg",1807,3280000,603,30.5122804245,7
"ago",1807,1567028,637,48.93343,6.94
"aia",1807,2025,,40,
"akr_a_dhe",1807,,,40,
"alb",1807,419550,668,41.2354,4.6
"and",1807,2654,1212,40,
"ant",1807,,,40,5.8
"arg",1807,534000,1509,47.1009928111,6.8
"arm",1807,413326,514,29.12185,7.82
"asm",1807,8160,,40,
"atg",1807,37000,758,40,4.97
"aus",1807,344963,828,41.30739,6.36
"aut",1807,3261860,1901,53.35227,5.1
"aze",1807,879960,776,40,8.1
"bdi",1807,899097,421,43.69366,6.8
"bel",1807,3238671,2415,62.43673,4.82
"ben",1807,636559,597,47.95059,5.56
"bfa",1807,1665421,480,37.4998,6.03
"bgd",1807,19494327,876,41.82703,6.7
"bgr",1807,2058403,1090,47.82681,5.16
"bhr",1807,64474,1273,40,7.03
"bhs",1807,27350,1447,40,5.9
"bih",1807,851806,669,40,5.91
"blr",1807,2355081,610,57.85,7
"blz",1807,25526,579,40,6.69
"bmu",1807,9789,1229,40,
"bol",1807,1100000,854,40,6.48
"bra",1807,3922368,1110,47.1009928111,6.26
"brb",1807,81729,914,40,4.76
"brn",1807,2128,1513,40,7.06
"btn",1807,89989,630,40,6.67
"bwa",1807,121000,398,35.60809,6.47
"caf",1807,479444,425,45.24579,6.51
"can",1807,700705,1373,45.13605,5.72
"cck",1807,,,40,
"chanisl",1807,43908,,40,5.07
"cheslo",1807,,,40,
"chl",1807,771447,1027,47.1009928111,5.98
"chn",1807,341306850,985,44.854295,5.5
"civ",1807,1088530,835,38.09856,6.78
"cmr",1807,1860054,627,56.15046,5.54
"cod",1807,5163819,499,42.12181,5.99
"cog",1807,314465,586,51.06881,5.67
"cok",1807,16274,,40,
"col",1807,1206000,964,58.94312,6.19
"com",1807,56346,701,36.30614,6.01
"cpv",1807,55716,530,40,6.44
"cri",1807,55973,776,40,6.93
"cub",1807,424879,937,40,5.78
"cxr",1807,,,40,
"cym",1807,2439,1040,40,
"cyp",1807,184530,854,40,6.03
"cyp_nor",1807,,,40,
"cze",1807,5516349,1917,34.91032,5.28
"deu",1807,23573934,1722,51.03153,5.37
"deu_east",1807,,,40,
"dji",1807,22848,769,40,6.3
"dma",1807,19950,664,40,
"dnk",1807,1094010,2039,54.1420492489,4.07
"dom",1807,89000,668,40,6.16
"dza",1807,2566734,722,57.71468,6.99
"ecu",1807,500000,530,40,6.98
"egy",1807,4226119,792,57.71468,6.06
"eri",1807,205010,533,40,6.96
"eri_a_eth",1807,,,40,
"est",1807,334136,945,48.87745,5.03
"eth",1807,2948990,523,47.51967,7.17
"fin",1807,1040777,1260,50.58427,4.97
"fji",1807,132029,786,40,6.45
"flk",1807,100,,40,
"fra",1807,30004882,1828,59,4.05
"fro",1807,13537,,40,
"fsm",1807,16416,520,40,6.02
"gab",1807,158227,391,45.85316,6.5
"gbg",1807,,,40,
"gbm",1807,23533,,40,
"geo",1807,1072178,543,29.74723,7.8
"gha",1807,2016034,700,58.44026,6.43
"gib",1807,9873,,40,
"gin",1807,983959,451,32.73783,6.11
"glp",1807,80726,,40,5.62
"gmb",1807,103274,816,40,6.51
"gnb",1807,218167,778,49.84899,7.25
"gnq",1807,80377,359,40,5.51
"grc",1807,2206136,1388,49.93078,6.03
"grd",1807,29409,960,40,5.81
"grl",1807,9584,394,40,4.82
"gtm",1807,502618,858,35.30002,6.45
"guf",1807,9899,,40,6.27
"gum",1807,7707,,40,6.37
"guy",1807,166034,1215,38.23119,5.01
"hkg",1807,20000,1008,48.7,5.47
"hnd",1807,131559,675,40,6.07
"hos",1807,905,,40,
"hrv",1807,1227886,,27.71461,5.75
"hti",1807,723000,634,40,6.31
"hun",1807,3713608,1250,47.41291,5.18
"idn",1807,16406027,995,51.69444,6.07
"ind",1807,170915534,1052,32.8,5.95
"irl",1807,4386339,1449,44.58137,4.2
"irn",1807,6369828,978,57.71468,7.08
"irq",1807,1082521,971,57.71468,7.13
"isl",1807,61428,927,40,4.88
"isr",1807,209954,880,44.86531,5.91
"ita",1807,19285395,2419,53.863275,5.47
"jam",1807,401000,1172,39.10361,5.13
"jey",1807,,,40,
"jor",1807,217000,977,40,6.97
"jpn",1807,30539500,1060,53.15753,4.28
"kaz",1807,2041282,1149,43.31751,6.45
"ken",1807,2574000,872,46.31273,6.91
"kgz",1807,530343,509,45.95004,6.58
"khm",1807,2090000,904,40,6.95
"kir",1807,17876,554,40,5.67
"kna",1807,,1166,40,
"kor",1807,9395000,572,32.12819,6
"kos",1807,,,40,
"kwt",1807,81280,1126,40,6.87
"lao",1807,470000,865,38.40764,6.13
"lbn",1807,332000,1087,57.71468,5.74
"lbr",1807,313543,798,40,6.19
"lby",1807,533748,1051,40,7.2
"lca",1807,,875,40,5.53
"lie",1807,5802,,40,
"lso",1807,276361,395,40,5.84
"ltu",1807,778655,1280,48.87745,5.72
"lux",1807,127030,1454,40,4.76
"lva",1807,590588,757,48.87745,5.14
"mac",1807,19928,993,40,5.51
"mar",1807,2566734,716,57.71468,6.5
"mco",1807,7789,1966,40,
"mda",1807,712558,622,47.82681,6.39
"mdg",1807,1590712,573,41.00953,6.89
"mdv",1807,42378,843,40,5.98
"mex",1807,6320642,1380,40.1136444854,6.8
"mhl",1807,5828,541,40,
"mkd",1807,391865,691,32.52048,5.9
"mli",1807,1403398,603,47.15742,6.23
"mlt",1807,134072,782,40,5.49
