"geo","time","population","gdp_p_cap_const_ppp2011_dollar","gini","fertility_rate"
"abkh",1890,,,40,
"abw",1890,27817,1338,40,5.64
"afg",1890,4710171,767,36.52764,7
"ago",1890,2677047,917,28.97607,6.99
"aia",1890,3320,,40,
"akr_a_dhe",1890,,,40,
"alb",1890,741688,1008,28.36242,4.6
"and",1890,4131,2839,40,
"ant",1890,,,40,5.8
"arg",1890,3402273,5228,44.5968364978,5.99
"arm",1890,781218,656,32.75693,8.08
"asm",1890,6139,,40,
"atg",1890,36286,1216,40,4.67
"aus",1890,3088808,7418,39.35404,4.69
"aut",1890,5408503,4725,36.721836,4.24
"aze",1890,1667011,1112,40,8.1
"bdi",1890,1485986,454,43.69366,6.81
"bel",1890,6125406,6387,49,4.25
"ben",1890,1260608,839,42.8299966667,5.63
"bfa",1890,2769399,520,37.4998,6.09
"bgd",1890,27615079,968,39.38298,6.7
"bgr",1890,3453830,1887,34.77324,4.7
"bhr",1890,72045,2410,40,6.99
"bhs",1890,47817,2322,40,5.9
"bih",1890,1569427,1039,40,5.28
"blr",1890,4484175,895,50,6.46
"blz",1890,30754,930,40,6.66
"bmu",1890,15068,1972,40,
"bol",1890,1718906,1661,40,6.48
"bra",1890,14410738,1492,35.5856393444,6.21
"brb",1890,181966,1468,40,5.11
"brn",1890,11271,1923,40,7.06
"btn",1890,129082,724,40,6.67
"bwa",1890,122200,559,35.60809,6.49
"caf",1890,672749,596,45.24579,6.51
"can",1890,4908078,3963,41.22997,4.24
"cck",1890,,,40,
"chanisl",1890,69222,,40,4.09
"cheslo",1890,,,40,
"chl",1890,2623814,2948,55.1314780068,5.04
"chn",1890,377135349,918,30.56169,5.5
"civ",1890,1742785,1164,38.09856,6.78
"cmr",1890,2291482,880,33.04797,5.54
"cod",1890,8176082,703,42.12181,5.99
"cog",1890,521378,741,42.0774111111,5.67
"cok",1890,10090,,40,
"col",1890,3432631,1157,42.43406,6.19
"com",1890,97281,763,36.30614,6.01
"cpv",1890,103928,715,40,6.57
"cri",1890,227054,1699,40,6.91
"cub",1890,1658274,2454,40,5.78
"cxr",1890,,,40,
"cym",1890,4303,1670,40,
"cyp",1890,207321,1958,40,4.92
"cyp_nor",1890,,,40,
"cze",1890,7132039,3441,42.13556,4.92
"deu",1890,48211294,3733,38.673905,5.2
"deu_east",1890,,,40,
"dji",1890,38998,1000,40,6.3
"dma",1890,27386,1066,40,
"dnk",1890,2291557,4587,39.858995,4.11
"dom",1890,407957,978,40,6.16
"dza",1890,4525691,1570,33.1912,6.99
"ecu",1890,1291183,830,40,7.01
"egy",1890,8912535,1166,33.1912,6.03
"eri",1890,516854,638,40,6.96
"eri_a_eth",1890,,,40,
"est",1890,634935,1464,32.2501,3.87
"eth",1890,7832385,537,47.51967,7.17
"fin",1890,2358344,2305,35.86799,4.83
"fji",1890,122056,998,40,6.45
"flk",1890,352,,40,
"fra",1890,40015501,3639,48,2.95
"fro",1890,21393,,40,
"fsm",1890,23340,548,40,6.02
"gab",1890,286111,396,45.85316,6.5
"gbg",1890,,,40,
"gbm",1890,37318,,40,
"geo",1890,2033664,737,29.74723,7.8
"gha",1890,1781078,769,38.1145,6.43
"gib",1890,14629,,40,
"gin",1890,1821769,521,32.73783,6.11
"glp",1890,134914,,40,5.62
"gmb",1890,173847,859,40,6.51
"gnb",1890,353821,825,49.84899,7.25
"gnq",1890,101679,401,40,5.51
"grc",1890,4441125,2636,33.72567,4.73
"grd",1890,51785,1294,40,5.81
"grl",1890,15319,832,40,4.63
"gtm",1890,1284688,1519,35.30002,6.45
"guf",1890,16402,,40,6.27
"gum",1890,12695,,40,6.37
"guy",1890,267135,1951,38.23119,4.2
"hkg",1890,218690,1517,48.7,5.47
"hnd",1890,469600,1653,40,6.25
"hos",1890,909,,40,
"hrv",1890,2273902,2633,40.9259,5.31
"hti",1890,1419252,1295,40,6.31
"hun",1890,6631452,2502,39.9871530508,4.93
"idn",1890,33747355,1077,39,6.07
"ind",1890,232819584,1163,32.010395,5.75
"irl",1890,3349404,3628,33.03146,2.99
"irn",1890,9418782,1235,38.42387,7.08
"irq",1890,1992559,1396,37.66752,7.13
"isl",1890,96517,2009,40,3.86
"isr",1890,316448,994,44.86531,4.83
"ita",1890,31665125,3141,45.9799,4.95
"jam",1890,637199,961,39.10361,5.17
"jey",1890,,,40,
"jor",1890,294766,1405,40,6.97
"jpn",1890,39878734,1606,47.3588692646,4.18
"kaz",1890,3865983,1780,43.31751,6.45
"ken",1890,2618210,1131,33.25916,6.91
"kgz",1890,1005105,941,37.68756,6.58
"khm",1890,2678588,1005,40,6.95
"kir",1890,25323,596,40,5.67
"kna",1890,,1871,40,
"kor",1890,9856047,526,32.12819,6
"kos",1890,,,40,
"kwt",1890,89663,1904,40,6.87
"lao",1890,998964,1024,38.40764,6.13
"lbn",1890,525702,1889,37.26574,5.74
"lbr",1890,563168,964,40,6.19
"lby",1890,800283,2483,40,7.2
"lca",1890,,1104,40,5.53
"lie",1890,9225,,40,
"lso",1890,467118,413,40,5.84
"ltu",1890,1483375,1983,35.4506,5.16
"lux",1890,200461,3333,40,3.78
"lva",1890,1125139,1173,35.4506,3.74
"mac",1890,67860,1262,40,5.51
"mar",1890,4349836,810,35.59134,6.5
"mco",1890,12982,4512,40,
"mda",1890,1350371,883,34.77324,6.39
"mdg",1890,2705491,805,41.00953,6.89
"mdv",1890,61033,839,40,5.98
"mex",1890,11868744,1862,43.827735,6.8
"mhl",1890,8960,569,40,
"mkd",1890,731284,1349,30.40098,5.4
"mli",1890,2695216,619,47.15742,6.23
"mlt",1890,211471,1488,40,5.36
"mmr",1890,7618454,1051,32.98838,6.03
"mne",1890,233519,2068,40,5.28
"mng",1890,691803,668,40,5.94
"mnp",1890,4982,,40,
"moz",1890,3787673,411,42.600765,6.63
"mrt",1890,511712,742,40,6.34
"msr",1890,11478,,40,
"mtq",1890,141727,,40,5.71
"mus",1890,368896,1322,40,4.81
"mwi",1890,755700,355,41.5409,6.78
"mys",1890,1589037,1218,43.027350159,5.45
"myt",1890,11343,,40,7.07
"nam",1890,231395,1540,39.55336,5.96
"ncl",1890,45164,,40,6.41
"ner",1890,1831048,627,43.34556,6.83
"nfk",1890,,,40,
"nga",1890,16380516,1213,36.97673,6.55
"ngokar",1890,,,40,
"nic",1890,505573,2052,40,6.16
"niu",1890,4563,,40,
"nld",1890,4529873,5895,42.26006,5.07
"nor",1890,2003954,3251,36.786185,4.43
"npl",1890,5256924,764,40.99217,6.15
"nru",1890,2355,778,40,
"nzl",1890,669985,6265,38.15322644,3.94
"omn",1890,399816,1327,40,6.88
"pak",1890,17873100,1128,35.93506,6.59
"pan",1890,230232,1870,40,5.36
"pcn",1890,,,40,
"per",1890,3337979,1452,41.67236,6.82
"phl",1890,5668348,1092,37.7503,5.79
"plw",1890,5504,1067,40,
"png",1890,1170606,695,36.01381,6.23
"pol",1890,22618933,2156,29.95764,5.63
"pri",1890,839355,2016,35.18422,5.15
"prk",1890,4959044,528,40,6.1
"prt",1890,5029810,2086,39.40931,4.24
"pry",1890,424496,2010,40,6.49
"pyf",1890,34531,,40,5.97
"qat",1890,15478,1904,40,6.97
