geo,time,pop,gdp_pc,gini,u5mr
afg,1918,5704092,849,40.5,468.14
ago,1918,3338932,1174,46,468.01
alb,1918,953762,1479,27.1,361.55
are,1918,53792,1885,44.2,418.66
arg,1918,8530833,6598,45.8,220.33
arm,1918,1006533,671,38.1,262.61
aus,1918,5066005,7613,41.4,80.07
aut,1918,6643727,5105,37.2,313.89
aze,1918,2149535,834,43,262.5
bdi,1918,1795671,466,45.5,408.53
bel,1918,7665594,4005,51,212.85
ben,1918,1656521,971,43.2,416.06
bfa,1918,3392483,537,39.3,438.56
bgd,1918,32243649,1010,38.5,519.52
bgr,1918,4974596,2024,30,267.93
bhr,1918,85750,2730,38.7,423.72
bih,1918,2001542,1152,45.4,365.02
blr,1918,5802334,677,39.5,244.92
bol,1918,2255852,2165,36.9,389.97
bra,1918,26528963,1492,33.3,401.59
btn,1918,149981,765,47.6,419.96
bwa,1918,146398,648,37.5,381.64
caf,1918,771180,728,47.3,427.65
can,1918,8373747,7399,41.2,219.69
che,1918,3870679,9382,38.2,126.75
chl,1918,3670939,4340,73.8,414.12
chn,1918,453847943,990,41.8,402.25
civ,1918,2100551,1360,42,412.1
cmr,1918,2491273,1030,43.2,443.88
cod,1918,9815444,852,43.1,407.27
cog,1918,637570,883,39.5,393.65
col,1918,6075603,1631,57.9,322.27
com,1918,120861,785,42.4,401.02
cpv,1918,133198,805,47.8,380.35
cri,1918,406979,2323,46.1,365.02
cub,1918,2894522,3839,39.3,344.45
cyp,1918,300439,2688,41.5,233.77
cze,1918,7904588,4542,39.6,224.67
deu,1918,65180837,4746,44.6,256.73
dji,1918,48237,1243,43.6,428.96
dnk,1918,3165275,6396,46.6,99.15
dom,1918,861969,1196,43.4,420.55
dza,1918,5913223,2281,38.1,444.24
ecu,1918,1838343,1194,44,391.47
egy,1918,12704313,1328,43.5,390.68
eri,1918,747182,692,48.2,425.08
esp,1918,21013559,3196,35.5,345.12
est,1918,820252,1473,38.8,213.06
eth,1918,11526529,545,49.4,431.59
fin,1918,3122759,2298,41,214.47
fji,1918,151758,1222,43.9,493.32
fra,1918,38932955,3861,57.7,215.14
gab,1918,363098,427,47.7,419.94
gbr,1918,43596367,9439,42.1,170.93
geo,1918,2624659,695,37.5,269.54
gha,1918,2306532,1149,41.9,438.59
gin,1918,2328801,552,43.1,396.7
gmb,1918,214049,893,46.6,443.41
gnb,1918,431130,844,51.7,402.25
gnq,1918,111780,432,51.2,430.27
grc,1918,5529687,3916,39.8,131.63
gtm,1918,1688917,1907,40.2,484.81
guy,1918,322401,2454,42.3,394.78
hnd,1918,711835,2363,42.8,378.92
hti,1918,2077574,1722,43.3,466
hun,1918,7903494,3264,32.8,352.33
