"geo","time","population","gdp_p_cap_const_ppp2011_dollar","gini","child_mortality_rate_per1000"
"abw",1894,,1375,,
"afg",1894,,777,37.7,482.81
"ago",1894,,933,31.4,485.67
"alb",1894,,1065,28.2,375.19
"and",1894,,2977,,
"are",1894,,1834,43.5,434.45
"arg",1894,,6427,42.4,399.69
"arm",1894,,840,33.6,328.255972582
"atg",1894,,1249,,220.780364632
"aus",1894,,6270,37.6,156.65
"aut",1894,,5162,36.8,407.72
"aze",1894,,1432,45.2,316.786886659
"bdi",1894,,456,43.7,423.94
"bel",1894,,6467,49.2,225.88
"ben",1894,,855,42.5,430.45
"bfa",1894,,523,37.5,454.68
"bgd",1894,,982,39.3,559.91
"bgr",1894,,1948,34.1,323.5
"bhr",1894,,2522,41.4,439.78
"bhs",1894,,2386,,208.444702315
"bih",1894,,1052,45.9,378.79
"blr",1894,,1154,50,365.66
"blz",1894,,955,,238.500030697
"bmu",1894,,2026,,
"bol",1894,,1725,36.9,404.68
"bra",1894,,1171,25,417.42
"brb",1894,,1508,,653.883385175
"brn",1894,,1949,,454.68
"btn",1894,,730,47.9,428.446204677
"bwa",1894,,569,35.6,397.19
"caf",1894,,608,48.9,443.78
"can",1894,,4035,41.1,282.499347092
"che",1894,,7989,35.4,207.94
"chl",1894,,3064,69.5,453.978542077
"chn",1894,,911,27.4,417.42
"civ",1894,,1183,44.9,427.84
"cmr",1894,,897,34.9,460.19
"cod",1894,,715,42.1,422.63
"cog",1894,,750,41.6,408.5
"col",1894,,1169,45.5,417.42
"com",1894,,766,46.9,416.15
"cpv",1894,,727,48,394.69
"cri",1894,,1777,43.8,414.88
"cub",1894,,2571,41.4,548.43
"cym",1894,,1715,,
"cyp",1894,,2053,42.6,339.11
"cze",1894,,3640,41.4,379.98
"deu",1894,,3996,41,356.05
"dji",1894,,1012,45.8,445.14
"dma",1894,,1095,,
"dnk",1894,,4860,45.3,196.22
"dom",1894,,999,45.9,445.14
"dza",1894,,1640,33.8,460.19
"ecu",1894,,852,46.7,405.95
"egy",1894,,1216,34.9,404.68
"eri",1894,,644,48.7,441.11
"esp",1894,,2614,32.1,315.033337918
"est",1894,,1893,33.2,295.6
"eth",1894,,538,47.5,447.87
"fin",1894,,2338,36.4,228.75
"fji",1894,,1012,45.8,498.87
"fra",1894,,3964,49.4,226.33
"fsm",1894,,549,,242.190798686
"gab",1894,,396,45.9,435.78
"gbr",1894,,7216,38.3,207.3
"geo",1894,,947,31.1,325.927710815
"gha",1894,,763,38.6,470.111228925
"gin",1894,,525,34.5,437.11
"gmb",1894,,861,46.9,460.19
"gnb",1894,,828,49.8,417.42
"gnq",1894,,403,51.7,446.5
"grc",1894,,2786,34.6,334.59
"grd",1894,,1316,,236.663761001
"grl",1894,,868,,
"gtm",1894,,1569,35.9,503.35
"guy",1894,,2004,39.1,418.45992464
"hkg",1894,,1609,,
"hnd",1894,,1740,43.5,393.45
"hrv",1894,,2706,,366.83
"hti",1894,,1349,44.6,485.403534807
"hun",1894,,2641,39,401.27
"idn",1894,,1154,39.6,443.78
"ind",1894,,1180,29.1,530.87
"irl",1894,,3779,33.9,152.95
"irn",1894,,1269,38.2,506.36
"irq",1894,,1440,39,427.84
"isl",1894,,2357,,161.32
"isr",1894,,1016,44.9,447.088140728
"ita",1894,,3294,46.6,316.25
"jam",1894,,973,39,273.18
"jor",1894,,1450,44.1,421.33
"jpn",1894,,1765,48.3,344.76
"kaz",1894,,2301,41.2,471.36
"ken",1894,,1145,36.6,507.87
"kgz",1894,,975,38.6,375.929333163
"khm",1894,,1011,46.1,379.98
"kir",1894,,599,,321.240828847
"kna",1894,,1922,,
"kor",1894,,523,32.1,503.35
"kwt",1894,,2018,42.7,500.33
"lao",1894,,1034,38.4,418.73
"lbn",1894,,1966,38.5,447.87
"lbr",1894,,975,46.3,429.15
"lby",1894,,2607,41.5,404.68
"lca",1894,,1118,,256.542653292
"lka",1894,,1728,43.7,409.78
"lso",1894,,414,51.6,407.23
"ltu",1894,,2564,36.4,332.36
"lux",1894,,3494,40.1,275.01
"lva",1894,,1516,36.4,277.03
"mac",1894,,1279,,
"mar",1894,,816,35.8,403.43
"mco",1894,,4726,,
"mda",1894,,1137,34.1,333.213947828
"mdg",1894,,821,41,437.11
"mdv",1894,,839,,396.747152804
"mex",1894,,2039,47.9,491.53
"mhl",1894,,571,,
"mkd",1894,,1387,31.8,382.768586971
"mli",1894,,620,47.2,494.47
"mlt",1894,,1544,,128.674915391
"mmr",1894,,1097,33,433.12
"mne",1894,,2126,42.3,375.19
"mng",1894,,673,48.4,420.03
"moz",1894,,412,41.3,439.78
"mrt",1894,,756,47.9,417.42
"mus",1894,,1348,44.5,308.99
"mwi",1894,,355,40.7,439.78
"mys",1894,,1242,41,435.78
"nam",1894,,1635,40.1,412.33
"ner",1894,,639,43.3,433.12
"nga",1894,,1235,37.8,438.45
"nic",1894,,2141,43.5,509.38
"nld",1894,,6053,43.2,230.93
"nor",1894,,3382,43.1,171.32
"npl",1894,,787,41,407.23
