"geo","time","population","gdp_p_cap_const_ppp2011_dollar","gini","fertility_rate"
"abkh",1969,,,40,
"abw",1969,58724,6227,40,3.05
"afg",1969,10849510,1178,30.2172318417,7.67
"ago",1969,6177703,5158,46.9594679032,7.34
"aia",1969,6344,,40,
"akr_a_dhe",1969,12187,,40,
"alb",1969,2099657,3587,25.802095,5.16
"and",1969,23061,30726,40,
"ant",1969,156893,,40,3.05
"arg",1969,23605992,9610,35.97,3.06
"arm",1969,2456370,3313,38.0288762938,3.31
"asm",1969,26615,,40,
"atg",1969,64307,5666,40,3.82
"aus",1969,12621240,18949,32.1382592667,2.89
"aut",1969,7473058,16743,47.49857,2.49
"aze",1969,5066080,6819,40,4.75
"bdi",1969,3392949,627,43.5338201639,7.29
"bel",1969,9629528,17868,38.623471987,2.28
"ben",1969,2846652,1210,48.724153,6.71
"bfa",1969,5528172,799,47.605308,6.59
"bgd",1969,63422570,1195,29.813574157,6.95
"bgr",1969,8441214,7592,21.4888967258,2.13
"bhr",1969,206469,29943,40,6.69
"bhs",1969,164250,23154,40,3.57
"bih",1969,3702834,2431,40,2.99
"blr",1969,8959483,5120,23.5,2.34
"blz",1969,119260,2435,40,6.32
"bmu",1969,51719,30559,40,
"bol",1969,4413584,3581,54.0739540156,6.59
"bra",1969,93585746,5550,57.6022632088,5.17
"brb",1969,237911,8261,48.1942371119,3.28
"brn",1969,123875,72988,40,5.73
"btn",1969,282210,1055,40,6.67
"bwa",1969,671305,1455,47.0032288889,6.67
"caf",1969,1792150,1332,55.640996,5.95
"can",1969,21089228,19614,33.8595223547,2.41
"cck",1969,419,,40,
"chanisl",1969,119971,,40,2.22
"cheslo",1969,14308647,,40,
"chl",1969,9377005,7364,49.7785792923,4.2
"chn",1969,787191243,732,28.16,5.67
"civ",1969,5010962,3645,48.624989196,7.88
"cmr",1969,6600479,2146,50.435136,6.16
"cod",1969,19458874,2160,44.1633176056,6.19
"cog",1969,1296137,3057,39.3205248387,6.24
"cok",1969,21091,,40,
"col",1969,21490948,4162,53.1967452702,5.83
"com",1969,223629,1425,50.132188,7.06
"cpv",1969,264885,936,40,6.95
"cri",1969,1798315,5518,45.2188036012,5.32
"cub",1969,8563191,9377,38.6134106452,4.18
"cxr",1969,1042,,40,
"cym",1969,8831,23325,40,
"cyp",1969,606117,8017,40,2.69
"cyp_nor",1969,,,40,
"cze",1969,9798793,14774,27.6931404,2.01
"deu",1969,78038271,20409,39.957418,2.17
"deu_east",1969,17141541,,40,
"dji",1969,149891,3668,40,6.77
"dma",1969,70212,2657,40,
"dnk",1969,4898350,21701,29.6783627485,2
"dom",1969,4376056,3004,45.4621709317,6.38
"dza",1969,14144437,6747,40.954537541,7.65
"ecu",1969,5899842,5501,40,6.24
"egy",1969,34038147,2614,43.3299991099,6.04
"eri",1969,1758668,1080,40,6.67
"eri_a_eth",1969,30968895,,40,
"est",1969,1346854,9109,29.2911542857,2.07
"eth",1969,27653622,810,52.202801,6.94
"fin",1969,4595807,15058,39.0105852272,1.94
"fji",1969,509659,3971,40,4.71
"flk",1969,2008,,40,
"fra",1969,50466183,17339,45.3937875445,2.56
"fro",1969,38164,,40,
"fsm",1969,60167,1704,40,6.94
"gab",1969,578114,3836,64.760635407,5.02
"gbg",1969,52694,,40,
"gbm",1969,55554,,40,
"geo",1969,4665146,4685,32.3979776,2.61
"gha",1969,8397346,2240,50.766898,6.96
"gib",1969,24438,,40,
"gin",1969,4160375,950,49.869261,6.17
"glp",1969,316304,,40,5.08
"gmb",1969,435800,1691,40,6.04
"gnb",1969,698917,1708,42.11884625,5.64
"gnq",1969,292014,1242,40,5.67
"grc",1969,8732308,11466,42.270142,2.37
"grd",1969,94682,2597,40,4.69
"grl",1969,44703,9432,40,4.58
"gtm",1969,5274726,4441,53.820675,6.26
"guf",1969,46156,,40,4.8
"gum",1969,82042,,40,4.53
"guy",1969,687658,3788,44.4449605933,5.11
"hkg",1969,3928928,8065,45.0954619025,3.55
"hnd",1969,2620014,2781,40,7.33
"hos",1969,672,,40,
"hrv",1969,4406607,11324,43.2446888571,2.04
"hti",1969,4622209,1922,51.206796,5.85
"hun",1969,10309211,12973,27.168234,2.01
"idn",1969,111800090,1920,43.5981548069,5.52
"ind",1969,541844848,1141,39.568778,5.57
"irl",1969,2918626,11331,39.895143,3.82
"irn",1969,27765239,9709,50.645234,6.53
"irq",1969,9585576,7846,47.3369755911,7.38
"isl",1969,201941,13983,40,3.12
"isr",1969,2775162,10562,45.9428571429,3.81
"ita",1969,53160056,15735,39.572034,2.5
"jam",1969,1849463,7132,33.8713905109,5.62
"jey",1969,68539,,40,
"jor",1969,1553585,5182,40,7.97
"jpn",1969,102323674,10548,35.2054680803,2.08
"kaz",1969,12897025,11115,33.6866742857,3.6
"ken",1969,10867717,2124,52.219814,8.1
"kgz",1969,2890720,3312,34.1120594286,4.96
"khm",1969,6902025,1660,40,6.58
"kir",1969,50303,3047,40,6.43
"kna",1969,,4237,40,
"kor",1969,30811523,1998,33.7546181233,4.62
"korea_union",1969,45004611,,,
"kos",1969,1448399,,40,
"kwt",1969,693876,48781,40,7.33
"lao",1969,2618246,1334,41.0610822951,5.97
"lbn",1969,2250609,11422,55.2332558343,5.06
"lbr",1969,1383305,1446,40,6.66
"lby",1969,2025282,66299,40,7.84
"lca",1969,,3106,40,6.25
"lie",1969,20765,,40,
"lso",1969,1011308,741,40,5.81
"ltu",1969,3104292,12679,29.0740114286,2.31
"lux",1969,337565,29081,40,2.05
"lva",1969,2346012,7222,29.3997257143,1.88
"mac",1969,245310,13947,40,2.39
"mar",1969,15687996,2338,48.060278,6.78
"mco",1969,23348,25262,40,
"mda",1969,3544635,4887,21.4888967258,2.61
"mdg",1969,6400454,2436,48.023172,7.32
"mdv",1969,112591,1372,40,7.24
"mex",1969,50423127,8441,55.705153,6.76
"mhl",1969,19622,2123,40,
"mkd",1969,1698140,5978,42.4651284848,3.04
"mli",1969,5861411,813,49.471958,6.89
"mlt",1969,304401,4121,40,2.02
"mmr",1969,26504247,1401,43.6449473103,6.02
"mne",1969,520644,9816,40,2.73
"mng",1969,1242213,1637,40,7.58
"mnp",1969,12766,,40,
"moz",1969,9058691,682,50.063238,6.6
"mrt",1969,1115790,2717,40,6.79
"msr",1969,11650,,40,
"mtq",1969,323323,,40,4.79
"mus",1969,812944,3080,40,4.21
"mwi",1969,4484456,494,49.414117,7.26
"mys",1969,10640347,3902,51.3241677871,5.01
"myt",1969,35553,,40,7.91
"nam",1969,758305,6112,49.983324,6.4
"ncl",1969,101494,,40,5.3
"ner",1969,4375837,1362,48.143317,7.38
