"geo","time","sg_population","sg_gdp_p_cap_const_ppp2011_dollar","sg_gini","sg_child_mortality_rate_per1000"
"abw",1854,,1050,,
"afg",1854,,678,34.3,475.67
"ago",1854,,783,39.2,485.68
"alb",1854,,723,41.2,375.2
"and",1854,,1855,,
"are",1854,,1221,44,434.46
"arg",1854,,2448,32,402.19
"arm",1854,,587,35.2,345.886852307
"atg",1854,,954,,305.494594614
"aus",1854,,4363,45.9,390.99
"aut",1854,,3024,36.1,443.35
"aze",1854,,939,40,343.816216508
"bdi",1854,,439,43.7,423.95
"bel",1854,,3822,52.8,280.3
"ben",1854,,705,45.5,430.46
"bfa",1854,,500,37.5,454.69
"bgd",1854,,879,43.5,507.88
"bgr",1854,,1291,47.8,342.51
"bhr",1854,,1602,43.1,439.79
"bhs",1854,,1822,,294.888366053
"bih",1854,,783,38,378.8
"blr",1854,,749,53.2,365.67
"blz",1854,,730,,317.504499228
"bmu",1854,,1548,,
"bol",1854,,1181,36.9,404.69
"bra",1854,,1118,39.3,417.44
"brb",1854,,1152,,568.046112914
"brn",1854,,1702,,454.69
"btn",1854,,675,47.5,442.969524976
"bwa",1854,,469,35.6,397.2
"caf",1854,,501,47.2,443.79
"can",1854,,2282,30.1,309.38
"che",1854,,3411,49.8,344.77
"chl",1854,,1421,64.4,417.44
"chn",1854,,991,36.9,471.38
"civ",1854,,1008,41.6,427.86
"cmr",1854,,740,44.9,460.21
"cod",1854,,606,42.1,422.65
"cog",1854,,670,46.7,408.51
"col",1854,,1054,58.9,417.44
"com",1854,,735,41.8,416.16
"cpv",1854,,613,49,394.71
"cri",1854,,1137,46.1,441.12
"cub",1854,,1616,39.6,362.15
"cym",1854,,1310,,
"cyp",1854,,1279,37.3,339.12
"cze",1854,,2491,49.7,379.99
"deu",1854,,2207,44,472.58
"dji",1854,,892,44.3,445.15
"dma",1854,,836,,
"dnk",1854,,2899,52.2,236.53
"dom",1854,,804,43.8,445.15
"dza",1854,,1063,59.4,460.21
"ecu",1854,,660,43.5,405.96
"egy",1854,,928,60,404.69
"eri",1854,,582,47.3,441.12
"esp",1854,,1747,32,341.858782622
"est",1854,,1196,48.9,362.15
"eth",1854,,530,47.5,447.88
"fin",1854,,1544,50.6,372.81
"fji",1854,,883,46.7,498.88
"fra",1854,,2958,55.1,298
"fsm",1854,,535,,315.412509169
"gab",1854,,393,45.9,435.79
"gbr",1854,,5080,44.6,281.86
"geo",1854,,640,29.7,354.391379285
"gha",1854,,727,45.6,471.38
"gin",1854,,484,32.7,442.46
"gmb",1854,,840,46.2,460.21
"gnb",1854,,801,49.8,417.44
"gnq",1854,,382,49.1,446.51
"grc",1854,,1844,49.9,360.97
"grd",1854,,1111,,317.56734336
"grl",1854,,567,,
"gtm",1854,,1133,35.3,503.36
"guy",1854,,1531,38.2,429.16
"hkg",1854,,1090,,
"hnd",1854,,1044,50.9,393.46
"hrv",1854,,1752,,366.84
"hti",1854,,898,43.5,485.827312789
"hun",1854,,1633,35.5,428.73
"idn",1854,,1049,41.4,443.79
"ind",1854,,1055,37.3,509.39
"irl",1854,,2355,31.4,348.22
"irn",1854,,1045,60.4,506.38
