"geo","time","sg_population","sg_gdp_p_cap_const_ppp2011_dollar","sg_gini","sg_child_mortality_rate_per1000"
"abw",1914,,1601,,
"afg",1914,,833,41.5,472.57
"ago",1914,,1045,43.4,472.57
"alb",1914,,1406,27.4,365.08
"and",1914,,3788,,
"are",1914,,2298,44,422.74
"arg",1914,,7004,46,195.97
"arm",1914,,972,37.5,275.478058392
"atg",1914,,1455,,187.689036237
"aus",1914,,8353,41.3,98.7896715328
"aut",1914,,5786,37.1,279.42
"aze",1914,,1700,43.4,272.954109904
"bdi",1914,,465,44.6,412.51
"bel",1914,,5700,50.6,205.35
"ben",1914,,944,42.3,419.474976093
"bfa",1914,,535,38.4,442.625299304
"bgd",1914,,1179,38.6,533.786289728
"bgr",1914,,2448,30.6,272.51
"bhr",1914,,2723,39.1,427.92
"bhs",1914,,2809,,175.249776702
"bih",1914,,1187,45.5,368.57
"blr",1914,,1379,44.7,269.56
"blz",1914,,1102,,206.708205606
"bmu",1914,,2405,,
"bol",1914,,2085,36.9,393.77
"bra",1914,,1531,29.7,406.17
"brb",1914,,1740,,654.47
"brn",1914,,2086,,415.04
"btn",1914,,759,47.6,421.36409454
"bwa",1914,,629,36.5,386.48
"caf",1914,,678,47.6,431.81
"can",1914,,6717,40.9,261.438010872
"che",1914,,10559,37.9,118.38
"chl",1914,,3729,73.9,414.12
"chn",1914,,946,40.3,406.17
"civ",1914,,1293,42.4,416.31
"cmr",1914,,993,42.8,447.873658525
"cod",1914,,788,42.6,411.24
"cog",1914,,809,39.5,397.49
"col",1914,,1516,57.9,406.17
"com",1914,,781,43.1,404.93
"cpv",1914,,792,47.9,384.05
"cri",1914,,2222,45.7,368.57
"cub",1914,,3453,39.6,356.94
"cym",1914,,2037,,
"cyp",1914,,2593,41.7,241.65
"cze",1914,,4753,39,247.31
"deu",1914,,4793,44.2,266.83
"dji",1914,,1107,44,433.14
"dma",1914,,1263,,
"dnk",1914,,7649,46.6,117.714611765
"dom",1914,,1125,43.8,428.894022042
"dza",1914,,2132,37.3,447.79
"ecu",1914,,1066,44.5,395.01
"egy",1914,,1363,42.6,393.77
"eri",1914,,679,48.2,429.22
"esp",1914,,3115,35.3,267.366369471
"est",1914,,2291,37.8,228.69
"eth",1914,,542,48.4,435.79
"fin",1914,,3353,39.7,166.76
"fji",1914,,1106,44.2,491.770911667
"fra",1914,,4506,56.2,152.539282355
"fsm",1914,,567,,212.225224878
"gab",1914,,420,46.8,424.03
"gbr",1914,,8930,42,155.383672916
"geo",1914,,1111,37,280.380659836
"gha",1914,,1183,41.1,445.293624509
"gin",1914,,547,42.2,404.793470467
"gmb",1914,,886,46.7,447.79
"gnb",1914,,841,50.8,406.17
"gnq",1914,,426,51.3,434.47
"grc",1914,,3604,38.9,207.438976002
"grd",1914,,1432,,204.305343223
"grl",1914,,1096,,
"gtm",1914,,1846,39.3,489.78
"guy",1914,,2312,42.4,289.90735114
"hkg",1914,,2141,,
"hnd",1914,,2246,42.9,382.84
"hrv",1914,,3301,,356.94
"hti",1914,,1653,43.5,470.942283332
"hun",1914,,3571,33.8,320.37
"idn",1914,,1396,43.8,431.365751029
"ind",1914,,1383,31.1,344.760945242
"irl",1914,,4559,41.9,125.862197438
"irn",1914,,1497,38.4,492.71
"irq",1914,,1702,45.8,416.2757452
"isl",1914,,3232,,142.196454248
"isr",1914,,1077,44.9,294.060872682
"ita",1914,,5135,49.6,209.48
"jam",1914,,1076,39.3,271.254688291
"jor",1914,,1720,43,409.747673536
"jpn",1914,,2001,52.2,297.415378398
"kaz",1914,,2784,34.3,403.69
"ken",1914,,1314,51.7,495.188357682
"kgz",1914,,1173,42.1,332.395180117
"khm",1914,,1041,45.9,369.74
"kir",1914,,626,,298.570728946
"kna",1914,,2211,,
