"geo","time","sg_population","sg_gdp_p_cap_const_ppp2011_dollar","sg_gini","sg_child_mortality_rate_per1000"
"abw",1902,,1451,,
"afg",1902,,798,40.1,480.87
"ago",1902,,967,36.1,483.72
"alb",1902,,1188,28,373.69
"and",1902,,3272,,
"are",1902,,2060,43.7,432.7
"arg",1902,,6034,44.3,337.402998842
"arm",1902,,983,35.2,317.992020815
"atg",1902,,1319,,206.895873804
"aus",1902,,6372,39.4,162.22
"aut",1902,,5856,36.9,351.19
"aze",1902,,1693,44.5,306.870861447
"bdi",1902,,459,43.7,422.23
"bel",1902,,6985,49.7,207.91
"ben",1902,,889,42,428.72
"bfa",1902,,527,37.5,452.85
"bgd",1902,,1087,39,565.97
"bgr",1902,,2117,32.7,294.41
"bhr",1902,,2703,40.5,438.01
"bhs",1902,,2518,,194.472190676
"bih",1902,,1098,45.7,377.26
"blr",1902,,1368,50,350.25
"blz",1902,,1008,,225.235141323
"bmu",1902,,2138,,
"bol",1902,,1861,36.9,403.05
"bra",1902,,1315,25.6,415.75
"brb",1902,,1592,,672.548555588
"brn",1902,,2002,,452.85
"btn",1902,,742,47.8,425.599187567
"bwa",1902,,592,35.6,395.6
"caf",1902,,632,48.4,442
"can",1902,,5560,40.9,216.59
"che",1902,,9516,36.4,168.26
"chl",1902,,3443,71.8,438.48
"chn",1902,,922,33.1,415.75
"civ",1902,,1222,43.9,426.13
"cmr",1902,,933,38.7,458.35
"cod",1902,,739,42.1,420.94
"cog",1902,,767,40.5,406.86
"col",1902,,1193,51.7,415.75
"com",1902,,772,45.4,414.48
"cpv",1902,,752,48,393.11
"cri",1902,,1943,44.6,380.89
"cub",1902,,2821,40.7,396.84
"cym",1902,,1810,,
"cyp",1902,,2256,42.2,288.16
"cze",1902,,4073,40,309.2
"deu",1902,,4457,42.4,297.52
"dji",1902,,1038,45.1,443.35
"dma",1902,,1155,,
"dnk",1902,,5812,45.9,148.84
"dom",1902,,1043,45,443.35
"dza",1902,,1788,35.2,458.35
"ecu",1902,,896,45.8,404.32
"egy",1902,,1322,38.3,403.05
"eri",1902,,658,48.5,439.34
"esp",1902,,2803,33.6,292.6
"est",1902,,2255,35.1,279.96
"eth",1902,,539,47.5,446.07
"fin",1902,,2661,37.4,214.76
"fji",1902,,1040,45.2,496.86
"fra",1902,,4048,52.1,196.56
"fsm",1902,,552,,229.727710636
"gab",1902,,399,45.9,434.03
"gbr",1902,,8160,40.1,199.43
"geo",1902,,1114,33.8,315.57831753
"gha",1902,,738,39.5,463.251180453
