location;year;Battle deaths (low estimate);Battle deaths (high estimate);Battle deaths (best estimate)
Laos, Thailand;1986;25;200;
Lebanon;1986;25;7010;6000
Morocco;1986;467;747;607
Mozambique;1986;1000;26000;26000
Myanmar;1986;303;999;
Myanmar;1986;25;2200;
Myanmar;1986;25;999;
Myanmar;1986;25;900;
Myanmar;1986;25;999;
Nicaragua;1986;1633;7023;4900
Peru;1986;772;2836;772
Philippines;1986;1000;1843;
Philippines;1986;471;5264;
Somalia;1986;25;999;
South Africa;1986;1000;1087;
South Africa;1986;25;4000;2150
South Yemen;1986;10000;13000;
Sri Lanka (Ceylon);1986;850;4000;1667
Sudan;1986;1000;15000;4111
Surinam;1986;25;999;66
Togo;1986;26;999;30
Turkey/Ottoman Empire;1986;25;228;173
Uganda;1986;14400;43286;14858
United Kingdom;1986;25;61;61
Afghanistan;1987;2250;54545;45000
Angola;1987;1000;5883;5883
Bangladesh;1987;25;250;72
Burkina Faso;1987;25;999;100
Cambodia;1987;900;10000;1000
Chad;1987;791;2445;1512
Chad;1987;250;8500;8500
China;1987;898;4000;
Colombia;1987;25;999;200
El Salvador;1987;1855;4091;3000
Ethiopia;1987;1000;9375;1000
Ethiopia;1987;8320;12500;
Ethiopia;1987;25;999;
Ethiopia, Somalia;1987;25;999;300
Guatemala;1987;1000;1296;1000
India;1987;25;999;125
India;1987;25;999;
India;1987;600;1566;1333
India, Pakistan;1987;25;999;100
Indonesia;1987;700;7143;5358
Iran;1987;25;999;
Iran;1987;25;1500;
Iran, Iraq;1987;40000;125000;64450
Iraq;1987;25;999;36
Iraq;1987;497;8375;
Israel;1987;25;257;257
Laos, Thailand;1987;63;200;100
Morocco;1987;500;800;650
Mozambique;1987;1000;26000;26000
Myanmar;1987;303;999;
Myanmar;1987;25;2200;
Myanmar;1987;25;999;
Myanmar;1987;25;900;
Myanmar;1987;25;999;
Nicaragua;1987;2067;8887;6200
Peru;1987;952;3499;952
Philippines;1987;1000;1843;
Philippines;1987;471;5264;
Somalia;1987;25;999;
South Africa;1987;1000;1087;
South Africa;1987;25;999;312
Spain;1987;25;52;52
Sri Lanka (Ceylon);1987;850;4000;2000
Sudan;1987;1000;15000;4111
Surinam;1987;25;999;67
Turkey/Ottoman Empire;1987;25;228;173
Uganda;1987;1000;3000;2000
United Kingdom;1987;25;98;98
Afghanistan;1988;1500;36364;30000
Angola;1988;1000;5883;5883
Bangladesh;1988;25;250;72
Cambodia;1988;25;10000;200
China;1988;25;999;100
Colombia;1988;200;1098;1098
El Salvador;1988;618;1364;1000
Ethiopia;1988;1000;9375;1000
Ethiopia;1988;8320;12500;
Ethiopia;1988;25;999;
Guatemala;1988;500;648;500
India;1988;25;999;125
India;1988;25;999;
India;1988;2000;2432;2432
Indonesia;1988;700;7143;5358
Iran;1988;25;2000;
Iran;1988;25;4000;
Iran, Iraq;1988;40000;125000;64450
Iraq;1988;1000;200000;
Israel;1988;322;322;322
Laos, Thailand;1988;64;300;300
Morocco;1988;300;480;390
Mozambique;1988;1000;9999;3000
Myanmar;1988;303;7000;
Myanmar;1988;25;3000;
Myanmar;1988;25;999;
Myanmar;1988;25;900;
Myanmar;1988;25;999;
Nicaragua;1988;967;4157;2900
Peru;1988;1233;4532;1233
Philippines;1988;25;1500;
Philippines;1988;471;5264;
Somalia;1988;25;11666;11666
South Africa;1988;1000;1087;
South Africa;1988;25;999;700
Sri Lanka (Ceylon);1988;850;3200;3000
Sudan;1988;1000;15000;4111
Surinam;1988;25;999;67
Turkey/Ottoman Empire;1988;25;228;173
Uganda;1988;200;9999;1000
United Kingdom;1988;25;104;104
Afghanistan;1989;15000;18182;15000
Angola;1989;1000;5883;5883
Bangladesh;1989;25;50;25
Cambodia;1989;1000;10000;1000
Chad;1989;25;999;800
Colombia;1989;152;732;692
Comoros;1989;25;27;27
El Salvador;1989;4204;9273;6800
Ethiopia;1989;1000;9375;1000
Ethiopia;1989;8320;12500;
Ethiopia;1989;25;999;
Ethiopia;1989;25;999;
Guatemala;1989;100;648;500
Haiti;1989;30;40;
India;1989;1821;3000;2072
India;1989;80;92;92
India;1989;60;999;63
India, Pakistan;1989;25;999;50
Indonesia;1989;37;50;
Iraq;1989;25;50;
Israel;1989;336;336;336
Laos;1989;25;999;30
Lebanon;1989;1000;8353;7150
Liberia;1989;25;999;100
Morocco;1989;400;640;520
Mozambique;1989;300;2500;2500
Myanmar;1989;303;999;
Myanmar;1989;25;900;
Nicaragua;1989;200;860;600
Panama;1989;20;80;75
Panama, United States of America;1989;371;681;371
Papua New Guinea;1989;25;44;44
Paraguay;1989;50;300;100
Peru;1989;2013;7399;2013
Philippines;1989;600;1095;
Philippines;1989;65;100;
Rumania;1989;909;1039;909
Somalia;1989;1000;11667;11667
Sri Lanka (Ceylon);1989;1000;12000;1000
Sri Lanka (Ceylon);1989;1500;5150;5000
Sudan;1989;1000;15000;4111
Turkey/Ottoman Empire;1989;150;1130;845
Uganda;1989;600;9999;1000
United Kingdom;1989;30;75;75
Afghanistan;1990;5000;20000;
Angola;1990;1000;5883;5883
Bangladesh;1990;43;100;43
Cambodia;1990;100;1000;1000
Chad;1990;1000;5800;5800
Colombia;1990;395;1229;1069
El Salvador;1990;1236;2728;2000
Ethiopia;1990;1000;9375;1000
Ethiopia;1990;8320;12500;
Ethiopia;1990;25;999;
Ethiopia;1990;25;999;
Guatemala;1990;500;648;500
India;1990;25;220;220
India;1990;2995;4263;4263
India;1990;1000;2000;1177
India;1990;25;999;80
India;1990;25;999;63
India, Pakistan;1990;25;999;100
Indonesia;1990;25;4000;1150
Iran;1990;25;999;50
Iraq;1990;25;999;
Iraq, Kuwait;1990;700;1026;800
Israel;1990;167;167;167
Israel;1990;25;999;30
Laos;1990;25;999;25
Lebanon;1990;1000;8353;7150
Liberia;1990;1000;12001;9900
Mali;1990;25;200;150
Mozambique;1990;1000;1500;
Myanmar;1990;25;999;
Myanmar;1990;25;2200;
Myanmar;1990;100;999;100
Myanmar;1990;25;900;
Pakistan;1990;46;300;
Papua New Guinea;1990;25;100;100
Peru;1990;1485;7174;1485
Philippines;1990;25;999;405
Philippines;1990;120;150;
Russia (Soviet Union);1990;200;999;300
Russia (Soviet Union);1990;83;600;120
Rwanda;1990;700;2000;2000
Senegal;1990;72;200;100
Somalia;1990;5000;11667;11667
Sri Lanka (Ceylon);1990;25;999;25
Sri Lanka (Ceylon);1990;1500;4800;4000
Sudan;1990;1000;15000;4111
Trinidad and Tobago;1990;30;999;30
Turkey/Ottoman Empire;1990;360;1130;845
Uganda;1990;25;999;
United Kingdom;1990;25;81;81
Afghanistan;1991;2500;20000;
Algeria;1991;39;5000;
Angola;1991;1000;5883;5883
Angola;1991;25;999;
Bangladesh;1991;46;100;46
Burundi;1991;300;1500;
Cambodia;1991;75;1000;75
Chad;1991;25;999;200
Colombia;1991;578;1364;1120
Djibouti;1991;25;999;200
El Salvador;1991;310;682;500
Ethiopia;1991;1000;9375;1000
Ethiopia;1991;8320;12500;
Ethiopia;1991;25;999;
Ethiopia;1991;25;999;
Georgia;1991;50;1000;113
Guatemala;1991;25;1231;950
Haiti;1991;250;999;
India;1991;35;370;370
India;1991;4766;5700;5265
India;1991;1290;1393;1393
India;1991;25;999;100
India, Pakistan;1991;25;999;100
Indonesia;1991;25;6000;1150
Iran;1991;60;300;
Iraq;1991;1000;30000;
Iraq;1991;1000;30000;
Iraq, Kuwait;1991;1545;43245;28245
Israel;1991;123;123;123
Israel;1991;25;999;40
Liberia;1991;25;999;
Mozambique;1991;1000;9999;
Myanmar;1991;25;999;
Myanmar;1991;25;2200;
Myanmar;1991;50;999;
Myanmar;1991;25;900;
Niger;1991;25;200;40
Peru;1991;1192;5663;1192
Philippines;1991;1200;1500;
Russia (Soviet Union);1991;500;999;500
Rwanda;1991;1000;3200;3200
Sierra Leone;1991;100;300;200
Somalia;1991;10000;25000;
Spain;1991;31;46;46
Sri Lanka (Ceylon);1991;1500;7100;6000
Sudan;1991;1000;15000;4112
Togo;1991;42;350;
Turkey/Ottoman Empire;1991;250;1130;845
Turkey/Ottoman Empire;1991;39;53;
Uganda;1991;1000;9999;1000
United Kingdom;1991;29;96;96
Yugoslavia (Serbia);1991;53;64;63
Yugoslavia (Serbia);1991;1500;6000;
Afghanistan;1992;7000;20000;
Algeria;1992;600;5000;
Angola;1992;1000;3000;3000
Azerbaijan;1992;1200;5751;1200
Bangladesh;1992;38;100;38
Bosnia and Herzegovina;1992;10000;20000;17000
Burundi;1992;58;1500;
Cambodia;1992;25;200;
Chad;1992;300;600;
Colombia;1992;541;1478;1471
Croatia;1992;100;4000;
Djibouti;1992;25;999;490
Ethiopia;1992;25;999;
Georgia;1992;50;1000;200
Georgia;1992;400;1000;500
Georgia;1992;500;1000;
Guatemala;1992;680;1231;950
India;1992;78;503;503
India;1992;40;96;96
India;1992;29;310;98
India;1992;25;165;165
India;1992;3600;3883;3883
India;1992;1000;2000;1909
India, Pakistan;1992;25;999;25
Indonesia;1992;27;100;
Iran;1992;25;100;100
Iraq;1992;25;500;
Iraq;1992;300;500;
Israel;1992;172;172;172
Israel;1992;25;999;25
Liberia;1992;1000;5000;
Moldova;1992;231;1000;700
Mozambique;1992;1000;9999;
Myanmar;1992;1000;9999;
Myanmar;1992;25;2200;
Myanmar;1992;25;999;
Myanmar;1992;25;900;
Myanmar;1992;25;999;
Niger;1992;25;200;
Papua New Guinea;1992;25;56;56
Peru;1992;1718;5460;1718
Philippines;1992;1000;2290;
Rwanda;1992;1000;3200;3200
Senegal;1992;100;200;104
Sierra Leone;1992;300;900;600
Somalia;1992;3000;4000;
Spain;1992;25;26;26
Sri Lanka (Ceylon);1992;1500;4800;4000
Sudan;1992;1000;15000;2000
Tajikistan;1992;4000;30000;10000
Turkey/Ottoman Empire;1992;3000;4010;3000
Turkey/Ottoman Empire;1992;42;68;
Uganda;1992;25;999;
Venezuela;1992;120;183;
Afghanistan;1993;2000;20000;
Algeria;1993;1100;5000;
Angola;1993;1000;20000;20000
Azerbaijan;1993;2000;5751;
Azerbaijan;1993;68;83;83
Bosnia and Herzegovina;1993;10000;30000;17000
Bosnia and Herzegovina;1993;25;999;
Bosnia and Herzegovina;1993;1000;9999;
Cambodia;1993;200;2500;200
Chad;1993;25;999;
Colombia;1993;627;1112;1112
Congo;1993;98;1000;
Croatia;1993;100;500;
Djibouti;1993;25;999;25
Egypt;1993;95;230;102
Georgia;1993;49;1000;
Georgia;1993;2000;5000;2000
Guatemala;1993;200;259;200
India;1993;121;312;312
India;1993;32;173;173
India;1993;25;310;183
India;1993;25;423;423
India;1993;100;871;871
India;1993;1000;2600;2567
India;1993;25;37;37
Iran;1993;50;200;50
Iran;1993;50;200;50
Iraq;1993;25;999;
Iraq;1993;25;999;
Israel;1993;241;241;241
Israel;1993;25;148;70
Liberia;1993;25;2000;
Myanmar;1993;25;999;
Papua New Guinea;1993;40;237;40
Peru;1993;1000;3132;1129
Philippines;1993;523;800;
Philippines;1993;60;150;
Russia (Soviet Union);1993;148;2000;193
Rwanda;1993;500;1600;1600
Senegal;1993;180;500;180
Sierra Leone;1993;300;900;600
Somalia;1993;25;6000;
Sri Lanka (Ceylon);1993;1500;2400;2000
Sudan;1993;25;999;500
Tajikistan;1993;16000;20000;16000
Turkey/Ottoman Empire;1993;3000;5490;4100
Afghanistan;1994;4000;20000;10000
Algeria;1994;5000;10000;
Angola;1994;1000;20000;20000
Angola;1994;50;230;
Azerbaijan;1994;1000;6500;
Bosnia and Herzegovina;1994;25;15000;10000
Bosnia and Herzegovina;1994;25;999;
Bosnia and Herzegovina;1994;25;999;
Burundi;1994;200;800;
Cambodia;1994;25;2500;25
Chad;1994;25;999;
Colombia;1994;470;1243;1044
Congo;1994;220;1000;
Djibouti;1994;25;999;25
Egypt;1994;279;999;286
Ethiopia;1994;25;999;
Ethiopia;1994;25;999;
Guatemala;1994;200;259;200
India;1994;43;233;233
India;1994;25;192;192
India;1994;25;350;350
India;1994;800;2899;2899
India;1994;25;150;109
India;1994;28;136;136
Iraq;1994;25;999;
Israel;1994;91;91;91
Israel;1994;25;999;60
Liberia;1994;25;500;
Mali;1994;21;400;150
Mexico;1994;74;145;110
Myanmar;1994;25;999;
Myanmar;1994;25;999;
Myanmar;1994;1000;9999;
Niger;1994;25;999;400
Papua New Guinea;1994;25;237;25
Peru;1994;314;1267;314
Philippines;1994;25;200;
Philippines;1994;25;999;100
Russia (Soviet Union);1994;25;27500;500
Rwanda;1994;25;999;
Sierra Leone;1994;300;900;600
Somalia;1994;25;6000;
Sri Lanka (Ceylon);1994;500;1700;1500
Sudan;1994;25;999;500
Tajikistan;1994;25;3333;3200
Turkey/Ottoman Empire;1994;3000;7040;5250
Uganda;1994;25;999;250
Yemen;1994;1500;7000;
Afghanistan;1995;1000;20000;5000
Algeria;1995;3000;20000;
Angola;1995;500;1500;
Azerbaijan;1995;38;80;50
Bosnia and Herzegovina;1995;800;900;800
Bosnia and Herzegovina;1995;25;999;
Burundi;1995;150;999;
Cambodia;1995;25;2500;25
Colombia;1995;258;1105;937
Croatia;1995;500;1000;
Ecuador, Peru;1995;80;500;
Egypt;1995;25;375;375
Ethiopia;1995;25;999;
Ethiopia;1995;25;999;
Guatemala;1995;200;259;200
India;1995;55;213;213
India;1995;30;310;257
India;1995;50;321;321
India;1995;500;2796;2796
India;1995;25;48;48
India;1995;25;164;164
Iraq;1995;25;999;
Iraq;1995;150;750;
Israel;1995;149;149;149
Israel;1995;25;999;25
Liberia;1995;25;999;
Myanmar;1995;25;999;
Myanmar;1995;25;999;
Pakistan;1995;25;2000;1700
Papua New Guinea;1995;35;237;35
Peru;1995;428;894;428
Philippines;1995;30;100;
Philippines;1995;50;150;
Russia (Soviet Union);1995;10000;40000;30000
Senegal;1995;140;200;142
Sierra Leone;1995;500;1500;1000
Somalia;1995;200;6000;500
Sri Lanka (Ceylon);1995;3000;5900;5000
Sudan;1995;1000;2000;1000
Tajikistan;1995;500;3333;500
Turkey/Ottoman Empire;1995;4000;9380;7000
Uganda;1995;25;999;250
Afghanistan;1996;1000;20000;5000
Algeria;1996;2000;15000;
Angola;1996;25;230;
Burundi;1996;250;999;
Cambodia;1996;25;2500;25
Cameroon;1996;76;200;
Central African Republic;1996;25;999;55
Colombia;1996;817;1300;1092
Democratic Republic of Congo (Zaire);1996;330;50000;1800
Egypt;1996;59;174;80
Ethiopia;1996;25;600;
Ethiopia;1996;25;999;
Ethiopia;1996;25;999;
India;1996;138;442;442
India;1996;25;304;304
India;1996;25;275;275
India;1996;500;2903;2903
India;1996;35;250;142
India;1996;52;282;282
India, Pakistan;1996;25;999;25
Iran;1996;25;999;27
Iraq;1996;25;999;
Iraq;1996;150;750;
Israel;1996;50;50;50
Israel;1996;25;999;30
Mexico;1996;28;40;34
Myanmar;1996;80;999;80
Myanmar;1996;25;999;
Myanmar;1996;25;999;
Nepal;1996;44;196;100
Niger;1996;14;51;29
Pakistan;1996;25;500;500
Papua New Guinea;1996;56;89;89
Peru;1996;211;546;211
Philippines;1996;50;100;
Russia (Soviet Union);1996;3000;27500;16000
Sierra Leone;1996;200;500;274
Somalia;1996;300;6000;
Sri Lanka (Ceylon);1996;2300;3600;3000
Sudan;1996;2000;9999;2000
Tajikistan;1996;300;3334;300
Turkey/Ottoman Empire;1996;2000;7040;5250
Uganda;1996;200;500;500
Afghanistan;1997;2000;20000;3000
Algeria;1997;3000;20000;
Angola;1997;50;230;
Burundi;1997;800;1000;
Cambodia;1997;50;2500;50
Central African Republic;1997;25;999;141
Chad;1997;25;999;100
Colombia;1997;467;1703;1150
Comoros;1997;40;56;56
Congo;1997;4000;10000;7000
Democratic Republic of Congo (Zaire);1997;2200;50000;2200
Egypt;1997;40;200;45
Eritrea;1997;48;95;48
India;1997;43;425;425
India;1997;45;360;360
India;1997;60;311;274
India;1997;92;495;495
India;1997;500;2372;2372
India;1997;50;350;229
India;1997;40;255;255
India, Pakistan;1997;25;999;25
Indonesia;1997;52;100;
Iran;1997;35;999;35
Israel;1997;25;100;100
Myanmar;1997;50;200;
Myanmar;1997;25;999;
Myanmar;1997;25;999;
Nepal;1997;40;196;100
Niger;1997;32;109;60
Niger;1997;25;999;
Peru;1997;50;432;130
Philippines;1997;30;100;
Philippines;1997;25;999;100
Rwanda;1997;200;3000;3000
Senegal;1997;130;500;200
Sierra Leone;1997;300;500;413
Sri Lanka (Ceylon);1997;1500;4800;4000
Sudan;1997;1000;5000;1286
Turkey/Ottoman Empire;1997;1000;5630;4200
Uganda;1997;25;999;250
Afghanistan;1998;2000;20000;7000
Algeria;1998;4000;20000;
Angola;1998;600;2500;1000
Angola;1998;25;230;
Burundi;1998;1000;2100;
Cambodia;1998;25;2500;25
Chad;1998;25;999;110
Colombia;1998;939;1412;1412
Congo;1998;1700;2200;
Democratic Republic of Congo (Zaire);1998;1000;36250;36250
Egypt;1998;27;50;30
Eritrea, Ethiopia;1998;1000;20000;10000
Ethiopia;1998;25;999;
Guinea-Bissau;1998;1000;2000;
India;1998;25;667;667
India;1998;50;311;265
India;1998;35;244;244
India;1998;800;2261;2261
India;1998;25;1000;255
India;1998;50;512;512
India, Pakistan;1998;300;999;
Indonesia;1998;34;1000;
Israel;1998;20;999;50
Lesotho;1998;48;114;114
Myanmar;1998;25;999;
Myanmar;1998;25;999;
Nepal;1998;118;302;250
Peru;1998;25;324;92
Philippines;1998;25;999;100
Rwanda;1998;1500;6000;6000
Senegal;1998;250;363;363
Sierra Leone;1998;1000;2500;2063
Sri Lanka (Ceylon);1998;2000;4800;4000
Sudan;1998;1000;9999;2828
Tajikistan;1998;70;560;200
Turkey/Ottoman Empire;1998;800;2800;2100
Uganda;1998;25;999;800
United Kingdom;1998;28;55;55
Yugoslavia (Serbia);1998;1000;2500;1000
Afghanistan;1999;2000;10000;
Algeria;1999;1000;3000;
Angola;1999;10000;20000;
Burundi;1999;500;600;600
Chad;1999;25;999;65
Colombia;1999;827;1837;1326
Congo;1999;25;999;600
Democratic Republic of Congo (Zaire);1999;1650;36250;36250
Djibouti;1999;25;999;25
Eritrea;1999;25;999;239
Eritrea, Ethiopia;1999;30000;60000;30000
Ethiopia;1999;25;600;
Ethiopia;1999;25;999;
Ethiopia;1999;25;350;
Guinea-Bissau;1999;700;1000;
India;1999;125;594;594
India;1999;50;311;303
India;1999;33;231;231
India;1999;1200;2538;2538
India;1999;68;800;206
India;1999;25;242;242
India, Pakistan;1999;1000;1500;1089
Indonesia;1999;29;1400;300
Iran;1999;25;999;25
Israel;1999;25;999;25
Myanmar;1999;25;999;
Myanmar;1999;25;999;
Nepal;1999;150;309;159
Peru;1999;50;265;54
Philippines;1999;15;100;
Philippines;1999;25;999;100
Russia (Soviet Union);1999;4000;22500;14500
Russia (Soviet Union);1999;600;1197;600
Rwanda;1999;100;1000;1000
Sierra Leone;1999;6000;9000;8250
Sri Lanka (Ceylon);1999;2000;4100;3500
Sudan;1999;1053;1986;1053
Turkey/Ottoman Empire;1999;300;1300;
Uganda;1999;25;1000;
Uzbekistan;1999;25;120;56
Yugoslavia (Serbia);1999;1000;6769;3000
Afghanistan;2000;3000;10000;
Algeria;2000;1000;2500;
Angola;2000;1000;2000;
Burundi;2000;200;1000;1000
Chad;2000;25;999;553
Colombia;2000;938;1469;1469
Democratic Republic of Congo (Zaire);2000;2500;36250;36250
Eritrea, Ethiopia;2000;1000;20000;10000
Ethiopia;2000;25;600;
Ethiopia;2000;25;350;
Guinea;2000;218;1000;
India;2000;50;548;548
India;2000;34;101;101
India;2000;50;514;514
India;2000;45;246;246
India;2000;2000;3288;3288
India;2000;100;407;407
India;2000;35;247;247
India, Pakistan;2000;25;999;200
Indonesia;2000;127;1400;194
Iran;2000;40;50;50
Israel;2000;658;658;658
Liberia;2000;61;240;
Myanmar;2000;75;225;
Myanmar;2000;25;999;
Nepal;2000;175;287;260
Philippines;2000;50;212;
Philippines;2000;510;1000;
Russia (Soviet Union);2000;1000;22500;14500
Rwanda;2000;25;2000;2000
Senegal;2000;54;999;54
Sierra Leone;2000;25;3000;212
Sri Lanka (Ceylon);2000;2400;4800;4000
Sudan;2000;1000;2150;2150
Turkey/Ottoman Empire;2000;100;400;
Uganda;2000;150;999;
Uzbekistan;2000;25;999;200
Afghanistan;2001;2772;4073;2877
Algeria;2001;1000;1650;
Angola;2001;1000;2000;
Burundi;2001;400;1500;1000
Central African Republic;2001;60;300;
Chad;2001;25;999;100
Colombia;2001;1032;1463;1463
Democratic Republic of Congo (Zaire);2001;200;36250;36250
Ethiopia;2001;25;600;
Ethiopia;2001;25;350;
Guinea;2001;480;720;
India;2001;100;432;432
India;2001;58;303;303
India;2001;1500;4507;4507
India;2001;138;606;231
India;2001;61;261;261
India, Pakistan;2001;25;999;100
Indonesia;2001;205;1400;205
Iran;2001;115;999;115
Israel;2001;999;1451;1451
Liberia;2001;117;240;
Macedonia;2001;50;145;122
Myanmar;2001;25;999;
Myanmar;2001;25;999;
Nepal;2001;380;1051;429
Philippines;2001;40;119;
Philippines;2001;25;1000;550
Russia (Soviet Union);2001;1000;8500;5000
Rwanda;2001;1000;9999;1000
Senegal;2001;50;318;90
Somalia;2001;100;400;
Sri Lanka (Ceylon);2001;200;4800;1000
Sudan;2001;1500;2834;2834
Turkey/Ottoman Empire;2001;20;200;
Uganda;2001;283;321;283
United States of America;2001;3995;12377;12377
Algeria;2002;150;900;
Angola;2002;332;508;400
Angola;2002;25;350;315
Burundi;2002;460;1300;1000
Central African Republic;2002;159;999;
Chad;2002;392;435;418
Colombia;2002;1374;2504;2504
Congo;2002;115;164;116
Cote D’Ivoire;2002;390;1500;611
Ethiopia;2002;25;600;
Ethiopia;2002;25;1600;
India;2002;100;482;482
India;2002;43;311;218
India;2002;1500;3022;3022
India;2002;58;445;58
India;2002;44;445;44
India, Pakistan;2002;300;380;
Indonesia;2002;112;1400;112
Israel;2002;390;390;390
Liberia;2002;255;1520;500
Myanmar;2002;50;120;60
Myanmar;2002;60;400;170
Nepal;2002;2780;4896;3947
Philippines;2002;30;250;
Philippines;2002;75;800;
Russia (Soviet Union);2002;742;6000;5000
Rwanda;2002;59;800;800
Somalia;2002;100;500;
Sudan;2002;1300;3021;2021
Turkey/Ottoman Empire;2002;25;300;50
Uganda;2002;506;1390;1032
United States of America;2002;693;4000;877
Afghanistan;2003;383;1200;1200
Algeria;2003;475;1500;
Australia;2003;8313;22457;13540
Burundi;2003;400;1100;938
Colombia;2003;475;3256;2576
Cote D’Ivoire;2003;346;1500;600
Eritrea;2003;25;999;57
Ethiopia;2003;25;350;
India;2003;99;515;515
India;2003;114;296;296
India;2003;25;198;198
India;2003;1246;2714;2542
India;2003;42;191;191
India;2003;100;503;100
India, Pakistan;2003;211;1000;211
Indonesia;2003;445;2000;478
Israel;2003;307;1200;767
Liberia;2003;1627;2400;1661
Myanmar;2003;31;37;31
Nepal;2003;1800;2105;2105
Philippines;2003;40;250;
Philippines;2003;582;1035;
Russia (Soviet Union);2003;300;2500;2000
Senegal;2003;34;50;40
Sri Lanka (Ceylon);2003;40;59;59
Sudan;2003;686;6000;2375
Thailand;2003;26;28;27
Turkey/Ottoman Empire;2003;50;83;83
Uganda;2003;300;3000;624
Afghanistan;2004;597;1559;621
Algeria;2004;401;503;500
Angola;2004;25;230;
Burundi;2004;377;1000;377
Colombia;2004;1210;3377;3114
Cote D’Ivoire;2004;54;600;54
Ethiopia;2004;25;600;
Ethiopia;2004;25;600;
Georgia;2004;22;200;27
Haiti;2004;129;300;
India;2004;71;566;566
India;2004;46;164;164
India;2004;60;218;218
India;2004;1075;2039;1810
India;2004;73;354;73
India;2004;30;350;30
Indonesia;2004;300;888;738
Iraq;2004;3499;20284;20284
Israel;2004;358;927;927
Nepal;2004;1431;2451;2451
Nigeria;2004;35;1200;52
Nigeria;2004;72;1200;72
Pakistan;2004;43;99;99
Philippines;2004;60;339;265
Philippines;2004;66;200;
Russia (Soviet Union);2004;600;5000;2000
Sudan;2004;550;3625;603
Thailand;2004;164;500;500
Turkey/Ottoman Empire;2004;25;208;166
Uganda;2004;845;1624;1624
United States of America;2004;59;684;320
Uzbekistan;2004;35;55;47
Afghanistan;2005;1100;2331;1268
Algeria;2005;268;490;490
Azerbaijan;2005;68;83;83
Burundi;2005;284;354;284
Chad;2005;100;110;100
Colombia;2005;1389;3171;2919
Ethiopia;2005;25;641;
Ethiopia;2005;25;480;
India;2005;199;892;892
India;2005;38;99;99
India;2005;30;331;331
India;2005;914;1739;1739
India;2005;56;254;137
Indonesia;2005;108;215;213
Iran;2005;28;999;28
Iraq;2005;2364;21615;21615
Israel;2005;119;275;240
Myanmar;2005;42;46;42
Myanmar;2005;25;999;
Myanmar;2005;20;128;28
Nepal;2005;1104;1848;1848
Pakistan;2005;55;175;175
Philippines;2005;25;234;200
Philippines;2005;179;305;
Russia (Soviet Union);2005;400;3000;2000
Sri Lanka (Ceylon);2005;85;300;109
Sudan;2005;161;1000;
Thailand;2005;205;1000;580
Turkey/Ottoman Empire;2005;200;751;424
Turkey/Ottoman Empire;2005;22;30;30
Uganda;2005;700;4000;770
United States of America;2005;99;620;100
Afghanistan;2006;2120;4591;3154
Algeria;2006;191;255;191
Burundi;2006;73;145;137
Central African Republic;2006;45;173;45
Chad;2006;1250;2623;1400
Colombia;2006;205;3150;2957
Democratic Republic of Congo (Zaire);2006;40;900;591
Ethiopia;2006;25;1444;
Ethiopia;2006;25;1444;
India;2006;426;752;742
India;2006;42;147;147
India;2006;27;50;50
India;2006;245;285;285
India;2006;902;1128;1116
India;2006;49;140;137
Iran;2006;52;999;57
Iraq;2006;3656;35071;35071
Israel;2006;321;705;705
Israel;2006;948;1281;1281
Myanmar;2006;96;265;104
Myanmar;2006;54;365;54
Nepal;2006;480;528;480
Pakistan;2006;198;454;454
Philippines;2006;208;306;306
Philippines;2006;50;124;124
Russia (Soviet Union);2006;259;351;350
Somalia;2006;300;1210;547
Sri Lanka (Ceylon);2006;1970;4126;4126
Sudan;2006;987;2718;
Thailand;2006;218;278;278
Turkey/Ottoman Empire;2006;210;294;210
Uganda;2006;221;318;292
United States of America;2006;191;709;191
Afghanistan;2007;4950;6569;6233
Algeria;2007;467;511;467
Angola;2007;25;999;
Chad;2007;69;1044;1044
Colombia;2007;317;3259;3131
Democratic Republic of Congo (Zaire);2007;516;1400;1301
Democratic Republic of Congo (Zaire);2007;87;134;116
Ethiopia;2007;25;1600;
Ethiopia;2007;25;1600;
India;2007;339;650;650
India;2007;105;265;265
India;2007;400;408;408
India;2007;735;777;777
India;2007;116;450;250
Iran;2007;68;143;72
Iraq;2007;1939;33266;33266
Israel;2007;311;726;726
Mali;2007;25;999;39
Myanmar;2007;104;407;104
Myanmar;2007;25;407;25
Niger;2007;81;155;81
Pakistan;2007;49;209;209
Pakistan;2007;578;3505;3505
Peru;2007;32;38;38
Philippines;2007;83;132;132
Philippines;2007;262;333;333
Russia (Soviet Union);2007;146;301;301
Russia (Soviet Union);2007;30;100;56
Somalia;2007;1571;2041;1589
Sri Lanka (Ceylon);2007;1887;4500;4369
Sudan;2007;217;1289;
Thailand;2007;206;452;452
Turkey/Ottoman Empire;2007;338;458;424
Uganda;2007;91;147;144
United States of America;2007;142;1760;153
Afghanistan;2008;4099;8000;4489
Algeria;2008;267;410;339
Burundi;2008;154;205;201
Chad;2008;713;1000;713
Colombia;2008;254;2106;1937
Democratic Republic of Congo (Zaire);2008;439;1800;485
Democratic Republic of Congo (Zaire);2008;125;143;125
Djibouti, Eritrea;2008;25;999;
Ethiopia;2008;25;1461;
Ethiopia;2008;25;1461;
Georgia;2008;465;859;621
India;2008;365;800;638
India;2008;388;485;485
India;2008;541;749;541
India;2008;77;387;204
India;2008;35;61;61
India;2008;24;35;33
Iran;2008;121;265;121
