"geo","time","population","gdp_p_cap_const_ppp2011_dollar","gini","fertility_rate"
"abkh",2011,,,40,
"abw",2011,101936,36016,40,1.69
"afg",2011,28809167,1695,36.6375471365,5.4
"ago",2011,21942296,7094,43.5804527419,6.1
"aia",2011,13956,,40,
"akr_a_dhe",2011,,,40,
"alb",2011,2886010,9640,43.6684287705,1.75
"and",2011,82326,41958,40,
"ant",2011,202847,,40,1.92
"arg",2011,41655616,16972,46.66,2.2
"arm",2011,2967984,6812,55.5066413879,1.5
"asm",2011,55316,,40,
"atg",2011,88152,19988,40,2.12
"aus",2011,22542371,41706,44.2197274074,1.88
"aut",2011,8423559,44029,34.7,1.44
"aze",2011,9227512,15754,43.0724035294,1.96
"bdi",2011,9790151,731,33.27,6.21
"bel",2011,11005175,40946,31.81496753,1.85
"ben",2011,9779391,1643,43.715680625,5.01
"bfa",2011,16106851,1481,50.06613,5.78
"bgd",2011,153405612,2589,47.19861,2.24
"bgr",2011,7355231,15278,49.05499,1.51
"bhr",2011,1306014,40083,40,2.12
"bhs",2011,366711,22689,43.4988781675,1.9
"bih",2011,3832310,9248,40,1.26
"blr",2011,9487674,16603,35.17899,1.47
"blz",2011,329193,8178,40,2.76
"bmu",2011,63578,54985,40,
"bol",2011,10078238,5462,43.4700877273,3.31
"bra",2011,200517584,15101,61.2,1.82
"brb",2011,280602,15336,43.6452675173,1.84
"brn",2011,399443,71991,40,2.03
"btn",2011,732246,6909,40,2.32
"bwa",2011,2089706,14341,58.72926,2.71
"caf",2011,4530903,913,56.3,4.54
"can",2011,34499905,41567,41.0614293446,1.61
"cck",2011,,,40,
"chanisl",2011,160489,,40,1.44
"cheslo",2011,,,40,
"chl",2011,17201305,20141,51.33759,1.84
"chn",2011,1348174478,10274,44.43417,1.54
"civ",2011,20604172,2706,51.30824,4.91
"cmr",2011,21119065,2610,51.25321,4.94
"cod",2011,68087376,657,44,6.15
"cog",2011,4177435,5569,43.4028029032,5.05
"cok",2011,20407,,40,
"col",2011,46406446,11332,57.4,2.35
"com",2011,715972,1427,63.79504,4.85
"cpv",2011,495159,6206,40,2.38
"cri",2011,4600487,12694,43.6294117647,1.83
"cub",2011,11323570,19005,43.3863583871,1.46
"cxr",2011,,,40,
"cym",2011,56580,49884,40,
"cyp",2011,1116644,32983,40,1.47
"cyp_nor",2011,,,40,
"cze",2011,10533985,28603,31.34014,1.53
"deu",2011,80424665,42080,50.5752983682,1.4
"deu_east",2011,,,40,
"dji",2011,841802,2767,43.5322847059,3.53
"dma",2011,71402,10333,40,
"dnk",2011,5576577,43314,39.2,1.76
"dom",2011,10027140,11241,43.8235294118,2.55
"dza",2011,36717132,12606,42.48379,2.83
"ecu",2011,15177280,9882,43.6628394118,2.62
"egy",2011,83787634,10629,35.2141911337,2.85
"eri",2011,4789568,1139,40,4.88
"eri_a_eth",2011,,,40,
"est",2011,1328068,23576,38.12853,1.62
"eth",2011,89858696,1171,47.06577,4.77
"fin",2011,5395816,40251,27.4,1.83
"fji",2011,867327,7228,43.46875,2.64
"flk",2011,2855,,40,
"fra",2011,63268405,37328,37.2396329942,1.98
"fro",2011,48492,,40,
"fsm",2011,103476,3412,40,3.4
"gab",2011,1577298,16590,41.79365,4.18
"gbg",2011,,,40,
"gbm",2011,85069,,40,
"geo",2011,4196401,6322,48.91344,1.82
"gha",2011,24928503,3446,41.51118,3.99
"gib",2011,31067,,40,
"gin",2011,11316351,1200,38.56784,5.09
"glp",2011,458667,,40,2.11
"gmb",2011,1749099,1545,43.5937618182,5.79
"gnb",2011,1673509,1457,38.74488,5.05
"gnq",2011,750918,35150,40,5.04
"grc",2011,11153047,26675,33.4,1.51
"grd",2011,105070,11219,40,2.22
"grl",2011,56441,25730,40,2.12
"gtm",2011,15049280,6957,55.89,3.91
"guf",2011,240314,,40,3.12
"gum",2011,160858,,40,2.45
"guy",2011,755883,5808,43.24,2.64
"hkg",2011,7044211,50086,53.7,1.1
"hnd",2011,7621414,4345,58.76,3.1
"hos",2011,799,,40,
"hrv",2011,4302073,20571,39.32527,1.48
"hti",2011,10144890,1580,50.11135,3.28
"hun",2011,9988846,22524,29.2208,1.38
"idn",2011,244808254,8907,50,2.4
"ind",2011,1247446011,4787,47.3951125139,2.53
"irl",2011,4652714,44913,45.2131483249,2
"irn",2011,75184322,17425,43.44113,1.91
"irq",2011,31867758,13248,39.3621,4.15
"isl",2011,321030,39619,40,2.11
"isr",2011,7563334,30183,49.8,2.92
"ita",2011,59678993,35901,36.71773,1.45
"jam",2011,2752358,8485,43.24268,2.31
"jey",2011,,,40,
"jor",2011,6760371,11292,43.45407,3.39
"jpn",2011,127252900,34316,33.2731950357,1.39
"kaz",2011,16554305,20772,31.19789,2.52
"ken",2011,41419954,2585,51.14705,4.54
"kgz",2011,5553827,2921,37.2,3.03
"khm",2011,14593099,2646,43.6157129412,2.93
"kir",2011,104662,1750,40,3.01
"kna",2011,,20582,40,
"kor",2011,49356692,31327,37.2,1.29
"kos",2011,,8227,40,
"kwt",2011,3239181,79102,40,2.65
"lao",2011,6366909,4133,41.58851,3.2
"lbn",2011,4591698,16431,38.6341463415,1.5
"lbr",2011,4079574,729,40,4.95
"lby",2011,6288652,11358,40,2.47
"lca",2011,,10535,40,1.96
"lie",2011,36537,,40,
"lso",2011,2032950,2301,45,3.15
"ltu",2011,3070593,22530,41.6515,1.49
"lux",2011,519981,91469,43.3187018182,1.65
"lva",2011,2063661,19405,42.16743,1.57
"mac",2011,546682,117188,40,1.03
"mar",2011,32531964,6698,46.03109,2.65
"mco",2011,37189,58081,40,
"mda",2011,4077811,4179,35.4,1.47
"mdg",2011,21678867,1372,44.11,4.59
"mdv",2011,338618,12694,40,2.31
"mex",2011,120365271,15887,46.76,2.25
"mhl",2011,52541,3510,40,
"mkd",2011,2065888,11431,45.84,1.44
"mli",2011,15639115,1658,33.02,6.85
"mlt",2011,414075,28178,40,1.37
"mmr",2011,52125411,3181,44.27483,1.98
"mne",2011,622957,14082,40,1.69
"mng",2011,2759074,8905,43.3802064706,2.45
"mnp",2011,53234,,40,
"moz",2011,25016921,974,51.60102,5.34
"mrt",2011,3683221,3357,43.5330241176,4.78
"msr",2011,4993,,40,
"mtq",2011,394698,,40,1.85
"mus",2011,1253089,16179,40.9960637,1.51
"mwi",2011,15226813,747,39.40953,5.55
"mys",2011,28572970,21096,48.89753,1.99
"myt",2011,214924,,40,3.99
"nam",2011,2240161,8715,63.9,3.17
"ncl",2011,249755,,40,2.17
"ner",2011,16946485,828,34.55,7.58
"nfk",2011,,,40,
"nga",2011,163770669,5217,51.15548,6.02
"ngokar",2011,,,40,
"nic",2011,5807787,4154,43.7271064706,2.59
"niu",2011,1616,,40,
"nld",2011,16689863,46388,32.0505047549,1.76
"nor",2011,4953945,62737,30.5029422,1.88
"npl",2011,27179237,2044,40.3122013965,2.5
"nru",2011,10043,10879,40,
"nzl",2011,4404483,32283,37.3960086811,2.1
"omn",2011,3210003,45081,40,2.9
"pak",2011,173669648,4261,40.68571,3.35
"pan",2011,3681979,16254,57.55,2.52
"pcn",2011,,,40,
"per",2011,29759891,10429,50.55,2.48
"phl",2011,94501233,5721,49.6,3.11
"plw",2011,20606,13034,40,
"png",2011,7001172,2341,50.30525,3.9
"pol",2011,38594217,22333,34.5,1.39
"pri",2011,3701997,34121,55.8,1.65
"prk",2011,24631359,1397,40,2
"prt",2011,10558909,26932,46.58859,1.33
"pry",2011,6293763,7186,57.7,2.93
"pyf",2011,270862,,40,2.09
"qat",2011,1905437,133734,40,2.06
"reu",2011,837020,,40,2.3
"rou",2011,20111664,17363,33.40205,1.39
"rus",2011,143211476,22570,40.0111151207,1.58
"rwa",2011,10556429,1324,50.82,4.73
"sau",2011,,49230,40,2.76
"shn",2011,,,40,
"slv",2011,6055208,7352,43.8823529412,2.24
"smr",2011,,43092,40,
"spm",2011,,,40,
"stp",2011,,2801,40,4.22
"tcd",2011,12298512,1896,39.7764,6.49
"vct",2011,,9883,40,2.05
"vgb",2011,27906,,40,
"wsm",2011,,5675,40,4.28
