"geo","time","pop","gdp_pc","gini","u5mr"
"pan",1927,,2841.642047,41.6,356.6923098
"per",1927,,3896.880456,60,349.0919974
"phl",1927,,2315.32007,48.8,402.7662261
"plw",1927,,2507.873271,,
"png",1927,,822.5074558,46.7,399.4673707
"pol",1927,,3677.843786,26.5,244.24487
"pri",1927,,3101.590944,,
"prk",1927,,916.8280692,48.1,383.83
"prt",1927,,3046.661723,49.9,227.77
"pry",1927,,3171.364036,41.6,352.9332402
"pse",1927,,1360.805927,44.8,409.7458616
"qat",1927,,2169.962011,43.4,408.23
"rou",1927,,2950.681941,28.4,339.8246089
"rus",1927,,3391.317845,27.6,211.207043
"rwa",1927,,507.1888154,46.8,398.8521322
"sau",1927,,1063.554966,43.9,392.24
"sdn",1927,,1090.543857,44.9,401.4947994
"sen",1927,,1055.266879,42.7,502.230296
"sgp",1927,,2551.362499,41.6,356.1806009
"slb",1927,,639.3243806,48.1,475.6280041
"sle",1927,,1143.673909,45.9,485.6301242
"slv",1927,,2218.068615,41.5,434.7474569
"smr",1927,,3775.52141,,
"som",1927,,849.6501096,45.1,425.98
"srb",1927,,3801.790746,43.2,154.5208333
"ssd",1927,,1088.171718,44.86,428.3547667
"stp",1927,,1093.440516,,259.8923356
"sur",1927,,3818.388161,36.5,362.75
"svk",1927,,4705.128824,47.2,226.84
"svn",1927,,4032.923315,42.4,272.7
"swe",1927,,6402.913254,51.3,80.67778414
"swz",1927,,954.5439793,45.9,387.8470637
"syc",1927,,2071.985316,,145.1885603
"syr",1927,,1698.689466,45,407.4045486
"tca",1927,,1209.438464,,
"tcd",1927,,829.8317283,44.2,406.97
"tgo",1927,,1065.489338,41.1,402.1354058
"tha",1927,,1244.260114,46.6,412.8328236
"tjk",1927,,1176.461323,48.1,287.9976575
"tkm",1927,,2242.754165,43.5,314.6125407
"tls",1927,,666.8847568,48.5,433.8512458
"ton",1927,,1073.017859,,164.493272
"tto",1927,,2819.14094,44.1,188.8256122
"tun",1927,,1342.93906,37.5,420.4113667
"tur",1927,,1802.631602,57.5,354.2088971
"tuv",1927,,1131.161109,,
"twn",1927,,1970.933695,,
"tza",1927,,782.6605381,42.4,391.2087566
"uga",1927,,758.0465343,45,500.1469745
"ukr",1927,,1805.787755,41.9,234.07
"ury",1927,,8524.95162,55.9,160.2815106
"usa",1927,,10771.25389,53.9,110.0786666
"uzb",1927,,809.2461477,44,299.3583657
"vct",1927,,1784.136873,,224.8574186
"ven",1927,,3979.207986,43.8,281.9655814
"vnm",1927,,1094.352864,44.3,390.5789582
"vut",1927,,959.54908,,209.4427583
"wsm",1927,,2277.103035,,266.8653591
"yem",1927,,1260.209608,44.1,514.9531133
"zaf",1927,,5229.694288,66.8,375.54
"zmb",1927,,1341.907393,42.7,388.4619622
"zwe",1927,,1013.05958,42.3,373.2623236
