"geo","time","sg_population","sg_gdp_p_cap_const_ppp2011_dollar","sg_gini","sg_child_mortality_rate_per1000"
"abw",1857,,1072,,
"afg",1857,,685,37.2,477.1
"ago",1857,,793,38.4,485.68
"alb",1857,,728,41.2,375.2
"and",1857,,1922,,
"are",1857,,1234,44,434.46
"arg",1857,,2555,30.8,402.19
"arm",1857,,594,39.8,344.532303524
"atg",1857,,974,,298.143468085
"aus",1857,,4461,45.4,390.99
"aut",1857,,3114,36.2,388.35
"aze",1857,,955,40.5,341.711362253
"bdi",1857,,441,43.7,423.95
"bel",1857,,4087,52.8,283.3
"ben",1857,,715,45.2,430.46
"bfa",1857,,501,37.5,454.69
"bgd",1857,,879,44.8,507.88
"bgr",1857,,1311,47.8,341.38
"bhr",1857,,1658,43,439.79
"bhs",1857,,1860,,287.314557267
"bih",1857,,784,38.7,378.8
"blr",1857,,762,52.6,365.67
"blz",1857,,745,,310.763694243
"bmu",1857,,1579,,
"bol",1857,,1215,36.9,404.69
"bra",1857,,1252,39.8,417.44
"brb",1857,,1175,,574.073296278
"brn",1857,,1719,,454.69
"btn",1857,,679,47.6,441.863402927
"bwa",1857,,476,35.6,397.2
"caf",1857,,509,47.3,443.79
"can",1857,,2343,32.7,307.25
"che",1857,,4247,50,344.77
"chl",1857,,1508,65,417.44
"chn",1857,,999,36.9,491.55
"civ",1857,,1020,41.9,427.86
"cmr",1857,,751,43.9,460.21
"cod",1857,,613,42.1,422.65
"cog",1857,,675,46.3,408.51
"col",1857,,1062,58.9,417.44
"com",1857,,738,42.3,416.16
"cpv",1857,,621,49,394.71
"cri",1857,,1175,45.8,441.12
"cub",1857,,1674,39.8,360.97
"cym",1857,,1337,,
"cyp",1857,,1325,37.7,339.12
"cze",1857,,2521,50.6,379.99
"deu",1857,,2440,44.2,498.56
"dji",1857,,901,44.4,445.15
"dma",1857,,853,,
"dnk",1857,,2982,52.7,241.04
"dom",1857,,818,44,445.15
"dza",1857,,1098,56.7,460.21
"ecu",1857,,672,43.8,405.96
"egy",1857,,941,57.7,404.69
"eri",1857,,586,47.4,441.12
"esp",1857,,1719,32.3,297.765596847
"est",1857,,1219,48.9,362.15
"eth",1857,,531,47.5,447.88
"fin",1857,,1569,50.6,379.542161029
"fji",1857,,892,46.7,498.88
"fra",1857,,3112,55.6,285.45
"fsm",1857,,536,,309.225156352
"gab",1857,,394,45.9,435.79
"gbr",1857,,5196,45.4,262.53
