"geo","time","sg_population","sg_gdp_p_cap_const_ppp2011_dollar","sg_gini","sg_child_mortality_rate_per1000"
"abw",1874,,1202,,
"afg",1874,,726,47,478.53
"ago",1874,,855,33.5,485.68
"alb",1874,,796,38.7,375.2
"and",1874,,2350,,
"are",1874,,1373,43.7,434.46
"arg",1874,,3251,28.5,402.19
"arm",1874,,634,54.2,336.956117481
"atg",1874,,1092,,259.706002996
"aus",1874,,6366,42,195.97
"aut",1874,,3691,36.5,422.24
"aze",1874,,1049,43.1,330.0249518
"bdi",1874,,448,43.7,423.95
"bel",1874,,5364,52,243.57
"ben",1874,,777,44,430.46
"bfa",1874,,511,37.5,454.69
"bgd",1874,,890,48,507.88
"bgr",1874,,1484,45.2,332.37
"bhr",1874,,2010,42.4,439.79
"bhs",1874,,2085,,247.927242711
"bih",1874,,835,42.4,378.8
"blr",1874,,841,50,365.67
"blz",1874,,835,,275.18145434
"bmu",1874,,1771,,
"bol",1874,,1428,36.9,404.69
"bra",1874,,1518,38.5,417.44
"brb",1874,,1318,,609.455425153
"brn",1874,,1821,,454.69
"btn",1874,,702,47.8,435.647347936
"bwa",1874,,517,35.6,397.2
"caf",1874,,552,48.3,443.79
"can",1874,,3081,43.3,288.3
"che",1874,,6004,47.5,288.608209628
"chl",1874,,2000,67.8,417.44
"chn",1874,,1000,34.2,417.44
"civ",1874,,1092,43.7,427.86
"cmr",1874,,815,38.3,460.21
"cod",1874,,658,42.1,422.65
"cog",1874,,709,44.1,408.51
"col",1874,,1110,55.6,417.44
"com",1874,,750,45.1,416.16
"cpv",1874,,668,48.5,394.71
"cri",1874,,1421,44.6,441.12
"cub",1874,,2038,40.8,445.15
"cym",1874,,1499,,
"cyp",1874,,1620,40.3,339.12
"cze",1874,,2795,51.9,379.99
"deu",1874,,3258,44,482.32
"dji",1874,,950,45.3,445.15
"dma",1874,,957,,
"dnk",1874,,3723,53,205.33
"dom",1874,,896,45.2,445.15
"dza",1874,,1320,42.4,460.21
"ecu",1874,,749,45.6,405.96
"egy",1874,,992,44.7,404.69
"eri",1874,,612,48.1,441.12
"esp",1874,,2221,33.2,324.395013833
