"geo","time","population","gdp_p_cap_const_ppp2011_dollar","gini","fertility_rate"
"abkh",2009,,,40,
"abw",2009,101416,35573,40,1.71
"afg",2009,27207291,1548,36.6375471365,5.93
"ago",2009,20520103,7039,43.7413582258,6.33
"aia",2009,13571,,40,
"akr_a_dhe",2009,,,40,
"alb",2009,2929886,8994,43.6684287705,1.74
"and",2009,85474,41735,40,
"ant",2009,198037,,40,1.95
"arg",2009,40798641,14605,46.66,2.23
"arm",2009,2966108,6358,55.5066413879,1.6
"asm",2009,56226,,40,
"atg",2009,86300,22389,40,2.15
"aus",2009,21770690,41170,44.2197274074,1.9
"aut",2009,8361362,42171,34.3,1.39
"aze",2009,8980488,15394,42.2172105882,1.98
"bdi",2009,9137786,723,33.27,6.39
"bel",2009,10854388,40225,31.81496753,1.83
"ben",2009,9240982,1641,44.147041875,5.18
"bfa",2009,15165856,1358,50.06613,5.95
"bgd",2009,149905836,2355,47.19861,2.32
"bgr",2009,7460057,14692,49.05499,1.46
"bhr",2009,1196774,40825,40,2.18
"bhs",2009,354780,22950,43.4966345025,1.9
"bih",2009,3837732,9063,40,1.23
"blr",2009,9505319,14549,35.17899,1.44
"blz",2009,313925,8145,40,2.85
"bmu",2009,64306,57152,40,
"bol",2009,9758799,5152,43.4102631818,3.41
"bra",2009,196701298,13749,61.2,1.86
"brb",2009,278466,15334,43.9358025519,1.84
"brn",2009,387080,69924,40,2.07
"btn",2009,707830,5934,40,2.44
"bwa",2009,2007212,12680,58.72926,2.81
"caf",2009,4361492,892,56.3,4.72
"can",2009,33746559,39884,41.0614293446,1.67
"cck",2009,596,,40,
"chanisl",2009,158613,,40,1.43
"cheslo",2009,,,40,
"chl",2009,16829957,18329,51.33759,1.87
"chn",2009,1333807063,8565,44.43417,1.54
"civ",2009,19684909,2892,51.30824,4.91
"cmr",2009,20074522,2554,51.25321,5.09
"cod",2009,63845097,607,44,6.35
"cog",2009,3950786,5236,43.2084087097,5.09
"cok",2009,20154,,40,
"col",2009,45416276,10511,57.4,2.41
"com",2009,681845,1431,63.79504,4.99
"cpv",2009,486673,5941,40,2.49
"cri",2009,4488261,11914,43.8882352941,1.87
"cub",2009,11297442,18035,43.1590751613,1.48
"cxr",2009,1400,,40,
"cym",2009,54285,51952,40,
"cyp",2009,1090486,34166,40,1.49
"cyp_nor",2009,,,40,
"cze",2009,10460022,27560,31.34014,1.47
"deu",2009,80519685,38975,50.5752983682,1.38
"deu_east",2009,,,40,
"dji",2009,820097,2590,43.5968541176,3.68
"dma",2009,70995,10289,40,
"dnk",2009,5523755,42498,39.2,1.84
"dom",2009,9767737,10363,44.4705882353,2.62
"dza",2009,35401790,12285,42.48379,2.78
"ecu",2009,14691310,9143,43.9885182353,2.69
"egy",2009,80442443,10267,35.2141911337,2.92
"eri",2009,4593549,1095,40,5.06
"eri_a_eth",2009,,,40,
"est",2009,1336013,21137,38.12853,1.63
"eth",2009,85302099,986,47.06577,5.04
"fin",2009,5340485,38455,27.4,1.86
"fji",2009,851854,6959,43.40625,2.7
"flk",2009,2867,,40,
"fra",2009,62640901,36215,37.2396329942,1.98
"fro",2009,48613,,40,
"fsm",2009,103961,3243,40,3.52
"gab",2009,1507428,15238,41.79365,4.25
"gbg",2009,,,40,
"gbm",2009,83548,,40,
"geo",2009,4298591,5642,48.91344,1.81
"gha",2009,23713164,2934,41.51118,4.12
"gib",2009,30407,,40,
"gin",2009,10715770,1194,38.56784,5.26
"glp",2009,455536,,40,2.13
"gmb",2009,1638899,1615,43.7812854545,5.8
"gnb",2009,1596832,1340,38.74488,5.18
"gnq",2009,707155,35880,40,5.23
"grc",2009,11179425,30780,32.8666666667,1.48
"grd",2009,104298,11273,40,2.26
"grl",2009,56663,23789,40,2.36
"gtm",2009,14418033,6826,55.89,4.04
"guf",2009,227731,,40,3.2
"gum",2009,158621,,40,2.5
"guy",2009,750749,5344,43.24,2.72
"hkg",2009,6949275,45390,53.54,1.06
"hnd",2009,7383098,4200,58.76,3.21
"hos",2009,799,,40,
"hrv",2009,4330399,20283,39.32527,1.45
"hti",2009,9852953,1628,50.11135,3.42
"hun",2009,10034951,21839,29.2208,1.35
"idn",2009,238465165,8108,50,2.46
"ind",2009,1214182182,4177,47.3951125139,2.6
"irl",2009,4558603,44222,45.2131483249,2
"irn",2009,73370982,16123,43.44113,1.89
"irq",2009,29970634,11992,39.3621,4.28
"isl",2009,314336,39979,40,2.12
"isr",2009,7262964,28419,50.1,2.92
"ita",2009,59467196,35260,36.71773,1.42
"jam",2009,2729575,8526,43.24268,2.36
"jey",2009,,,40,
"jor",2009,6266865,11243,43.45407,3.53
"jpn",2009,127340884,32880,33.2731950357,1.36
"kaz",2009,16098356,18527,31.19789,2.54
"ken",2009,39269988,2371,51.14705,4.69
"kgz",2009,5380310,2837,37.2,2.9
"khm",2009,14144337,2409,43.8471388235,3.01
"kir",2009,100566,1765,40,3.09
"kna",2009,,21416,40,
"kor",2009,48807036,28716,37.2,1.25
"kos",2009,,7756,40,
"kwt",2009,2881243,81025,40,2.68
"lao",2009,6153153,3668,41.58851,3.37
"lbn",2009,4181742,15393,38.6341463415,1.54
"lbr",2009,3821498,643,40,5.11
"lby",2009,6208680,29182,40,2.58
"lca",2009,,10759,40,2
"lie",2009,36004,,40,
"lso",2009,1990413,2091,48,3.27
"ltu",2009,3172436,20003,41.6515,1.45
"lux",2009,496257,88284,42.9561054545,1.63
"lva",2009,2117307,18300,42.16743,1.53
"mac",2009,521405,79361,40,0.97
"mar",2009,31714958,6313,46.03109,2.51
"mco",2009,36351,53735,40,
"mda",2009,4095813,3661,36.39,1.48
"mdg",2009,20495706,1426,44.697306,4.72
"mdv",2009,326713,11096,40,2.36
"mex",2009,116815612,14893,46.76,2.31
"mhl",2009,52321,3316,40,
"mkd",2009,2058920,10824,45.84,1.46
"mli",2009,14694565,1622,34.4756225,6.83
"mlt",2009,409475,26888,40,1.38
"mmr",2009,51369725,2979,44.27483,2.03
"mne",2009,620870,13352,40,1.71
"mng",2009,2669572,7357,43.1406194118,2.41
"mnp",2009,55276,,40,
"moz",2009,23647815,893,51.60102,5.48
"mrt",2009,3501927,3233,43.5990723529,4.89
"msr",2009,4922,,40,
"mtq",2009,395138,,40,1.89
"mus",2009,1242954,15020,40.9960637,1.54
"mwi",2009,14329056,713,39.40953,5.71
"mys",2009,27661017,19320,48.89753,2.02
"myt",2009,202503,,40,4.17
"nam",2009,2152357,8090,63.9,3.3
"ncl",2009,242891,,40,2.21
"ner",2009,15672194,806,34.55,7.59
"nfk",2009,,,40,
"nga",2009,155207145,4874,51.15548,6.02
"ngokar",2009,,,40,
"nic",2009,5666595,3896,44.1813194118,2.68
"niu",2009,1627,,40,
"nld",2009,16575173,45590,32.0505047549,1.79
"nor",2009,4830371,63354,30.5029422,1.98
"npl",2009,26592666,1929,42.2441128502,2.76
"nru",2009,10028,7920,40,
"nzl",2009,4329124,31723,37.3960086811,2.13
"omn",2009,2762073,49393,40,2.89
"pak",2009,166520983,4227,40.68571,3.51
"pan",2009,3559401,14339,57.55,2.58
"pcn",2009,50,,40,
"per",2009,29001563,9246,50.55,2.55
"phl",2009,91641881,5304,49.6,3.2
"plw",2009,20344,11974,40,
"png",2009,6693799,2055,50.30525,4.01
"pol",2009,38551489,20507,34.5,1.35
"pri",2009,3718473,35199,55.8,1.68
"prk",2009,24371806,1407,40,2
"prt",2009,10590260,26895,47.00859,1.34
"pry",2009,6127847,6306,57.7,3.01
"pyf",2009,265412,,40,2.13
"qat",2009,1591151,122655,40,2.13
"reu",2009,823691,,40,2.36
"rou",2009,20510263,16947,33.40205,1.36
"rus",2009,143126660,20739,40.0111151207,1.54
"rwa",2009,10024594,1210,51.728,4.95
"sau",2009,,44276,40,2.9
"shn",2009,,,40,
"slv",2009,6021368,7180,44.6470588235,2.29
"smr",2009,,47221,40,
"spm",2009,,,40,
"stp",2009,,2701,40,4.35
"tcd",2009,11510535,1772,39.7764,6.7
"vct",2009,,10287,40,2.09
"vgb",2009,26450,,40,
"wsm",2009,,5418,40,4.39
