geo,geo.name,geo.cat,geo.region,time,pop,gdp_per_cap,gini,u5mr
afg,Afghanistan,country,asi,1986,11438949,1486,32.6,209.2
ago,Angola,country,afr,1986,10023700,4135,45.59,227.5
alb,Albania,country,eur,1986,3041003,4281,27.99,50.7
are,United Arab Emirates,country,asi,1986,1430548,100191,40,21.1
arg,Argentina,country,ame,1986,30857242,9810,41.08,31.9
arm,Armenia,country,eur,1986,3396511,3890,38.37,59
aus,Australia,country,asi,1986,16047026,26057,38.4,11
aut,Austria,country,eur,1986,7610435,27707,33.49,11.8
aze,Azerbaijan,country,eur,1986,6779970,8673,32.26,99
bdi,Burundi,country,afr,1986,4936429,1014,41.61,172.9
bel,Belgium,country,eur,1986,9903895,27189,26.23,11.4
ben,Benin,country,afr,1986,4414450,1497,49.11,196.1
bfa,Burkina Faso,country,afr,1986,7930690,900,47.63,214.4
bgd,Bangladesh,country,asi,1986,95550798,1169,38.78,167.7
bgr,Bulgaria,country,eur,1986,8956741,10643,26.69,22.5
bhr,Bahrain,country,asi,1986,433487,29586,40,24.2
bih,Bosnia and Herzegovina,country,eur,1986,4428460,3572,40,24.9
blr,Belarus,country,eur,1986,10053975,7780,24.02,18.8
bol,Bolivia,country,ame,1986,6337893,3525,42.96,143.8
bra,Brazil,country,ame,1986,139664639,11079,58.73,72.1
btn,Bhutan,country,asi,1986,484151,1534,40,158.8
bwa,Botswana,country,afr,1986,1221668,6065,58.35,54
caf,Central African Republic,country,afr,1986,2691312,991,58.46,177.2
can,Canada,country,ame,1986,26181342,29482,34.22,9.4
che,Switzerland,country,eur,1986,6493442,42899,38.3,8.9
chl,Chile,country,ame,1986,12304203,7483,56.07,22.1
chn,China,country,asi,1986,1071834975,1604,30.65,53.7
civ,Cote d'Ivoire,country,afr,1986,10548148,3330,40.26,151.7
cmr,Cameroon,country,afr,1986,10701458,3821,46.33,144.2
cod,"Congo, Dem. Rep.",country,afr,1986,30829103,1523,44.07,195.3
cog,"Congo, Rep.",country,afr,1986,2142529,5586,40.97,95.3
col,Colombia,country,ame,1986,31669780,6887,50.88,40.3
com,Comoros,country,afr,1986,368443,1703,50.78,142.2
cpv,Cape Verde,country,afr,1986,319161,1474,40,75.1
cri,Costa Rica,country,ame,1986,2800986,6851,44.35,20.5
cub,Cuba,country,ame,1986,10167998,14025,40.55,17.4
cyp,Cyprus,country,eur,1986,712340,18626,40,12.4
cze,Czech Republic,country,eur,1986,10311350,19820,25.09,16.6
deu,Germany,country,eur,1986,77671877,30514,39.23,10.6
dji,Djibouti,country,afr,1986,451068,3616,40,131.7
dnk,Denmark,country,eur,1986,5113767,32181,33.58,9.7
dom,Dominican Republic,country,ame,1986,6626544,4903,47.92,70.1
dza,Algeria,country,afr,1986,23241276,10722,41.23,61.9
ecu,Ecuador,country,ame,1986,9272905,7887,47.6,69.1
egy,Egypt,country,afr,1986,50748187,5658,44.57,110.1
eri,Eritrea,country,afr,1986,2843141,831,40,171.8
