geo,geo.name,geo.cat,geo.region,time,pop,gdp_per_cap,gini,u5mr
afg,Afghanistan,country,asi,1924,6039631,879,39.08,463.5
ago,Angola,country,afr,1924,3487271,1408,49.85,461.18
alb,Albania,country,eur,1924,984274,1591,26.66,356.27
are,United Arab Emirates,country,asi,1924,56573,2293,40,412.62
arg,Argentina,country,ame,1924,10050859,7892,46.77,179.05
arm,Armenia,country,eur,1924,1063175,642,37.13,244.43
aus,Australia,country,asi,1924,5828493,8913,37.44,76.67
aut,Austria,country,eur,1924,6562063,6230,37.28,201.61
aze,Azerbaijan,country,eur,1924,2271023,1121,40,247.57
bdi,Burundi,country,afr,1924,1880926,472,46.92,402.56
bel,Belgium,country,eur,1924,7700230,9000,51.61,120.2
ben,Benin,country,afr,1924,1756110,1017,44.59,410.91
bfa,Burkina Faso,country,afr,1924,3543708,537,40.72,432.45
bgd,Bangladesh,country,asi,1924,33223312,1167,38.27,495.73
bgr,Bulgaria,country,eur,1924,5483160,1521,28.92,258.26
bhr,Bahrain,country,asi,1924,90684,2793,40,417.39
bih,Bosnia and Herzegovina,country,eur,1924,2109597,1230,40,335.02
blr,Belarus,country,eur,1924,6130063,904,31.58,210.81
bol,Bolivia,country,ame,1924,2449649,2296,40,382.83
bra,Brazil,country,ame,1924,30007096,1853,54.03,394.44
btn,Bhutan,country,asi,1924,154382,779,40,417.87
bwa,Botswana,country,afr,1924,173798,679,38.83,374.44
caf,Central African Republic,country,afr,1924,793582,804,45.25,425.35
can,Canada,country,ame,1924,9370661,6610,41.61,126.51
che,Switzerland,country,eur,1924,3887975,12187,38.78,78.75
chl,Chile,country,ame,1924,3956851,4488,61.77,432.08
chn,China,country,asi,1924,470502376,1031,42.65,396.38
civ,Cote d'Ivoire,country,afr,1924,2187844,1470,38.1,405.7
cmr,Cameroon,country,afr,1924,2536030,1095,43.84,437.89
cod,"Congo, Dem. Rep.",country,afr,1924,10212132,955,43.78,401.32
cog,"Congo, Rep.",country,afr,1924,665942,1013,39.43,389.49
col,Colombia,country,ame,1924,7083688,1995,53.77,227.84
com,Comoros,country,afr,1924,126690,789,36.31,395.16
cpv,Cape Verde,country,afr,1924,140536,809,40,374.79
cri,Costa Rica,country,ame,1924,465994,2510,40,328.47
