geo,geo.name,geo.cat,geo.region,time,pop,gdp_per_cap,gini,u5mr
afg,Afghanistan,country,asi,1951,7839426,1050,33.61,435.9
ago,Angola,country,afr,1951,4439705,3202,48.41,401.53
alb,Albania,country,eur,1951,1287499,1965,23.48,161.7
are,United Arab Emirates,country,asi,1951,67972,1233,40,265.59
arg,Argentina,country,ame,1951,17507132,7612,41.28,91.92
arm,Armenia,country,eur,1951,1382982,1834,37.67,108.04
aus,Australia,country,asi,1951,8417640,12229,37.64,31
aut,Austria,country,eur,1951,6930348,7382,38.7,69.81
aze,Azerbaijan,country,eur,1951,2965338,3595,40,141.34
bdi,Burundi,country,afr,1951,2359234,525,45.57,298.37
bel,Belgium,country,eur,1951,8673691,10790,38.62,55.94
ben,Benin,country,afr,1951,2258049,1226,40.59,345.1
bfa,Burkina Faso,country,afr,1951,4324493,537,39.19,387
bgd,Bangladesh,country,asi,1951,38706927,1031,37.39,342.9
bgr,Bulgaria,country,eur,1951,7303773,3325,24.27,155.76
bhr,Bahrain,country,asi,1951,116919,16689,40,305.94
bih,Bosnia and Herzegovina,country,eur,1951,2709913,1304,40,180.69
blr,Belarus,country,eur,1951,7717708,2781,33.4,87.46
bol,Bolivia,country,ame,1951,3140342,3374,35.14,306.08
bra,Brazil,country,ame,1951,55605541,3074,49.95,222.09
btn,Bhutan,country,asi,1951,181489,859,40,403.18
bwa,Botswana,country,afr,1951,425270,851,42.97,238.2
caf,Central African Republic,country,afr,1951,1339842,1245,45.94,370
can,Canada,country,ame,1951,14099994,12419,36.1,46.2
che,Switzerland,country,eur,1951,4726283,21545,40.53,37.2
chl,Chile,country,ame,1951,6278346,5279,39.29,229.78
chn,China,country,asi,1951,558820362,582,53.27,311.71
civ,Cote d'Ivoire,country,afr,1951,2692657,2102,38.79,364.36
cmr,Cameroon,country,afr,1951,4544218,1479,40.48,375.32
cod,"Congo, Dem. Rep.",country,afr,1951,12428829,1756,44.26,288.56
cog,"Congo, Rep.",country,afr,1951,824129,1880,37.57,270.38
col,Colombia,country,ame,1951,12699949,3151,47.97,186.92
com,Comoros,country,afr,1951,160083,837,37.54,289.84
cpv,Cape Verde,country,afr,1951,186124,784,40,216.69
cri,Costa Rica,country,ame,1951,986159,2933,40,146.34
cub,Cuba,country,ame,1951,6051290,9245,36.57,49.67
cyp,Cyprus,country,eur,1951,500378,3899,40,79.26
cze,Czech Republic,country,eur,1951,9005036,8166,39.22,76.15
deu,Germany,country,eur,1951,70111671,7884,45.87,59.03
dji,Djibouti,country,afr,1951,63309,3248,40,281.86
dnk,Denmark,country,eur,1951,4308324,12004,35.44,33.4
dom,Dominican Republic,country,ame,1951,2438412,2242,41.05,155.1
dza,Algeria,country,afr,1951,9039913,3957,40.67,281.87
ecu,Ecuador,country,ame,1951,3561154,3393,40,235.91
egy,Egypt,country,afr,1951,21383393,1738,39.52,367.83
eri,Eritrea,country,afr,1951,1162658,798,40,333.62
esp,Spain,country,eur,1951,28237323,4369,34.57,101.8
est,Estonia,country,eur,1951,1113247,4866,34.34,84.17
eth,Ethiopia,country,afr,1951,18466918,586,42.9,353.92
fin,Finland,country,eur,1951,4049689,7738,35.94,42
fji,Fiji,country,asi,1951,296206,2798,40,125.9
fra,France,country,eur,1951,42071027,8301,57.32,53.4
gab,Gabon,country,afr,1951,475864,711,43.91,324.9
gbr,United Kingdom,country,eur,1951,50620538,11416,30.3,35.1
geo,Georgia,country,eur,1951,3584698,2320,33.63,122.84
gha,Ghana,country,afr,1951,5068433,1704,41.92,250.8
gin,Guinea,country,afr,1951,3141548,643,42.46,362.8
gmb,Gambia,country,afr,1951,272719,1025,40,399.24
gnb,Guinea-Bissau,country,afr,1951,544103,867,37.94,281.93
gnq,Equatorial Guinea,country,afr,1951,230057,507,40,348.43
grc,Greece,country,eur,1951,7635277,4098,35.37,56.78
gtm,Guatemala,country,ame,1951,3237922,3083,43.59,272.54
guy,Guyana,country,ame,1951,420290,4207,41.9,150.2
hnd,Honduras,country,ame,1951,1524974,2460,40,264.76
hti,Haiti,country,ame,1951,3275368,2278,42.51,334.53
hun,Hungary,country,eur,1951,9478110,6439,28.79,102.92
idn,Indonesia,country,asi,1951,70869608,1527,52.6,287.6
ind,India,country,asi,1951,382231042,908,35.45,271.59
irl,Ireland,country,eur,1951,2921278,6417,43.8,51.9
irn,Iran,country,asi,1951,17516578,3881,47.5,308.11
irq,Iraq,country,asi,1951,5901507,3178,60.95,343.1
isr,Israel,country,asi,1951,1354097,4435,44.97,52.61
ita,Italy,country,eur,1951,47014137,6736,43.04,81.8
jam,Jamaica,country,ame,1951,1436851,2872,41.76,129.71
jor,Jordan,country,asi,1951,503116,3120,40,260.9
jpn,Japan,country,asi,1951,83794452,2728,36.12,82.6
kaz,Kazakhstan,country,asi,1951,6831158,5910,38.85,162.46
ken,Kenya,country,afr,1951,6240177,2046,57.02,317.55
kgz,Kyrgyz Republic,country,asi,1951,1763226,2335,37.39,181.66
khm,Cambodia,country,asi,1951,4539656,1114,40,287.06
kor,South Korea,country,asi,1951,19304737,753,30.45,330
kwt,Kuwait,country,asi,1951,163632,5745,40,197.29
lao,Lao,country,asi,1951,1723050,1146,41.84,279.7
lbn,Lebanon,country,asi,1951,1358220,6946,53.98,138.94
lbr,Liberia,country,afr,1951,943241,1247,40,326.07
lby,Libya,country,afr,1951,1131590,5671,40,365.32
lka,Sri Lanka,country,asi,1951,8201505,1815,47.89,135
lso,Lesotho,country,afr,1951,744320,442,40,244.35
ltu,Lithuania,country,eur,1951,2569877,6707,34.33,94.83
lux,Luxembourg,country,eur,1951,297588,17504,40,82.04
lva,Latvia,country,eur,1951,1954829,3872,34.35,102.56
mar,Morocco,country,afr,1951,9243680,2088,39.63,281.96
mda,Moldova,country,eur,1951,2381443,2670,24.27,134.38
mdg,Madagascar,country,afr,1951,4167827,1956,38.67,301.91
mex,Mexico,country,ame,1951,28836111,4601,52.25,209.96
mkd,"Macedonia, FYR",country,eur,1951,1290413,2610,43.77,174.64
mli,Mali,country,afr,1951,4759039,660,43,465.56
mmr,Myanmar,country,asi,1951,17850068,954,34.08,348.94
mne,Montenegro,country,eur,1951,400876,4182,40,127.32
mng,Mongolia,country,asi,1951,793537,886,40,260.01
moz,Mozambique,country,afr,1951,6405068,454,41.61,388.99
mrt,Mauritania,country,afr,1951,675594,1224,40,311.4
mus,Mauritius,country,afr,1951,506431,2519,40,120.56
mwi,Malawi,country,afr,1951,3008074,363,38.86,375.95
mys,Malaysia,country,asi,1951,6261916,2715,49.43,155.67
nam,Namibia,country,afr,1951,494611,3871,42.59,262.64
ner,Niger,country,afr,1951,2637582,989,38.62,339.58
nga,Nigeria,country,afr,1951,38431323,2843,49.2,367.29
nic,Nicaragua,country,ame,1951,1331740,3651,42.13,247.37
nld,Netherlands,country,eur,1951,10148714,9593,36.8,30.4
nor,Norway,country,eur,1951,3300422,11986,35.57,30.9
npl,Nepal,country,asi,1951,8657577,822,46.41,339.9
nzl,New Zealand,country,asi,1951,1947802,13032,34.06,34.8
omn,Oman,country,asi,1951,462257,3148,40,397.92
pak,Pakistan,country,asi,1951,37976075,1112,37.32,388.8
pan,Panama,country,ame,1951,881346,3066,40,119.1
per,Peru,country,ame,1951,7924206,4614,48.76,307.46
phl,Philippines,country,asi,1951,19246611,2006,49.43,159.6
png,Papua New Guinea,country,asi,1951,1729254,975,47.07,284.07
pol,Poland,country,eur,1951,25264029,4801,23.62,177.01
prk,North Korea,country,asi,1951,10248496,729,40,361.51
prt,Portugal,country,eur,1951,8431207,4013,40.18,138.02
pry,Paraguay,country,ame,1951,1511764,2988,40,93.77
pse,West Bank and Gaza,country,asi,1951,923753,1316,40,230.49
qat,Qatar,country,asi,1951,27475,1973,40,166.82
rou,Romania,country,eur,1951,16512672,3933,24.27,182.64
rus,Russia,country,eur,1951,104306354,7424,33.4,85.27
rwa,Rwanda,country,afr,1951,2250675,544,44.97,275.84
sau,Saudi Arabia,country,asi,1951,3198551,2465,40,272.76
sdn,Sudan,country,afr,1951,5883670,1838,41.02,225.65
sds,South Sudan,country,afr,1951,2601308,1947,41.02,381.13
sen,Senegal,country,afr,1951,2529699,1784,40.34,340.8
sgp,Singapore,country,asi,1951,1067964,4753,50,105.2
slb,Solomon Islands,country,asi,1951,91808,957,40,239.4
sle,Sierra Leone,country,afr,1951,1962818,1105,40,431.08
slv,El Salvador,country,ame,1951,2236577,3387,40,238.99
som,Somalia,country,afr,1951,2307576,1036,46.21,354.38
srb,Serbia,country,eur,1951,6853289,4598,35.66,88.84
sur,Suriname,country,ame,1951,222679,5664,40,149.49
svk,Slovak Republic,country,eur,1951,3509957,6007,36.2,138.54
svn,Slovenia,country,eur,1951,1481637,5282,34.11,83.72
swe,Sweden,country,eur,1951,7072080,11890,40.43,25.7
swz,Swaziland,country,afr,1951,278952,1424,40,236.9
syr,Syria,country,asi,1951,3500650,1686,43.31,297.71
tcd,Chad,country,afr,1951,2544102,1254,39.59,321.77
tgo,Togo,country,afr,1951,1425482,1050,38.98,319.1
tha,Thailand,country,asi,1951,21263203,1206,39.15,202.7
tjk,Tajikistan,country,asi,1951,1576454,2431,41.96,210.45
tkm,Turkmenistan,country,asi,1951,1228378,4961,39.03,192.16
tls,Timor-Leste,country,asi,1951,438192,689,40,416.49
tto,Trinidad and Tobago,country,ame,1951,658830,5209,40,100.46
tun,Tunisia,country,afr,1951,3696457,1732,39.75,299.75
tur,Turkey,country,eur,1951,21806355,3701,49.45,300.05
tza,Tanzania,country,afr,1951,7847303,1040,42.5,262.8
uga,Uganda,country,afr,1951,5308673,772,44.18,292.07
ukr,Ukraine,country,eur,1951,37815815,3927,38.15,91.42
ury,Uruguay,country,ame,1951,2261342,8573,45.47,64.57
usa,United States,country,ame,1951,159880756,16198,39.28,36.6
uzb,Uzbekistan,country,asi,1951,7104056,1697,39.01,205.08
ven,Venezuela,country,ame,1951,5735168,11268,40,121.3
vnm,Vietnam,country,asi,1951,25364453,985,43.74,165.84
yem,Yemen,country,asi,1951,4474025,1367,43.32,489.46
zaf,South Africa,country,afr,1951,13993888,7316,53.92,252.2
zmb,Zambia,country,afr,1951,2376075,2714,40.91,257.23
zwe,Zimbabwe,country,afr,1951,2830449,1537,47.17,201.97
