geo,geo.name,geo.cat,geo.region,time,pop,gdp_per_cap,gini,u5mr
mus,Mauritius,country,afr,1931,393094,1883,40,330.05
mwi,Malawi,country,afr,1931,1657228,356,41.36,406.39
mys,Malaysia,country,asi,1931,4484771,2762,47.33,393.03
nam,Namibia,country,afr,1931,279859,2860,44.42,383.81
ner,Niger,country,afr,1931,2297913,813,46.74,404.51
nga,Nigeria,country,afr,1931,19490751,1894,45.19,413.4
nic,Nicaragua,country,ame,1931,819164,2889,40,419.04
nld,Netherlands,country,eur,1931,7988526,8640,41.11,67.28
nor,Norway,country,eur,1931,2823585,6763,44.88,58.88
npl,Nepal,country,asi,1931,6969894,861,41.48,378.03
nzl,New Zealand,country,asi,1931,1510594,7546,39.35,45.11
omn,Oman,country,asi,1931,447721,2153,40,404.53
pak,Pakistan,country,asi,1931,23772936,1390,41.59,467.59
pan,Panama,country,ame,1931,528270,2975,40,339.12
per,Peru,country,ame,1931,5624875,3369,52.46,345.32
phl,Philippines,country,asi,1931,11852589,2317,44.52,384.35
png,Papua New Guinea,country,asi,1931,1512972,845,47.23,395.46
pol,Poland,country,eur,1931,28557831,3296,26.01,227.68
prk,North Korea,country,asi,1931,7504812,833,40,344.52
prt,Portugal,country,eur,1931,6888880,3016,49.29,225.92
pry,Paraguay,country,ame,1931,915187,3321,40,349.57
pse,West Bank and Gaza,country,asi,1931,471748,1229,40,395.67
qat,Qatar,country,asi,1931,20447,1570,40,404.45
rou,Romania,country,eur,1931,14263902,3119,27.71,292.51
rus,Russia,country,eur,1931,86157911,3816,25.86,181.7
rwa,Rwanda,country,afr,1931,1930767,510,47.51,391.09
sau,Saudi Arabia,country,asi,1931,2865662,997,40,388.33
sdn,Sudan,country,afr,1931,5240705,1190,45.69,397.69
sds,South Sudan,country,afr,1931,2360743,1200,45.69,420.1
sen,Senegal,country,afr,1931,2170772,1153,42.42,482.83
sgp,Singapore,country,asi,1931,579143,2943,41,321.99
slb,Solomon Islands,country,asi,1931,79048,684,40,470.77
sle,Sierra Leone,country,afr,1931,1708192,1131,40,487.94
slv,El Salvador,country,ame,1931,1477121,2197,40,421.34
som,Somalia,country,afr,1931,1998850,874,45.75,421.74
srb,Serbia,country,eur,1931,5683205,3868,43.18,141.86
sur,Suriname,country,ame,1931,184594,4074,40,320.66
svk,Slovak Republic,country,eur,1931,3192830,4801,46.57,203.77
svn,Slovenia,country,eur,1931,1246699,4156,42.03,235.35
swe,Sweden,country,eur,1931,6154564,7142,49.7,73.94
swz,Swaziland,country,afr,1931,143949,1017,40,383.52
syr,Syria,country,asi,1931,2581565,1643,44.76,404.17
tcd,Chad,country,afr,1931,1484476,888,43.65,402.92
tgo,Togo,country,afr,1931,1176009,1060,37.83,398.16
tha,Thailand,country,asi,1931,13025961,1224,46.32,391.46
tjk,Tajikistan,country,asi,1931,1278546,1311,47.93,285.46
tkm,Turkmenistan,country,asi,1931,1015458,2528,43.55,296.21
tls,Timor-Leste,country,asi,1931,450117,671,40,429.86
tto,Trinidad and Tobago,country,ame,1931,419399,3105,40,232.06
tun,Tunisia,country,afr,1931,2600400,1412,37.66,404.66
tur,Turkey,country,eur,1931,15167028,2426,53.12,348.46
tza,Tanzania,country,afr,1931,5247330,809,42.68,387.36
uga,Uganda,country,afr,1931,3543460,769,45.23,480.27
ukr,Ukraine,country,eur,1931,31233416,2030,40.71,223.7
ury,Uruguay,country,ame,1931,1748590,7487,55.22,167.7
usa,United States,country,ame,1931,126132537,9277,52.86,82.15
uzb,Uzbekistan,country,asi,1931,5808604,924,43.98,289.04
ven,Venezuela,country,ame,1931,3601635,4161,40,253.97
vnm,Vietnam,country,asi,1931,20353969,1066,44.69,380.57
yem,Yemen,country,asi,1931,3815665,1277,43.51,512.03
zaf,South Africa,country,afr,1931,9074434,4657,58.61,365.98
zmb,Zambia,country,afr,1931,1333099,1508,39.93,385.18
zwe,Zimbabwe,country,afr,1931,2379954,1018,43.12,369.56
