geo,geo.name,geo.cat,geo.region,time,pop,gdp_per_cap,gini,u5mr
afg,Afghanistan,country,asi,1985,11630498,1384,31.67,216
ago,Angola,country,afr,1985,9745209,4117,45.67,228.3
alb,Albania,country,eur,1985,2966799,4267,27.86,54.3
are,United Arab Emirates,country,asi,1985,1350433,129469,40,22.7
arg,Argentina,country,ame,1985,30388781,9262,40.57,33.1
arm,Armenia,country,eur,1985,3339147,3805,38.35,61.4
aus,Australia,country,asi,1985,15791043,25875,37.61,11.3
aut,Austria,country,eur,1985,7600514,27100,34,12.6
aze,Azerbaijan,country,eur,1985,6674107,8435,31.7,101.1
bdi,Burundi,country,afr,1985,4774258,994,41.72,177.5
bel,Belgium,country,eur,1985,9893499,26792,26.11,11.8
ben,Benin,country,afr,1985,4287263,1510,49.32,199.7
bfa,Burkina Faso,country,afr,1985,7727912,801,47.66,219.2
bgd,Bangladesh,country,asi,1985,93015182,1142,38.5,173.5
bgr,Bulgaria,country,eur,1985,8960387,10388,27.4,23.6
bhr,Bahrain,country,asi,1985,419425,32131,40,24.9
bih,Bosnia and Herzegovina,country,eur,1985,4369527,3494,40,27.1
blr,Belarus,country,eur,1985,9990966,7459,24.2,19.4
bol,Bolivia,country,ame,1985,6211549,3706,42.99,148.5
bra,Brazil,country,ame,1985,136836428,10495,58.76,75.3
btn,Bhutan,country,asi,1985,469010,1385,40,165.2
bwa,Botswana,country,afr,1985,1182942,5822,57.69,56.4
caf,Central African Republic,country,afr,1985,2627424,998,58.3,177.4
can,Canada,country,ame,1985,25848173,29016,34.81,9.7
che,Switzerland,country,eur,1985,6455680,42462,38.19,9
chl,Chile,country,ame,1985,12108576,7193,56.41,22.4
chn,China,country,asi,1985,1052622410,1557,29.85,54
civ,Cote d'Ivoire,country,afr,1985,10158033,3347,40.08,152.7
cmr,Cameroon,country,afr,1985,10381098,3675,45,149.8
cod,"Congo, Dem. Rep.",country,afr,1985,29985665,1498,44.08,197.7
cog,"Congo, Rep.",country,afr,1985,2083648,6166,40.88,97.5
col,Colombia,country,ame,1985,31011686,6613,51.16,42.3
com,Comoros,country,afr,1985,357729,1719,50.75,147.2
cpv,Cape Verde,country,afr,1985,313976,1469,40,78
cri,Costa Rica,country,ame,1985,2730231,6683,43.9,21.6
cub,Cuba,country,ame,1985,10082990,14135,40.43,18.4
cyp,Cyprus,country,eur,1985,703693,18130,40,13.4
cze,Czech Republic,country,eur,1985,10315676,19492,25.08,17
deu,Germany,country,eur,1985,77570009,29851,36.82,11.1
dji,Djibouti,country,afr,1985,423470,3704,40,135.3
dnk,Denmark,country,eur,1985,5113408,31032,33.98,9.7
dom,Dominican Republic,country,ame,1985,6488857,4857,47.15,72.7
dza,Algeria,country,afr,1985,22565908,11030,41.21,71.2
ecu,Ecuador,country,ame,1985,9045977,7880,47,72.7
egy,Egypt,country,afr,1985,49373806,5539,45.45,118.8
eri,Eritrea,country,afr,1985,2756493,783,40,175.7
esp,Spain,country,eur,1985,38734330,19300,40.11,13.4
est,Estonia,country,eur,1985,1522477,12540,24.8,23.1
eth,Ethiopia,country,afr,1985,40775997,597,47.55,223.4
fin,Finland,country,eur,1985,4902219,24630,33.36,7.3
fji,Fiji,country,asi,1985,711663,5193,42.66,35.4
fra,France,country,eur,1985,55379923,25917,34.98,10.3
gab,Gabon,country,afr,1985,830091,23142,55.66,99.6
gbr,United Kingdom,country,eur,1985,56415196,22648,35.26,11.4
geo,Georgia,country,eur,1985,5287328,10580,31.3,50.7
gha,Ghana,country,afr,1985,12716238,1740,40.87,154.6
gin,Guinea,country,afr,1985,5078689,1085,44.65,263.1
gmb,Gambia,country,afr,1985,732092,1323,40,204
gnb,Guinea-Bissau,country,afr,1985,944941,1679,45.83,223.51
gnq,Equatorial Guinea,country,afr,1985,314407,1240,40,209.1
grc,Greece,country,eur,1985,9907831,19345,35.26,17.4
gtm,Guatemala,country,ame,1985,8117499,5345,58,102
guy,Guyana,country,ame,1985,765043,3485,49.18,66.8
hnd,Honduras,country,ame,1985,4237436,3261,55.97,74.6
hti,Haiti,country,ame,1985,6384196,2469,47.64,167.6
hun,Hungary,country,eur,1985,10572975,17103,28.34,23.7
idn,Indonesia,country,asi,1985,165012195,3489,41.31,103.1
ind,India,country,asi,1985,782085127,1462,43.02,145.2
irl,Ireland,country,eur,1985,3560225,17606,39.87,10.7
irn,Iran,country,asi,1985,47290793,11047,47.9,77.4
irq,Iraq,country,asi,1985,15576396,10711,39.88,61.6
isr,Israel,country,asi,1985,4082781,15542,47.2,14.4
ita,Italy,country,eur,1985,56910888,25646,39.04,12
jam,Jamaica,country,ame,1985,2312337,5969,41.85,35.3
jor,Jordan,country,asi,1985,2782885,8859,38.18,44.6
jpn,Japan,country,asi,1985,119988663,23554,33.27,7.5
kaz,Kazakhstan,country,asi,1985,15780002,12922,29.1,59.4
ken,Kenya,country,afr,1985,19660713,2155,53.01,94.1
kgz,Kyrgyz Republic,country,asi,1985,4013498,3506,31.2,79.1
khm,Cambodia,country,asi,1985,7743065,787,40,121.2
kor,South Korea,country,asi,1985,40501917,6970,34.6,9.9
kwt,Kuwait,country,asi,1985,1735320,58143,40,23.1
lao,Lao,country,asi,1985,3680145,1616,40.37,181.8
lbn,Lebanon,country,asi,1985,2676593,12739,49.08,41.6
lbr,Liberia,country,afr,1985,2197442,971,40,235
lby,Libya,country,afr,1985,3840635,35825,40,54.4
lka,Sri Lanka,country,asi,1985,16180776,3008,46.67,30.2
lso,Lesotho,country,afr,1985,1467856,1113,40,97.2
ltu,Lithuania,country,eur,1985,3563741,16510,24.4,19.1
lux,Luxembourg,country,eur,1985,366884,40621,35.11,11.2
lva,Latvia,country,eur,1985,2582079,12448,25,21
mar,Morocco,country,afr,1985,22596133,3566,41.09,103
mda,Moldova,country,eur,1985,4214911,6266,26.4,40.9
mdg,Madagascar,country,afr,1985,9981113,1691,47.92,182.4
mex,Mexico,country,ame,1985,77322643,12562,42.9,58.7
mkd,"Macedonia, FYR",country,eur,1985,1981532,10505,41.3,49.5
mli,Mali,country,afr,1985,7831891,1001,48.35,285
mmr,Myanmar,country,asi,1985,38508821,2131,44.27,124.3
mne,Montenegro,country,eur,1985,614011,17613,40,24.6
mng,Mongolia,country,asi,1985,1921885,3188,40,135.8
moz,Mozambique,country,afr,1985,13102982,379,50.43,254.1
mrt,Mauritania,country,afr,1985,1766855,2710,44.83,139.2
mus,Mauritius,country,afr,1985,1015763,5447,40.49,28.4
mwi,Malawi,country,afr,1985,7205635,614,59.9,248.2
mys,Malaysia,country,asi,1985,15764340,8198,48.38,21.8
nam,Namibia,country,afr,1985,1149389,6069,65.78,85.8
ner,Niger,country,afr,1985,6838170,997,45.27,332.9
nga,Nigeria,country,afr,1985,83901570,3258,40.39,209.5
nic,Nicaragua,country,ame,1985,3709091,4112,48.31,82.7
nld,Netherlands,country,eur,1985,14471591,27544,29.2,9.7
nor,Norway,country,eur,1985,4148355,40031,27.22,10.2
npl,Nepal,country,asi,1985,16714335,1104,47.18,176.5
nzl,New Zealand,country,asi,1985,3268192,23750,35.58,13.8
omn,Oman,country,asi,1985,1498416,34967,40,66.1
pak,Pakistan,country,asi,1985,92165065,2603,35.16,151.1
pan,Panama,country,ame,1985,2219276,8847,56.77,36.7
per,Peru,country,ame,1985,19544950,6432,40.66,104.2
phl,Philippines,country,asi,1985,54323651,3559,45.18,74
png,Papua New Guinea,country,asi,1985,3677854,1720,49.57,97.2
pol,Poland,country,eur,1985,37486105,11159,29.12,20.3
prk,North Korea,country,asi,1985,18778101,2121,40,35.1
prt,Portugal,country,eur,1985,9929014,15533,38.12,20.4
pry,Paraguay,country,ame,1985,3671826,5743,40,55.3
pse,West Bank and Gaza,country,asi,1985,1758788,2018,40,58.9
qat,Qatar,country,asi,1985,371071,76910,40,28.3
rou,Romania,country,eur,1985,23103637,13673,27.4,38.9
rus,Russia,country,eur,1985,142975753,18576,26.4,30
rwa,Rwanda,country,afr,1985,6117966,962,40.16,159.2
sau,Saudi Arabia,country,asi,1985,13361284,36344,40,69.1
sdn,Sudan,country,afr,1985,17097619,1850,36.08,136
sds,South Sudan,country,afr,1985,5444907,2104,36.08,276.5
sen,Senegal,country,afr,1985,6438024,1823,46.52,172.6
sgp,Singapore,country,asi,1985,2708634,25245,43.23,10.9
slb,Solomon Islands,country,asi,1985,270809,1479,40,44.5
sle,Sierra Leone,country,afr,1985,3466044,1415,49.33,272.8
slv,El Salvador,country,ame,1985,4920932,4478,50.7,80.4
som,Somalia,country,afr,1985,6068425,919,47,186
srb,Serbia,country,eur,1985,9253401,16214,32.38,39.1
sur,Suriname,country,ame,1985,371469,11162,37.61,54.1
svk,Slovak Republic,country,eur,1985,5157959,14144,24.77,21.8
svn,Slovenia,country,eur,1985,1945136,21062,28.35,14.4
swe,Sweden,country,eur,1985,8350814,28202,30.66,7.6
swz,Swaziland,country,afr,1985,705492,4945,40,86.7
syr,Syria,country,asi,1985,10667245,4653,40.86,47
tcd,Chad,country,afr,1985,5092650,1202,37.79,228.2
tgo,Togo,country,afr,1985,3252995,1449,43.54,159
tha,Thailand,country,asi,1985,52041468,4191,48.26,48.3
tjk,Tajikistan,country,asi,1985,4540688,4059,31.8,122.6
tkm,Turkmenistan,country,asi,1985,3229499,9143,31.6,103.6
tls,Timor-Leste,country,asi,1985,657018,933,40,238.34
