geo,geo.name,geo.cat,geo.region,time,pop,gdp_per_cap,gini,u5mr
afg,Afghanistan,country,asi,1877,4336107,734,45.01,479.96
ago,Angola,country,afr,1877,2415343,866,32.68,485.68
alb,Albania,country,eur,1877,653080,832,36.73,375.2
are,United Arab Emirates,country,asi,1877,41968,1434,40,434.46
arg,Argentina,country,ame,1877,2268568,3502,49.54,402.19
arm,Armenia,country,eur,1877,694810,642,50.17,335.64
aus,Australia,country,asi,1877,2058146,6703,44.68,199.73
aut,Austria,country,eur,1877,4818155,3847,36.51,418.99
aze,Azerbaijan,country,eur,1877,1482088,1067,40,328
bdi,Burundi,country,afr,1877,1361850,449,43.69,423.95
bel,Belgium,country,eur,1877,5418013,5356,51.47,240.43
ben,Benin,country,afr,1877,1110951,788,43.78,430.46
bfa,Burkina Faso,country,afr,1877,2521049,513,37.5,454.69
bgd,Bangladesh,country,asi,1877,25655881,896,46.41,510.9
bgr,Bulgaria,country,eur,1877,2869346,1552,43.26,331.26
bhr,Bahrain,country,asi,1877,67065,2080,40,439.79
bih,Bosnia and Herzegovina,country,eur,1877,1402427,870,40,378.8
blr,Belarus,country,eur,1877,3979955,856,50,365.67
bol,Bolivia,country,ame,1877,1599170,1469,40,404.69
bra,Brazil,country,ame,1877,11246610,1442,37.93,417.44
btn,Bhutan,country,asi,1877,120355,706,40,434.56
bwa,Botswana,country,afr,1877,121810,525,35.61,397.2
caf,Central African Republic,country,afr,1877,631445,560,45.25,443.79
can,Canada,country,ame,1877,4186798,2873,42.9,281.1
che,Switzerland,country,eur,1877,2777409,5772,45.16,285.07
chl,Chile,country,ame,1877,2177255,1983,57.91,417.44
chn,China,country,asi,1877,362777672,1001,37.27,417.44
civ,Cote d'Ivoire,country,afr,1877,1598533,1105,38.1,427.86
cmr,Cameroon,country,afr,1877,2204315,827,37.34,460.21
cod,"Congo, Dem. Rep.",country,afr,1877,7512904,666,42.12,422.65
cog,"Congo, Rep.",country,afr,1877,475022,715,43.75,408.51
col,Colombia,country,ame,1877,2739288,1119,53.16,417.44
com,Comoros,country,afr,1877,87988,753,36.31,416.16
cpv,Cape Verde,country,afr,1877,92658,677,40,394.71
cri,Costa Rica,country,ame,1877,160491,1470,40,441.12
cub,Cuba,country,ame,1877,1502361,2111,40,399.7
cyp,Cyprus,country,eur,1877,187465,1679,40,339.12
cze,Czech Republic,country,eur,1877,6799855,2906,50.11,379.99
deu,Germany,country,eur,1877,42324146,3119,44.79,365.73
dji,Djibouti,country,afr,1877,35344,959,40,445.15
dnk,Denmark,country,eur,1877,2020310,3650,45.68,198.03
dom,Dominican Republic,country,ame,1877,293913,911,40,445.15
dza,Algeria,country,afr,1877,4034621,1364,40.71,460.21
ecu,Ecuador,country,ame,1877,1113684,764,40,405.96
egy,Egypt,country,afr,1877,7618185,968,40.71,404.69
eri,Eritrea,country,afr,1877,435938,617,40,441.12
esp,Spain,country,eur,1877,16687381,2542,32.83,320.15
est,Estonia,country,eur,1877,563991,1388,43.06,327.93
eth,Ethiopia,country,afr,1877,6553418,535,47.52,447.88
fin,Finland,country,eur,1877,1959016,2018,45.43,261.86
fji,Fiji,country,asi,1877,128100,955,40,498.88
fra,France,country,eur,1877,38738812,3591,54.5,237.05
gab,Gabon,country,afr,1877,256202,395,45.85,435.79
gbr,United Kingdom,country,eur,1877,29858848,6410,44.91,225.11
geo,Georgia,country,eur,1877,1807278,714,29.75,337.73
gha,Ghana,country,afr,1877,1648818,747,49.78,471.38
gin,Guinea,country,afr,1877,1626123,507,32.74,439.79
gmb,Gambia,country,afr,1877,157883,852,40,460.21
gnb,Guinea-Bissau,country,afr,1877,322769,816,49.85,417.44
gnq,Equatorial Guinea,country,afr,1877,97306,394,40,446.51
grc,Greece,country,eur,1877,3906292,2177,44.26,360.97
gtm,Guatemala,country,ame,1877,1152294,1367,35.3,503.36
guy,Guyana,country,ame,1877,244882,1787,38.23,429.16
hnd,Honduras,country,ame,1877,427189,1400,40,393.46
hti,Haiti,country,ame,1877,1241832,1134,40,485.58
hun,Hungary,country,eur,1877,6151997,2056,43.32,389.17
idn,Indonesia,country,asi,1877,29192684,1103,39,443.79
ind,India,country,asi,1877,220156252,1076,37.1,509.39
irl,Ireland,country,eur,1877,3714034,3177,36.61,134.77
irn,Iran,country,asi,1877,8724094,1130,45.53,506.38
irq,Iraq,country,asi,1877,1714957,1260,46.04,427.86
isr,Israel,country,asi,1877,272076,924,44.87,447.25
ita,Italy,country,eur,1877,29062713,2646,49.3,366.56
jam,Jamaica,country,ame,1877,544316,923,39.1,286.43
jor,Jordan,country,asi,1877,273884,1269,40,421.34
jpn,Japan,country,asi,1877,36052483,1304,46.45,357.45
kaz,Kazakhstan,country,asi,1877,3436844,1687,43.32,521.6
ken,Kenya,country,afr,1877,2603842,1086,41.74,507.88
kgz,Kyrgyz Republic,country,asi,1877,893277,840,43.06,377.15
khm,Cambodia,country,asi,1877,2461828,986,40,379.99
kor,South Korea,country,asi,1877,9791209,533,32.13,503.36
kwt,Kuwait,country,asi,1877,83816,1578,40,500.35
lao,Lao,country,asi,1877,833601,993,38.41,418.74
lbn,Lebanon,country,asi,1877,486028,1659,42.14,447.88
lbr,Liberia,country,afr,1877,504640,931,40,429.16
lby,Libya,country,afr,1877,738785,2117,40,404.69
lka,Sri Lanka,country,asi,1877,2965645,1310,47.95,409.79
lso,Lesotho,country,afr,1877,424002,410,40,407.24
ltu,Lithuania,country,eur,1877,1316614,1879,44.18,418.74
lux,Luxembourg,country,eur,1877,184227,2858,40,357.45
lva,Latvia,country,eur,1877,998705,1111,44.18,337.99
mar,Morocco,country,afr,1877,3970291,792,44.08,403.44
mda,Moldova,country,eur,1877,1200272,849,43.26,343.91
mdg,Madagascar,country,afr,1877,2479074,756,41.01,437.13
mex,Mexico,country,ame,1877,10095437,1428,48.55,487.15
mkd,"Macedonia, FYR",country,eur,1877,650983,1078,31.78,385.27
mli,Mali,country,afr,1877,2386372,616,47.16,494.48
mmr,Myanmar,country,asi,1877,5268773,915,41.49,433.13
mne,Montenegro,country,eur,1877,208708,1653,40,375.2
mng,Mongolia,country,asi,1877,675598,654,40,420.04
moz,Mozambique,country,afr,1877,3401843,408,46.68,439.79
mrt,Mauritania,country,afr,1877,484950,697,40,417.44
mus,Mauritius,country,afr,1877,347108,1241,40,242.48
mwi,Malawi,country,afr,1877,749622,354,44.25,439.79
mys,Malaysia,country,asi,1877,1028892,1145,41.66,435.79
nam,Namibia,country,afr,1877,230617,1268,48.04,412.34
ner,Niger,country,afr,1877,1700454,589,43.35,433.13
nga,Nigeria,country,afr,1877,15479178,1143,40.3,438.46
nic,Nicaragua,country,ame,1877,434103,1788,40,509.39
nld,Netherlands,country,eur,1877,3888817,5510,51.52,284.67
nor,Norway,country,eur,1877,1842802,2898,43.85,183.25
npl,Nepal,country,asi,1877,4922801,695,40.99,407.24
nzl,New Zealand,country,asi,1877,443376,6631,38.15,132.98
omn,Oman,country,asi,1877,377904,1196,40,413.61
pak,Pakistan,country,asi,1877,16718564,1044,42.88,501.85
pan,Panama,country,ame,1877,193701,1615,40,405.96
per,Peru,country,ame,1877,2860913,1403,49.3,371.61
phl,Philippines,country,asi,1877,4826977,1057,47.44,431.79
png,Papua New Guinea,country,asi,1877,1079536,665,42.01,423.95
pol,Poland,country,eur,1877,18796901,1765,35.34,369.21
prk,North Korea,country,asi,1877,4751558,535,40,500.35
prt,Portugal,country,eur,1877,4536546,1789,47.33,372.81
pry,Paraguay,country,ame,1877,399017,1709,40,374
pse,West Bank and Gaza,country,asi,1877,217066,1256,40,434.47
qat,Qatar,country,asi,1877,14489,1578,40,433.13
rou,Romania,country,eur,1877,9560999,1796,43.26,308.99
rus,Russia,country,eur,1877,52530515,2116,50,422.24
rwa,Rwanda,country,afr,1877,1346276,475,55.34,420.04
sau,Saudi Arabia,country,asi,1877,2384174,928,40,416.16
sdn,Sudan,country,afr,1877,4814547,684,33.78,425.25
sds,South Sudan,country,afr,1877,1561090,670,33.78,490.08
sen,Senegal,country,afr,1877,1493580,656,42.99,512.4
sgp,Singapore,country,asi,1877,105801,1389,41,392.21
slb,Solomon Islands,country,asi,1877,68945,445,40,504.87
sle,Sierra Leone,country,afr,1877,1174665,969,40,513.91
slv,El Salvador,country,ame,1877,547282,1577,40,461.6
som,Somalia,country,afr,1877,1428575,747,46.03,451.96
srb,Serbia,country,eur,1877,3543688,2122,31.78,374
sur,Suriname,country,ame,1877,123649,2409,40,405.96
svk,Slovak Republic,country,eur,1877,2630166,2165,50.11,363.32
svn,Slovenia,country,eur,1877,776055,2202,42.52,360.97
swe,Sweden,country,eur,1877,4406577,2488,54.57,227.8
swz,Swaziland,country,afr,1877,86799,646,40,413.61
syr,Syria,country,asi,1877,1641292,1231,50.19,429.16
tcd,Chad,country,afr,1877,1453253,552,47.66,431.79
tgo,Togo,country,afr,1877,734785,901,37.83,426.55
tha,Thailand,country,asi,1877,6133885,1098,35.67,438.46
tjk,Tajikistan,country,asi,1877,784358,773,44.4,321.69
tkm,Turkmenistan,country,asi,1877,619834,1395,37.11,478.28
tls,Timor-Leste,country,asi,1877,257261,607,40,456.46
tto,Trinidad and Tobago,country,ame,1877,150823,1680,40,335.73
tun,Tunisia,country,afr,1877,1281041,943,44.08,460.21
tur,Turkey,country,eur,1877,12268620,1548,47.67,379.99
tza,Tanzania,country,afr,1877,3678185,657,37.59,414.89
uga,Uganda,country,afr,1877,2536562,612,41.05,510.9
ukr,Ukraine,country,eur,1877,19000093,1129,44.84,360.97
ury,Uruguay,country,ame,1877,433024,5549,49.06,405.96
usa,United States,country,ame,1877,47821372,4311,49.3,343.15
uzb,Uzbekistan,country,asi,1877,3362670,600,41.47,379.81
ven,Venezuela,country,ame,1877,1918714,1044,40,414.89
vnm,Vietnam,country,asi,1877,11064419,886,40.41,417.44
yem,Yemen,country,asi,1877,2928924,1090,42.93,540.44
zaf,South Africa,country,afr,1877,2956164,2626,35.87,398.45
zmb,Zambia,country,afr,1877,744442,799,39.93,409.79
zwe,Zimbabwe,country,afr,1877,1627037,953,34.61,395.95
